,0,1,2,3,4
2,서울,종로구,0.4772834918205997,0.6508702290076336,0.3609618320610687
3,서울,중구,0.4922056384742952,0.6101147280392564,0.4056776556776557
4,서울,용산구,0.4700832047064449,0.5970459470216247,0.4200459912439747
5,서울,성동구,0.5096819074848445,0.607256419486441,0.40853731701463886
6,서울,광진구,0.5416748834333273,0.6233578714187867,0.39227204571118285
7,서울,동대문구,0.5326628719733388,0.6178875292988576,0.3988397344800645
8,서울,중랑구,0.5692513816781108,0.625213298028832,0.3893939393939394
9,서울,성북구,0.5472232160604253,0.6036439188109317,0.41196042250860854
10,서울,강북구,0.5640595446584938,0.5873670353144269,0.4307155409559175
11,서울,도봉구,0.565243341775419,0.593453196347032,0.42249429223744295
12,서울,노원구,0.5505673795952518,0.6372109037374745,0.3801467445505058
13,서울,은평구,0.5747236201097247,0.6452073274053846,0.3747563152396542
14,서울,서대문구,0.549405436536211,0.6472671316641804,0.3678184090634197
15,서울,마포구,0.5247065999035936,0.6010849050708063,0.4154136513055108
16,서울,양천구,0.5402330658303355,0.6609277177006261,0.3523050654524758
17,서울,강서구,0.557504833413464,0.6601724770642202,0.35428256880733944
18,서울,구로구,0.5699542390500584,0.6227694940112442,0.3922164977530414
19,서울,금천구,0.5659226093512925,0.5910208646879344,0.42793581867377234
20,서울,영등포구,0.5365322815803951,0.6161543719674134,0.4005871872163516
21,서울,동작구,0.536189483092507,0.6105671993421199,0.40442402151445783
22,서울,관악구,0.5622801333661038,0.6019418333061058,0.4129464384269296
23,서울,서초구,0.47919702855198615,0.5651625958534507,0.4470971788317713
24,서울,강남구,0.47127995048775456,0.5955224813957851,0.4169316394317958
25,서울,송파구,0.5346206727537783,0.6001132518100066,0.4168205902576479
26,서울,강동구,0.5489836366316686,0.5791810876397343,0.4383577992600549
28,부산,중구,0.5234371319545862,0.6396363963639636,0.3791287912879129
29,부산,서구,0.5273883228296177,0.6355022109917877,0.38590580473082053
30,부산,동구,0.5431458348036794,0.6038332430969139,0.4172387655657824
31,부산,영도구,0.561322658772874,0.6379217354827111,0.3805357463894049
32,부산,부산진구,0.523441472286322,0.6101205871871803,0.4089101171385546
33,부산,동래구,0.5662120064330305,0.6362309508478214,0.38204192602132075
34,부산,남구,0.5381074247419669,0.6170984603958982,0.40072552772144304
35,부산,북구,0.5595493901871335,0.581965085555696,0.4364837973285059
36,부산,해운대구,0.5339680975482977,0.6150581793292266,0.4038887621365376
37,부산,사하구,0.5500940256507387,0.5891062019269196,0.43185381479682494
38,부산,금정구,0.5455194972884566,0.6615830085367586,0.357699651271046
39,부산,강서구,0.5575965463443825,0.6007933922308887,0.4164925930894387
40,부산,연제구,0.5438944385669249,0.6037475807870506,0.41424745371727956
41,부산,수영구,0.5216380869164209,0.6351158002489328,0.38474065629834703
42,부산,사상구,0.5629748409750631,0.5939258750857928,0.42369595058339055
43,부산,기장군,0.5399627820423354,0.6317867861399503,0.3883025316273927
45,대구,중구,0.4808224537405996,0.6434921495946719,0.37522225235813517
46,대구,동구,0.5053270221834584,0.647540157480315,0.37115590551181105
47,대구,서구,0.5050298323016446,0.6973404490898623,0.3175627795739404
48,대구,남구,0.4901967629767208,0.6378890392422192,0.377807848443843
49,대구,북구,0.5154302783023718,0.6582660549495544,0.3600959569978268
50,대구,수성구,0.48330776205683473,0.6198482606088281,0.3980325595981492
51,대구,달서구,0.5090671039107239,0.6014309865474445,0.41451738256055254
52,대구,달성군,0.5176695606893582,0.6055808105232614,0.4103104749008608
54,인천,중구,0.5565996964732605,0.6431383170819791,0.3717045864933189
55,인천,동구,0.5644158870941637,0.6257849912539787,0.39288274596392625
56,인천,미추홀구,0.5672402202356811,0.6362087034878596,0.3819309088415918
57,인천,연수구,0.5694031925322253,0.5919842228332092,0.4230863118945448
58,인천,남동구,0.5775601439066913,0.592709903490398,0.42560147211401056
59,인천,부평구,0.5873194358408073,0.6467351220388339,0.3702436955200838
60,인천,계양구,0.5871772165614854,0.6144907984829587,0.399877822180365
61,인천,서구,0.5920711733350338,0.6075438883415173,0.406269820058797
62,인천,강화군,0.501271655922643,0.6542335418079521,0.3607364428704192
63,인천,옹진군,0.59391771019678,0.7106055802155993,0.3023937856689918
65,광주,동구,0.5586620577470517,0.6651096956829441,0.34874127995147103
66,광주,서구,0.5914354363358755,0.6355873975197956,0.37865476595489206
67,광주,남구,0.5821248828208875,0.6556430210067024,0.35786064504520715
68,광주,북구,0.5813666491406342,0.6342336601000919,0.3802318606961444
69,광주,광산구,0.5963533033388586,0.6018787438736612,0.41321587402432386
71,대전,동구,0.5725556156264392,0.6044887039239001,0.41031335245156325
72,대전,중구,0.5677164139833238,0.6042958511794413,0.41158185769992967
73,대전,서구,0.5841444452297533,0.5874935722094746,0.42708184791955645
74,대전,유성구,0.5739100212687991,0.5739938651114417,0.44031648652562566
75,대전,대덕구,0.5728885030385713,0.596672583997229,0.41864392102528575
77,울산,중구,0.5553439284119731,0.6657743262544795,0.3492443615774754
78,울산,남구,0.5492739148742183,0.6346830037822873,0.38074391317845174
79,울산,동구,0.6070621597440213,0.6791027066185379,0.33892060002747837
80,울산,북구,0.5565217936499975,0.6509919673737932,0.3643973277153769
81,울산,울주군,0.5464219537695517,0.6449437350812716,0.36967188269616946
84,경기,수원시장안구,0.5366280990353214,0.6685108273008501,0.34808661840680105
85,경기,수원시권선구,0.5487733664462865,0.6265487591580132,0.3889051969813721
86,경기,수원시팔달구,0.5292784546430149,0.6427012392209248,0.3748196033061794
87,경기,수원시영통구,0.5181154600778158,0.5866160684199547,0.4299754496879062
