시군구별(1),시군구별(2),SIG_CD,수검율,이상있음,이상없음
서울,종로구,11110,70.13983901632936,0.5271571160764047,0.4728428839235953
서울,중구,11140,69.44240496002611,0.541748656348204,0.4582513436517959
서울,용산구,11170,69.15027412481531,0.5077518011018506,0.4922481988981495
서울,성동구,11200,73.18385410160779,0.533021225753752,0.466978774246248
서울,광진구,11215,74.94193412162163,0.5257348131899093,0.4742651868100906
서울,동대문구,11230,73.86673369518259,0.5707631939939812,0.4292368060060188
서울,중랑구,11260,75.28288472655031,0.5746626302922253,0.4253373697077748
서울,성북구,11290,73.21692770777001,0.5541503353366432,0.4458496646633569
서울,강북구,11305,73.3807199092378,0.5947971936235754,0.4052028063764246
서울,도봉구,11320,75.04523378725835,0.5839519489034114,0.4160480510965886
서울,노원구,11350,76.42714932126697,0.5551894229012592,0.4448105770987408
서울,은평구,11380,75.4057051847217,0.5608183031976284,0.4391816968023716
서울,서대문구,11410,75.13948335543118,0.5402351938039578,0.4597648061960422
서울,마포구,11440,73.70606390301306,0.5025957724556911,0.4974042275443089
서울,양천구,11470,75.33952909051716,0.5335336290079006,0.4664663709920994
서울,강서구,11500,78.82818404089798,0.5330806884572872,0.4669193115427128
서울,구로구,11530,77.46381171039545,0.5425836258885622,0.4574163741114378
서울,금천구,11545,76.82929390515395,0.5437721252545685,0.4562278747454314
서울,영등포구,11560,75.24043973831525,0.526331358294714,0.473668641705286
서울,동작구,11590,75.97063989447858,0.5172227669776269,0.482777233022373
서울,관악구,11620,75.61080472826289,0.5196138996138996,0.4803861003861004
서울,서초구,11650,69.74799264460485,0.483609172108384,0.516390827891616
서울,강남구,11680,68.1081809651683,0.4828436596133354,0.5171563403866647
서울,송파구,11710,75.29924866839521,0.5053107518660513,0.4946892481339487
서울,강동구,11740,75.9804318194549,0.5290021871441795,0.4709978128558205
부산,중구,26110,70.00771925657622,0.574724342663274,0.4252756573367261
부산,서구,26140,74.37546140839703,0.5778233165764785,0.4221766834235215
부산,동구,26170,75.24025547663105,0.6044030146767156,0.3955969853232844
부산,영도구,26200,76.26261525383092,0.5701546288621488,0.4298453711378512
부산,부산진구,26230,76.2210513591729,0.5326087970521013,0.4673912029478987
부산,동래구,26260,78.76592114681283,0.5044129912487084,0.4955870087512915
부산,남구,26290,75.80623279972093,0.5623234350432704,0.4376765649567296
