시군구별(1),시군구별(2),SIG_CD,교통시간,자가용시간
서울,종로구,11110,12.343333333333334,7.69
서울,중구,11140,10.406666666666666,6.536666666666666
서울,용산구,11170,14.036666666666667,8.226666666666667
서울,성동구,11200,11.65,7.210000000000001
서울,광진구,11215,10.913333333333334,7.0200000000000005
서울,동대문구,11230,11.533333333333333,7.136666666666667
서울,중랑구,11260,11.203333333333333,6.413333333333333
서울,성북구,11290,13.820000000000002,10.263333333333334
서울,강북구,11305,12.799999999999999,7.876666666666666
서울,도봉구,11320,11.706666666666669,6.9433333333333325
서울,노원구,11350,11.053333333333333,6.359999999999999
서울,은평구,11380,12.013333333333335,6.833333333333333
서울,서대문구,11410,11.07,6.123333333333334
서울,마포구,11440,14.12,9.24
서울,양천구,11470,11.796666666666667,5.983333333333333
서울,강서구,11500,12.566666666666668,7.483333333333333
서울,구로구,11530,11.153333333333334,6.150000000000001
서울,금천구,11545,11.276666666666666,7.196666666666666
서울,영등포구,11560,9.806666666666667,5.483333333333334
서울,동작구,11590,11.373333333333335,7.033333333333334
서울,관악구,11620,12.833333333333334,7.976666666666667
서울,서초구,11650,12.719999999999999,7.903333333333333
서울,강남구,11680,11.736666666666666,7.63
서울,송파구,11710,12.246666666666664,6.903333333333333
서울,강동구,11740,13.549999999999999,7.326666666666667
부산,중구,26110,6.343333333333334,4.81
부산,서구,26140,7.833333333333333,5.213333333333334
부산,동구,26170,7.7,4.94
부산,영도구,26200,11.026666666666666,6.656666666666666
부산,부산진구,26230,10.26,6.523333333333333
부산,동래구,26260,9.839999999999998,5.8500000000000005
부산,남구,26290,10.673333333333332,7.623333333333332
부산,북구,26320,9.073333333333332,5.803333333333334
부산,해운대구,26350,11.13,7.206666666666666
부산,사하구,26380,13.473333333333334,10.916666666666666
부산,금정구,26410,10.613333333333333,7.37
부산,강서구,26440,21.75,14.616666666666667
부산,연제구,26470,10.823333333333332,6.863333333333333
부산,수영구,26500,8.453333333333333,5.353333333333334
부산,사상구,26530,11.38,8.023333333333333
부산,기장군,26710,15.910000000000002,8.770000000000001
대구,중구,27110,9.576666666666666,4.0633333333333335
대구,동구,27140,16.633333333333333,8.633333333333333
대구,서구,27170,10.63,4.8066666666666675
대구,남구,27200,11.096666666666666,5.1866666666666665
대구,북구,27230,12.933333333333332,5.78
대구,수성구,27260,15.103333333333333,7.096666666666667
대구,달서구,27290,13.143333333333333,6.210000000000001
대구,달성군,27710,22.209999999999997,11.089999999999998
인천,중구,28110,19.099999999999998,12.540000000000001
인천,동구,28140,8.223333333333334,4.2299999999999995
인천,미추홀구,28177,9.64,5.17
인천,연수구,28185,11.716666666666667,5.95
인천,남동구,28200,12.790000000000001,6.976666666666667
인천,부평구,28237,9.9,5.68
인천,계양구,28245,10.143333333333333,5.133333333333333
인천,서구,28260,13.136666666666668,7.043333333333333
인천,강화군,28710,34.88666666666666,14.036666666666667
인천,옹진군,28720,77.70333333333333,64.93333333333334
광주,동구,29110,10.076666666666666,6.013333333333333
광주,서구,29140,11.530000000000001,6.363333333333333
광주,남구,29155,9.873333333333333,4.986666666666667
광주,북구,29170,11.76,6.326666666666665
광주,광산구,29200,12.25,5.816666666666667
대전,동구,30110,12.54,7.373333333333334
대전,중구,30140,10.27,5.48
대전,서구,30170,12.213333333333333,6.203333333333333
대전,유성구,30200,15.616666666666667,7.916666666666667
대전,대덕구,30230,11.946666666666667,6.823333333333333
울산,중구,31110,11.343333333333334,5.773333333333333
울산,남구,31140,11.196666666666667,6.1066666666666665
울산,동구,31170,10.686666666666667,6.09
울산,북구,31200,16.026666666666667,9.48
울산,울주군,31710,19.830000000000002,9.223333333333334
세종,세종,36000,23.253333333333334,12.326666666666666
세종,세종,36110,23.253333333333334,12.326666666666666
경기,수원시,41110,15.469999999999999,7.566666666666666
경기,수원시장안구,41111,15.469999999999999,7.566666666666666
경기,수원시권선구,41113,15.469999999999999,7.566666666666666
경기,수원시팔달구,41115,15.469999999999999,7.566666666666666
경기,수원시영통구,41117,18.063333333333333,8.866666666666667
경기,성남시,41130,12.67,6.19
경기,성남시수정구,41131,12.67,6.19
경기,성남시중원구,41133,12.67,6.19
경기,성남시분당구,41135,12.67,6.19
경기,의정부시,41150,13.5,6.28
경기,안양시만안구,41171,11.863333333333332,6.256666666666668
경기,안양시동안구,41173,11.863333333333332,6.256666666666668
경기,부천시,41190,12.286666666666667,5.696666666666668
경기,광명시,41210,12.79,6.676666666666667
경기,평택시,41220,19.353333333333335,8.013333333333334
경기,동두천시,41250,21.936666666666667,13.106666666666667
경기,안산시상록구,41271,15.030000000000001,5.94
경기,안산시단원구,41273,15.030000000000001,5.94
경기,고양시,41280,15.229999999999999,7.739999999999999
경기,고양시덕양구,41281,15.229999999999999,7.739999999999999
경기,고양시일산동구,41285,15.229999999999999,7.739999999999999
경기,고양시일산서구,41287,15.229999999999999,7.739999999999999
경기,과천시,41290,15.75,10.533333333333333
경기,구리시,41310,10.123333333333333,5.12
경기,남양주시,41360,19.55,10.056666666666667
경기,오산시,41370,14.6,5.993333333333333
경기,시흥시,41390,14.923333333333332,6.406666666666666
경기,군포시,41410,9.876666666666667,4.783333333333333
경기,의왕시,41430,14.550000000000002,7.886666666666668
경기,하남시,41450,19.12,10.066666666666666
경기,용인시처인구,41461,18.063333333333333,8.866666666666667
경기,용인시기흥구,41463,18.063333333333333,8.866666666666667
경기,용인시수지구,41465,18.063333333333333,8.866666666666667
경기,파주시,41480,19.73333333333333,8.24
경기,이천시,41500,28.436666666666667,10.173333333333334
