"행정구역별","성별","연령별","항목","단위","2015 년",
"전국","계","합계","내국인(60세 이상)-계","","9298013",
"전국","계","합계","초등학교","","2921062",
"전국","계","합계","중학교","","1723192",
"전국","계","합계","고등학교","","2232210",
"전국","계","합계","대학(4년제 미만)","","216142",
"전국","계","합계","대학교(4년제 이상)","","775439",
"전국","계","합계","대학원 이상","","197675",
"전국","계","합계","안 받았음(미취학 포함)","","1232293",
"전국","계","60~64","내국인(60세 이상)-계","","2753215",
"전국","계","60~64","초등학교","","588587",
"전국","계","60~64","중학교","","644867",
"전국","계","60~64","고등학교","","978152",
"전국","계","60~64","대학(4년제 미만)","","104272",
"전국","계","60~64","대학교(4년제 이상)","","291745",
"전국","계","60~64","대학원 이상","","94374",
"전국","계","60~64","안 받았음(미취학 포함)","","51218",
"전국","계","65~69","내국인(60세 이상)-계","","2107985",
"전국","계","65~69","초등학교","","643863",
"전국","계","65~69","중학교","","467168",
"전국","계","65~69","고등학교","","589584",
"전국","계","65~69","대학(4년제 미만)","","53758",
"전국","계","65~69","대학교(4년제 이상)","","198080",
"전국","계","65~69","대학원 이상","","48379",
"전국","계","65~69","안 받았음(미취학 포함)","","107153",
"전국","계","70~74","내국인(60세 이상)-계","","1758979",
"전국","계","70~74","초등학교","","681384",
"전국","계","70~74","중학교","","318634",
"전국","계","70~74","고등학교","","342300",
"전국","계","70~74","대학(4년제 미만)","","27522",
"전국","계","70~74","대학교(4년제 이상)","","135667",
"전국","계","70~74","대학원 이상","","28724",
"전국","계","70~74","안 받았음(미취학 포함)","","224748",
"전국","계","75~79","내국인(60세 이상)-계","","1350216",
"전국","계","75~79","초등학교","","546628",
"전국","계","75~79","중학교","","180812",
"전국","계","75~79","고등학교","","198522",
"전국","계","75~79","대학(4년제 미만)","","16842",
"전국","계","75~79","대학교(4년제 이상)","","89622",
"전국","계","75~79","대학원 이상","","16980",
"전국","계","75~79","안 받았음(미취학 포함)","","300810",
"전국","계","80~84","내국인(60세 이상)-계","","805573",
"전국","계","80~84","초등학교","","300941",
"전국","계","80~84","중학교","","76945",
"전국","계","80~84","고등학교","","89210",
"전국","계","80~84","대학(4년제 미만)","","8767",
"전국","계","80~84","대학교(4년제 이상)","","43875",
"전국","계","80~84","대학원 이상","","6571",
"전국","계","80~84","안 받았음(미취학 포함)","","279264",
"전국","계","85세 이상","내국인(60세 이상)-계","","522045",
"전국","계","85세 이상","초등학교","","159659",
"전국","계","85세 이상","중학교","","34766",
"전국","계","85세 이상","고등학교","","34442",
"전국","계","85세 이상","대학(4년제 미만)","","4981",
"전국","계","85세 이상","대학교(4년제 이상)","","16450",
"전국","계","85세 이상","대학원 이상","","2647",
"전국","계","85세 이상","안 받았음(미취학 포함)","","269100",
"전국","남자","합계","내국인(60세 이상)-계","","4098575",
"전국","남자","합계","초등학교","","944721",
"전국","남자","합계","중학교","","816179",
"전국","남자","합계","고등학교","","1294534",
"전국","남자","합계","대학(4년제 미만)","","132204",
"전국","남자","합계","대학교(4년제 이상)","","554424",
"전국","남자","합계","대학원 이상","","164312",
"전국","남자","합계","안 받았음(미취학 포함)","","192201",
"전국","남자","60~64","내국인(60세 이상)-계","","1345914",
"전국","남자","60~64","초등학교","","193251",
"전국","남자","60~64","중학교","","275042",
"전국","남자","60~64","고등학교","","532559",
"전국","남자","60~64","대학(4년제 미만)","","61981",
"전국","남자","60~64","대학교(4년제 이상)","","192839",
"전국","남자","60~64","대학원 이상","","75458",
"전국","남자","60~64","안 받았음(미취학 포함)","","14784",
"전국","남자","65~69","내국인(60세 이상)-계","","1010632",
"전국","남자","65~69","초등학교","","207977",
"전국","남자","65~69","중학교","","222124",
"전국","남자","65~69","고등학교","","347626",
"전국","남자","65~69","대학(4년제 미만)","","32097",
"전국","남자","65~69","대학교(4년제 이상)","","138273",
"전국","남자","65~69","대학원 이상","","40519",
"전국","남자","65~69","안 받았음(미취학 포함)","","22016",
"전국","남자","70~74","내국인(60세 이상)-계","","790128",
"전국","남자","70~74","초등학교","","227167",
"전국","남자","70~74","중학교","","166125",
"전국","남자","70~74","고등학교","","214109",
"전국","남자","70~74","대학(4년제 미만)","","17384",
"전국","남자","70~74","대학교(4년제 이상)","","101128",
"전국","남자","70~74","대학원 이상","","24934",
"전국","남자","70~74","안 받았음(미취학 포함)","","39281",
"전국","남자","75~79","내국인(60세 이상)-계","","547556",
"전국","남자","75~79","초등학교","","177946",
"전국","남자","75~79","중학교","","95349",
"전국","남자","75~79","고등학교","","129211",
"전국","남자","75~79","대학(4년제 미만)","","11525",
"전국","남자","75~79","대학교(4년제 이상)","","72535",
"전국","남자","75~79","대학원 이상","","15172",
"전국","남자","75~79","안 받았음(미취학 포함)","","45818",
"전국","남자","80~84","내국인(60세 이상)-계","","272834",
"전국","남자","80~84","초등학교","","92605",
"전국","남자","80~84","중학교","","39442",
"전국","남자","80~84","고등학교","","54020",
"전국","남자","80~84","대학(4년제 미만)","","6072",
"전국","남자","80~84","대학교(4년제 이상)","","36511",
"전국","남자","80~84","대학원 이상","","5873",
"전국","남자","80~84","안 받았음(미취학 포함)","","38311",
"전국","남자","85세 이상","내국인(60세 이상)-계","","131511",
"전국","남자","85세 이상","초등학교","","45775",
"전국","남자","85세 이상","중학교","","18097",
"전국","남자","85세 이상","고등학교","","17009",
"전국","남자","85세 이상","대학(4년제 미만)","","3145",
"전국","남자","85세 이상","대학교(4년제 이상)","","13138",
"전국","남자","85세 이상","대학원 이상","","2356",
"전국","남자","85세 이상","안 받았음(미취학 포함)","","31991",
"전국","여자","합계","내국인(60세 이상)-계","","5199438",
"전국","여자","합계","초등학교","","1976341",
"전국","여자","합계","중학교","","907013",
"전국","여자","합계","고등학교","","937676",
"전국","여자","합계","대학(4년제 미만)","","83938",
"전국","여자","합계","대학교(4년제 이상)","","221015",
"전국","여자","합계","대학원 이상","","33363",
"전국","여자","합계","안 받았음(미취학 포함)","","1040092",
"전국","여자","60~64","내국인(60세 이상)-계","","1407301",
"전국","여자","60~64","초등학교","","395336",
"전국","여자","60~64","중학교","","369825",
"전국","여자","60~64","고등학교","","445593",
"전국","여자","60~64","대학(4년제 미만)","","42291",
"전국","여자","60~64","대학교(4년제 이상)","","98906",
"전국","여자","60~64","대학원 이상","","18916",
"전국","여자","60~64","안 받았음(미취학 포함)","","36434",
"전국","여자","65~69","내국인(60세 이상)-계","","1097353",
"전국","여자","65~69","초등학교","","435886",
"전국","여자","65~69","중학교","","245044",
"전국","여자","65~69","고등학교","","241958",
"전국","여자","65~69","대학(4년제 미만)","","21661",
"전국","여자","65~69","대학교(4년제 이상)","","59807",
"전국","여자","65~69","대학원 이상","","7860",
"전국","여자","65~69","안 받았음(미취학 포함)","","85137",
"전국","여자","70~74","내국인(60세 이상)-계","","968851",
"전국","여자","70~74","초등학교","","454217",
"전국","여자","70~74","중학교","","152509",
"전국","여자","70~74","고등학교","","128191",
"전국","여자","70~74","대학(4년제 미만)","","10138",
"전국","여자","70~74","대학교(4년제 이상)","","34539",
"전국","여자","70~74","대학원 이상","","3790",
"전국","여자","70~74","안 받았음(미취학 포함)","","185467",
"전국","여자","75~79","내국인(60세 이상)-계","","802660",
"전국","여자","75~79","초등학교","","368682",
"전국","여자","75~79","중학교","","85463",
"전국","여자","75~79","고등학교","","69311",
"전국","여자","75~79","대학(4년제 미만)","","5317",
"전국","여자","75~79","대학교(4년제 이상)","","17087",
"전국","여자","75~79","대학원 이상","","1808",
"전국","여자","75~79","안 받았음(미취학 포함)","","254992",
"전국","여자","80~84","내국인(60세 이상)-계","","532739",
"전국","여자","80~84","초등학교","","208336",
"전국","여자","80~84","중학교","","37503",
"전국","여자","80~84","고등학교","","35190",
"전국","여자","80~84","대학(4년제 미만)","","2695",
"전국","여자","80~84","대학교(4년제 이상)","","7364",
"전국","여자","80~84","대학원 이상","","698",
"전국","여자","80~84","안 받았음(미취학 포함)","","240953",
"전국","여자","85세 이상","내국인(60세 이상)-계","","390534",
"전국","여자","85세 이상","초등학교","","113884",
"전국","여자","85세 이상","중학교","","16669",
"전국","여자","85세 이상","고등학교","","17433",
"전국","여자","85세 이상","대학(4년제 미만)","","1836",
"전국","여자","85세 이상","대학교(4년제 이상)","","3312",
"전국","여자","85세 이상","대학원 이상","","291",
"전국","여자","85세 이상","안 받았음(미취학 포함)","","237109",
"동부","계","합계","내국인(60세 이상)-계","","6779554",
"동부","계","합계","초등학교","","1909864",
"동부","계","합계","중학교","","1315885",
"동부","계","합계","고등학교","","1851883",
"동부","계","합계","대학(4년제 미만)","","181063",
"동부","계","합계","대학교(4년제 이상)","","682747",
"동부","계","합계","대학원 이상","","174852",
"동부","계","합계","안 받았음(미취학 포함)","","663260",
"동부","계","60~64","내국인(60세 이상)-계","","2150177",
"동부","계","60~64","초등학교","","391313",
"동부","계","60~64","중학교","","489310",
"동부","계","60~64","고등학교","","811354",
"동부","계","60~64","대학(4년제 미만)","","87172",
"동부","계","60~64","대학교(4년제 이상)","","256945",
"동부","계","60~64","대학원 이상","","83160",
"동부","계","60~64","안 받았음(미취학 포함)","","30923",
"동부","계","65~69","내국인(60세 이상)-계","","1601625",
"동부","계","65~69","초등학교","","427659",
"동부","계","65~69","중학교","","358764",
"동부","계","65~69","고등학교","","490352",
"동부","계","65~69","대학(4년제 미만)","","44936",
"동부","계","65~69","대학교(4년제 이상)","","174153",
"동부","계","65~69","대학원 이상","","42308",
"동부","계","65~69","안 받았음(미취학 포함)","","63453",
"동부","계","70~74","내국인(60세 이상)-계","","1263883",
"동부","계","70~74","초등학교","","442035",
"동부","계","70~74","중학교","","244907",
"동부","계","70~74","고등학교","","285786",
"동부","계","70~74","대학(4년제 미만)","","23184",
"동부","계","70~74","대학교(4년제 이상)","","118902",
"동부","계","70~74","대학원 이상","","25639",
"동부","계","70~74","안 받았음(미취학 포함)","","123430",
"동부","계","75~79","내국인(60세 이상)-계","","907511",
"동부","계","75~79","초등학교","","345555",
"동부","계","75~79","중학교","","136695",
"동부","계","75~79","고등학교","","162642",
"동부","계","75~79","대학(4년제 미만)","","14228",
"동부","계","75~79","대학교(4년제 이상)","","79482",
"동부","계","75~79","대학원 이상","","15206",
"동부","계","75~79","안 받았음(미취학 포함)","","153703",
"동부","계","80~84","내국인(60세 이상)-계","","519368",
"동부","계","80~84","초등학교","","192924",
"동부","계","80~84","중학교","","58513",
"동부","계","80~84","고등학교","","73051",
"동부","계","80~84","대학(4년제 미만)","","7280",
"동부","계","80~84","대학교(4년제 이상)","","38634",
"동부","계","80~84","대학원 이상","","6073",
"동부","계","80~84","안 받았음(미취학 포함)","","142893",
"동부","계","85세 이상","내국인(60세 이상)-계","","336990",
"동부","계","85세 이상","초등학교","","110378",
"동부","계","85세 이상","중학교","","27696",
"동부","계","85세 이상","고등학교","","28698",
"동부","계","85세 이상","대학(4년제 미만)","","4263",
"동부","계","85세 이상","대학교(4년제 이상)","","14631",
"동부","계","85세 이상","대학원 이상","","2466",
"동부","계","85세 이상","안 받았음(미취학 포함)","","148858",
"동부","남자","합계","내국인(60세 이상)-계","","3023459",
"동부","남자","합계","초등학교","","563764",
"동부","남자","합계","중학교","","586193",
"동부","남자","합계","고등학교","","1037803",
"동부","남자","합계","대학(4년제 미만)","","108082",
"동부","남자","합계","대학교(4년제 이상)","","482821",
"동부","남자","합계","대학원 이상","","145118",
"동부","남자","합계","안 받았음(미취학 포함)","","99678",
"동부","남자","60~64","내국인(60세 이상)-계","","1045986",
"동부","남자","60~64","초등학교","","123491",
"동부","남자","60~64","중학교","","199542",
"동부","남자","60~64","고등학교","","428971",
"동부","남자","60~64","대학(4년제 미만)","","50745",
"동부","남자","60~64","대학교(4년제 이상)","","167779",
"동부","남자","60~64","대학원 이상","","66399",
"동부","남자","60~64","안 받았음(미취학 포함)","","9059",
"동부","남자","65~69","내국인(60세 이상)-계","","765743",
"동부","남자","65~69","초등학교","","129655",
"동부","남자","65~69","중학교","","160808",
"동부","남자","65~69","고등학교","","280293",
"동부","남자","65~69","대학(4년제 미만)","","26083",
"동부","남자","65~69","대학교(4년제 이상)","","120204",
"동부","남자","65~69","대학원 이상","","35333",
"동부","남자","65~69","안 받았음(미취학 포함)","","13367",
"동부","남자","70~74","내국인(60세 이상)-계","","574896",
"동부","남자","70~74","초등학교","","137374",
"동부","남자","70~74","중학교","","119421",
"동부","남자","70~74","고등학교","","172350",
"동부","남자","70~74","대학(4년제 미만)","","14214",
"동부","남자","70~74","대학교(4년제 이상)","","87472",
"동부","남자","70~74","대학원 이상","","22211",
"동부","남자","70~74","안 받았음(미취학 포함)","","21854",
"동부","남자","75~79","내국인(60세 이상)-계","","373950",
"동부","남자","75~79","초등학교","","98083",
"동부","남자","75~79","중학교","","65527",
"동부","남자","75~79","고등학교","","101060",
"동부","남자","75~79","대학(4년제 미만)","","9466",
"동부","남자","75~79","대학교(4년제 이상)","","63744",
"동부","남자","75~79","대학원 이상","","13545",
"동부","남자","75~79","안 받았음(미취학 포함)","","22525",
"동부","남자","80~84","내국인(60세 이상)-계","","178028",
"동부","남자","80~84","초등학교","","49169",
"동부","남자","80~84","중학교","","27165",
"동부","남자","80~84","고등학교","","41504",
"동부","남자","80~84","대학(4년제 미만)","","4897",
"동부","남자","80~84","대학교(4년제 이상)","","31897",
"동부","남자","80~84","대학원 이상","","5420",
"동부","남자","80~84","안 받았음(미취학 포함)","","17976",
"동부","남자","85세 이상","내국인(60세 이상)-계","","84856",
"동부","남자","85세 이상","초등학교","","25992",
"동부","남자","85세 이상","중학교","","13730",
"동부","남자","85세 이상","고등학교","","13625",
"동부","남자","85세 이상","대학(4년제 미만)","","2677",
"동부","남자","85세 이상","대학교(4년제 이상)","","11725",
"동부","남자","85세 이상","대학원 이상","","2210",
"동부","남자","85세 이상","안 받았음(미취학 포함)","","14897",
"동부","여자","합계","내국인(60세 이상)-계","","3756095",
"동부","여자","합계","초등학교","","1346100",
"동부","여자","합계","중학교","","729692",
"동부","여자","합계","고등학교","","814080",
"동부","여자","합계","대학(4년제 미만)","","72981",
"동부","여자","합계","대학교(4년제 이상)","","199926",
"동부","여자","합계","대학원 이상","","29734",
"동부","여자","합계","안 받았음(미취학 포함)","","563582",
"동부","여자","60~64","내국인(60세 이상)-계","","1104191",
"동부","여자","60~64","초등학교","","267822",
"동부","여자","60~64","중학교","","289768",
"동부","여자","60~64","고등학교","","382383",
"동부","여자","60~64","대학(4년제 미만)","","36427",
"동부","여자","60~64","대학교(4년제 이상)","","89166",
"동부","여자","60~64","대학원 이상","","16761",
"동부","여자","60~64","안 받았음(미취학 포함)","","21864",
"동부","여자","65~69","내국인(60세 이상)-계","","835882",
"동부","여자","65~69","초등학교","","298004",
"동부","여자","65~69","중학교","","197956",
"동부","여자","65~69","고등학교","","210059",
"동부","여자","65~69","대학(4년제 미만)","","18853",
"동부","여자","65~69","대학교(4년제 이상)","","53949",
"동부","여자","65~69","대학원 이상","","6975",
"동부","여자","65~69","안 받았음(미취학 포함)","","50086",
"동부","여자","70~74","내국인(60세 이상)-계","","688987",
"동부","여자","70~74","초등학교","","304661",
"동부","여자","70~74","중학교","","125486",
"동부","여자","70~74","고등학교","","113436",
"동부","여자","70~74","대학(4년제 미만)","","8970",
"동부","여자","70~74","대학교(4년제 이상)","","31430",
"동부","여자","70~74","대학원 이상","","3428",
"동부","여자","70~74","안 받았음(미취학 포함)","","101576",
"동부","여자","75~79","내국인(60세 이상)-계","","533561",
"동부","여자","75~79","초등학교","","247472",
"동부","여자","75~79","중학교","","71168",
"동부","여자","75~79","고등학교","","61582",
"동부","여자","75~79","대학(4년제 미만)","","4762",
"동부","여자","75~79","대학교(4년제 이상)","","15738",
"동부","여자","75~79","대학원 이상","","1661",
"동부","여자","75~79","안 받았음(미취학 포함)","","131178",
"동부","여자","80~84","내국인(60세 이상)-계","","341340",
"동부","여자","80~84","초등학교","","143755",
"동부","여자","80~84","중학교","","31348",
"동부","여자","80~84","고등학교","","31547",
"동부","여자","80~84","대학(4년제 미만)","","2383",
"동부","여자","80~84","대학교(4년제 이상)","","6737",
"동부","여자","80~84","대학원 이상","","653",
"동부","여자","80~84","안 받았음(미취학 포함)","","124917",
"동부","여자","85세 이상","내국인(60세 이상)-계","","252134",
"동부","여자","85세 이상","초등학교","","84386",
"동부","여자","85세 이상","중학교","","13966",
"동부","여자","85세 이상","고등학교","","15073",
"동부","여자","85세 이상","대학(4년제 미만)","","1586",
"동부","여자","85세 이상","대학교(4년제 이상)","","2906",
"동부","여자","85세 이상","대학원 이상","","256",
"동부","여자","85세 이상","안 받았음(미취학 포함)","","133961",
"읍부","계","합계","내국인(60세 이상)-계","","900045",
"읍부","계","합계","초등학교","","336819",
"읍부","계","합계","중학교","","164602",
"읍부","계","합계","고등학교","","171893",
"읍부","계","합계","대학(4년제 미만)","","16009",
"읍부","계","합계","대학교(4년제 이상)","","40656",
"읍부","계","합계","대학원 이상","","9399",
"읍부","계","합계","안 받았음(미취학 포함)","","160667",
"읍부","계","60~64","내국인(60세 이상)-계","","241581",
"읍부","계","60~64","초등학교","","67669",
"읍부","계","60~64","중학교","","63418",
"읍부","계","60~64","고등학교","","76429",
"읍부","계","60~64","대학(4년제 미만)","","7886",
"읍부","계","60~64","대학교(4년제 이상)","","14863",
"읍부","계","60~64","대학원 이상","","4539",
"읍부","계","60~64","안 받았음(미취학 포함)","","6777",
"읍부","계","65~69","내국인(60세 이상)-계","","193636",
"읍부","계","65~69","초등학교","","73637",
"읍부","계","65~69","중학교","","44380",
"읍부","계","65~69","고등학교","","44898",
"읍부","계","65~69","대학(4년제 미만)","","4059",
"읍부","계","65~69","대학교(4년제 이상)","","10293",
"읍부","계","65~69","대학원 이상","","2552",
"읍부","계","65~69","안 받았음(미취학 포함)","","13817",
"읍부","계","70~74","내국인(60세 이상)-계","","173005",
"읍부","계","70~74","초등학교","","79108",
"읍부","계","70~74","중학교","","29170",
"읍부","계","70~74","고등학교","","25660",
"읍부","계","70~74","대학(4년제 미만)","","1919",
"읍부","계","70~74","대학교(4년제 이상)","","7550",
"읍부","계","70~74","대학원 이상","","1210",
"읍부","계","70~74","안 받았음(미취학 포함)","","28388",
"읍부","계","75~79","내국인(60세 이상)-계","","144339",
"읍부","계","75~79","초등학교","","65210",
"읍부","계","75~79","중학교","","17354",
"읍부","계","75~79","고등학교","","15626",
"읍부","계","75~79","대학(4년제 미만)","","1113",
"읍부","계","75~79","대학교(4년제 이상)","","4746",
"읍부","계","75~79","대학원 이상","","801",
"읍부","계","75~79","안 받았음(미취학 포함)","","39489",
"읍부","계","80~84","내국인(60세 이상)-계","","89641",
"읍부","계","80~84","초등학교","","34571",
"읍부","계","80~84","중학교","","7404",
"읍부","계","80~84","고등학교","","6782",
"읍부","계","80~84","대학(4년제 미만)","","730",
"읍부","계","80~84","대학교(4년제 이상)","","2441",
"읍부","계","80~84","대학원 이상","","208",
"읍부","계","80~84","안 받았음(미취학 포함)","","37505",
"읍부","계","85세 이상","내국인(60세 이상)-계","","57843",
"읍부","계","85세 이상","초등학교","","16624",
"읍부","계","85세 이상","중학교","","2876",
"읍부","계","85세 이상","고등학교","","2498",
"읍부","계","85세 이상","대학(4년제 미만)","","302",
"읍부","계","85세 이상","대학교(4년제 이상)","","763",
"읍부","계","85세 이상","대학원 이상","","89",
"읍부","계","85세 이상","안 받았음(미취학 포함)","","34691",
"읍부","남자","합계","내국인(60세 이상)-계","","384821",
"읍부","남자","합계","초등학교","","113578",
"읍부","남자","합계","중학교","","85382",
"읍부","남자","합계","고등학교","","111221",
"읍부","남자","합계","대학(4년제 미만)","","10569",
"읍부","남자","합계","대학교(4년제 이상)","","31047",
"읍부","남자","합계","대학원 이상","","7839",
"읍부","남자","합계","안 받았음(미취학 포함)","","25185",
"읍부","남자","60~64","내국인(60세 이상)-계","","117986",
"읍부","남자","60~64","초등학교","","22211",
"읍부","남자","60~64","중학교","","28610",
"읍부","남자","60~64","고등학교","","46065",
"읍부","남자","60~64","대학(4년제 미만)","","5026",
"읍부","남자","60~64","대학교(4년제 이상)","","10631",
"읍부","남자","60~64","대학원 이상","","3623",
"읍부","남자","60~64","안 받았음(미취학 포함)","","1820",
"읍부","남자","65~69","내국인(60세 이상)-계","","91368",
"읍부","남자","65~69","초등학교","","24054",
"읍부","남자","65~69","중학교","","23066",
"읍부","남자","65~69","고등학교","","29085",
"읍부","남자","65~69","대학(4년제 미만)","","2618",
"읍부","남자","65~69","대학교(4년제 이상)","","7591",
"읍부","남자","65~69","대학원 이상","","2158",
"읍부","남자","65~69","안 받았음(미취학 포함)","","2796",
"읍부","남자","70~74","내국인(60세 이상)-계","","75145",
"읍부","남자","70~74","초등학교","","26889",
"읍부","남자","70~74","중학교","","16788",
"읍부","남자","70~74","고등학교","","18035",
"읍부","남자","70~74","대학(4년제 미만)","","1333",
"읍부","남자","70~74","대학교(4년제 이상)","","5991",
"읍부","남자","70~74","대학원 이상","","1053",
"읍부","남자","70~74","안 받았음(미취학 포함)","","5056",
"읍부","남자","75~79","내국인(60세 이상)-계","","56716",
"읍부","남자","75~79","초등학교","","22648",
"읍부","남자","75~79","중학교","","10746",
"읍부","남자","75~79","고등학교","","11648",
"읍부","남자","75~79","대학(4년제 미만)","","849",
"읍부","남자","75~79","대학교(4년제 이상)","","4078",
"읍부","남자","75~79","대학원 이상","","738",
"읍부","남자","75~79","안 받았음(미취학 포함)","","6009",
"읍부","남자","80~84","내국인(60세 이상)-계","","29391",
"읍부","남자","80~84","초등학교","","11849",
"읍부","남자","80~84","중학교","","4513",
"읍부","남자","80~84","고등학교","","4981",
"읍부","남자","80~84","대학(4년제 미만)","","554",
"읍부","남자","80~84","대학교(4년제 이상)","","2107",
"읍부","남자","80~84","대학원 이상","","195",
"읍부","남자","80~84","안 받았음(미취학 포함)","","5192",
"읍부","남자","85세 이상","내국인(60세 이상)-계","","14215",
"읍부","남자","85세 이상","초등학교","","5927",
"읍부","남자","85세 이상","중학교","","1659",
"읍부","남자","85세 이상","고등학교","","1407",
"읍부","남자","85세 이상","대학(4년제 미만)","","189",
"읍부","남자","85세 이상","대학교(4년제 이상)","","649",
"읍부","남자","85세 이상","대학원 이상","","72",
"읍부","남자","85세 이상","안 받았음(미취학 포함)","","4312",
"읍부","여자","합계","내국인(60세 이상)-계","","515224",
"읍부","여자","합계","초등학교","","223241",
"읍부","여자","합계","중학교","","79220",
"읍부","여자","합계","고등학교","","60672",
"읍부","여자","합계","대학(4년제 미만)","","5440",
"읍부","여자","합계","대학교(4년제 이상)","","9609",
"읍부","여자","합계","대학원 이상","","1560",
"읍부","여자","합계","안 받았음(미취학 포함)","","135482",
"읍부","여자","60~64","내국인(60세 이상)-계","","123595",
"읍부","여자","60~64","초등학교","","45458",
"읍부","여자","60~64","중학교","","34808",
"읍부","여자","60~64","고등학교","","30364",
"읍부","여자","60~64","대학(4년제 미만)","","2860",
"읍부","여자","60~64","대학교(4년제 이상)","","4232",
"읍부","여자","60~64","대학원 이상","","916",
"읍부","여자","60~64","안 받았음(미취학 포함)","","4957",
"읍부","여자","65~69","내국인(60세 이상)-계","","102268",
"읍부","여자","65~69","초등학교","","49583",
"읍부","여자","65~69","중학교","","21314",
"읍부","여자","65~69","고등학교","","15813",
"읍부","여자","65~69","대학(4년제 미만)","","1441",
"읍부","여자","65~69","대학교(4년제 이상)","","2702",
"읍부","여자","65~69","대학원 이상","","394",
"읍부","여자","65~69","안 받았음(미취학 포함)","","11021",
"읍부","여자","70~74","내국인(60세 이상)-계","","97860",
"읍부","여자","70~74","초등학교","","52219",
"읍부","여자","70~74","중학교","","12382",
"읍부","여자","70~74","고등학교","","7625",
"읍부","여자","70~74","대학(4년제 미만)","","586",
"읍부","여자","70~74","대학교(4년제 이상)","","1559",
"읍부","여자","70~74","대학원 이상","","157",
"읍부","여자","70~74","안 받았음(미취학 포함)","","23332",
"읍부","여자","75~79","내국인(60세 이상)-계","","87623",
"읍부","여자","75~79","초등학교","","42562",
"읍부","여자","75~79","중학교","","6608",
"읍부","여자","75~79","고등학교","","3978",
"읍부","여자","75~79","대학(4년제 미만)","","264",
"읍부","여자","75~79","대학교(4년제 이상)","","668",
"읍부","여자","75~79","대학원 이상","","63",
"읍부","여자","75~79","안 받았음(미취학 포함)","","33480",
"읍부","여자","80~84","내국인(60세 이상)-계","","60250",
"읍부","여자","80~84","초등학교","","22722",
"읍부","여자","80~84","중학교","","2891",
"읍부","여자","80~84","고등학교","","1801",
"읍부","여자","80~84","대학(4년제 미만)","","176",
"읍부","여자","80~84","대학교(4년제 이상)","","334",
"읍부","여자","80~84","대학원 이상","","13",
"읍부","여자","80~84","안 받았음(미취학 포함)","","32313",
"읍부","여자","85세 이상","내국인(60세 이상)-계","","43628",
"읍부","여자","85세 이상","초등학교","","10697",
"읍부","여자","85세 이상","중학교","","1217",
"읍부","여자","85세 이상","고등학교","","1091",
"읍부","여자","85세 이상","대학(4년제 미만)","","113",
"읍부","여자","85세 이상","대학교(4년제 이상)","","114",
"읍부","여자","85세 이상","대학원 이상","","17",
"읍부","여자","85세 이상","안 받았음(미취학 포함)","","30379",
"면부","계","합계","내국인(60세 이상)-계","","1618414",
"면부","계","합계","초등학교","","674379",
"면부","계","합계","중학교","","242705",
"면부","계","합계","고등학교","","208434",
"면부","계","합계","대학(4년제 미만)","","19070",
"면부","계","합계","대학교(4년제 이상)","","52036",
"면부","계","합계","대학원 이상","","13424",
"면부","계","합계","안 받았음(미취학 포함)","","408366",
"면부","계","60~64","내국인(60세 이상)-계","","361457",
"면부","계","60~64","초등학교","","129605",
"면부","계","60~64","중학교","","92139",
"면부","계","60~64","고등학교","","90369",
"면부","계","60~64","대학(4년제 미만)","","9214",
"면부","계","60~64","대학교(4년제 이상)","","19937",
"면부","계","60~64","대학원 이상","","6675",
"면부","계","60~64","안 받았음(미취학 포함)","","13518",
"면부","계","65~69","내국인(60세 이상)-계","","312724",
"면부","계","65~69","초등학교","","142567",
"면부","계","65~69","중학교","","64024",
"면부","계","65~69","고등학교","","54334",
"면부","계","65~69","대학(4년제 미만)","","4763",
"면부","계","65~69","대학교(4년제 이상)","","13634",
"면부","계","65~69","대학원 이상","","3519",
"면부","계","65~69","안 받았음(미취학 포함)","","29883",
"면부","계","70~74","내국인(60세 이상)-계","","322091",
"면부","계","70~74","초등학교","","160241",
"면부","계","70~74","중학교","","44557",
"면부","계","70~74","고등학교","","30854",
"면부","계","70~74","대학(4년제 미만)","","2419",
"면부","계","70~74","대학교(4년제 이상)","","9215",
"면부","계","70~74","대학원 이상","","1875",
"면부","계","70~74","안 받았음(미취학 포함)","","72930",
"면부","계","75~79","내국인(60세 이상)-계","","298366",
"면부","계","75~79","초등학교","","135863",
"면부","계","75~79","중학교","","26763",
"면부","계","75~79","고등학교","","20254",
"면부","계","75~79","대학(4년제 미만)","","1501",
"면부","계","75~79","대학교(4년제 이상)","","5394",
"면부","계","75~79","대학원 이상","","973",
"면부","계","75~79","안 받았음(미취학 포함)","","107618",
"면부","계","80~84","내국인(60세 이상)-계","","196564",
"면부","계","80~84","초등학교","","73446",
"면부","계","80~84","중학교","","11028",
"면부","계","80~84","고등학교","","9377",
"면부","계","80~84","대학(4년제 미만)","","757",
"면부","계","80~84","대학교(4년제 이상)","","2800",
"면부","계","80~84","대학원 이상","","290",
"면부","계","80~84","안 받았음(미취학 포함)","","98866",
"면부","계","85세 이상","내국인(60세 이상)-계","","127212",
"면부","계","85세 이상","초등학교","","32657",
"면부","계","85세 이상","중학교","","4194",
"면부","계","85세 이상","고등학교","","3246",
"면부","계","85세 이상","대학(4년제 미만)","","416",
"면부","계","85세 이상","대학교(4년제 이상)","","1056",
"면부","계","85세 이상","대학원 이상","","92",
"면부","계","85세 이상","안 받았음(미취학 포함)","","85551",
