"시군구별(1)",시군구별(2),2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4
"시군구별(1)",시군구별(2),계,계,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,중환자실,중환자실,격리병실,격리병실,무균치료실,무균치료실,계,계,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,중환자실,중환자실,격리병실,격리병실,무균치료실,무균치료실
"시군구별(1)",시군구별(2),소계,소계,소계,소계,상급,상급,일반,일반,외국인전용,외국인전용,소계,소계,상급,상급,일반,일반,소계,소계,성인소아,성인소아,신생아,신생아,소계,소계,소계,소계,소계,소계,소계,소계,상급,상급,일반,일반,외국인전용,외국인전용,소계,소계,상급,상급,일반,일반,소계,소계,성인소아,성인소아,신생아,신생아,소계,소계,소계,소계
"시군구별(1)",시군구별(2),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소)
"서울",용산구,253,926,235,859,84,102,151,757,0,0,6,21,1,1,5,20,2,36,1,28,1,8,4,4,6,6,253,926,235,859,84,102,151,757,0,0,6,21,1,1,5,20,2,36,1,28,1,8,4,4,6,6
"서울",은평구,968,3826,861,3345,172,222,689,3123,0,0,33,175,3,3,30,172,8,79,7,64,1,15,64,225,2,2,971,3812,849,3304,172,222,677,3082,0,0,33,175,3,3,30,172,8,79,7,64,1,15,79,252,2,2
"서울",종로구,1000,3352,931,3040,215,232,716,2808,0,0,24,60,3,3,21,57,12,205,10,156,2,49,20,25,13,22,998,3347,929,3037,215,234,714,2803,0,0,24,60,3,3,21,57,12,203,10,154,2,49,20,25,13,22
"서울",중구,412,1348,393,1226,124,138,269,1088,0,0,0,0,0,0,0,0,5,76,4,71,1,5,14,46,0,0,423,1365,396,1232,127,144,269,1088,0,0,0,0,0,0,0,0,9,90,8,85,1,5,18,43,0,0
"서울",송파구,2189,6899,2109,6423,711,846,1371,5381,27,196,35,213,3,3,32,210,12,226,10,168,2,58,18,18,15,19,2207,6879,2126,6396,729,868,1383,5428,14,100,35,213,3,3,32,210,13,233,11,175,2,58,18,18,15,19
"서울",중랑구,864,3237,808,2910,184,230,624,2680,0,0,36,258,0,0,36,258,6,55,5,50,1,5,14,14,0,0,864,3238,806,2907,183,229,623,2678,0,0,36,259,0,0,36,259,6,55,5,50,1,5,16,17,0,0
"서울",양천구,829,2896,787,2778,184,232,603,2546,0,0,2,10,0,0,2,10,27,95,16,84,11,11,10,10,3,3,823,2886,781,2768,180,233,601,2535,0,0,2,10,0,0,2,10,27,95,16,84,11,11,10,10,3,3
"서울",서초구,1268,3704,1215,3465,459,520,756,2945,0,0,11,35,3,3,8,32,8,139,6,89,2,50,14,26,20,39,1264,3682,1211,3443,459,520,752,2923,0,0,11,35,3,3,8,32,8,139,6,89,2,50,14,26,20,39
"서울",노원구,963,3499,917,3270,215,285,702,2985,0,0,21,75,8,22,13,53,8,114,6,98,2,16,15,38,2,2,987,3582,919,3280,216,286,703,2994,0,0,21,75,8,22,13,53,8,119,6,98,2,21,37,106,2,2
"서울",광진구,776,2591,662,2186,197,247,465,1939,0,0,82,281,27,36,55,245,4,79,3,63,1,16,25,38,3,7,776,2591,662,2186,197,247,465,1939,0,0,82,281,27,36,55,245,4,79,3,63,1,16,25,38,3,7
"서울",강북구,638,2294,633,2268,191,245,442,2023,0,0,0,0,0,0,0,0,2,22,2,22,0,0,3,4,0,0,663,2355,658,2331,196,250,462,2081,0,0,0,0,0,0,0,0,2,20,2,20,0,0,3,4,0,0
