"시군구별(1)",시군구별(2),2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4
"시군구별(1)",시군구별(2),계,계,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,중환자실,중환자실,격리병실,격리병실,무균치료실,무균치료실,계,계,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,중환자실,중환자실,격리병실,격리병실,무균치료실,무균치료실
"시군구별(1)",시군구별(2),소계,소계,소계,소계,상급,상급,일반,일반,외국인전용,외국인전용,소계,소계,상급,상급,일반,일반,소계,소계,성인소아,성인소아,신생아,신생아,소계,소계,소계,소계,소계,소계,소계,소계,상급,상급,일반,일반,외국인전용,외국인전용,소계,소계,상급,상급,일반,일반,소계,소계,성인소아,성인소아,신생아,신생아,소계,소계,소계,소계
"시군구별(1)",시군구별(2),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소)
"광주",북구,3227,11217,3146,10874,623,922,2523,9952,0,0,65,302,0,0,65,302,1,13,1,13,0,0,15,28,0,0,3358,11544,3275,11190,667,993,2608,10197,0,0,65,301,0,0,65,301,1,13,1,13,0,0,17,40,0,0
"광주",서구,1913,6144,1845,5866,452,597,1393,5269,0,0,59,251,0,0,59,251,2,20,2,20,0,0,7,7,0,0,1933,6210,1865,5932,461,625,1404,5307,0,0,59,251,0,0,59,251,2,20,2,20,0,0,7,7,0,0
"광주",광산구,2513,9617,2430,9097,731,1074,1699,8023,0,0,65,437,0,0,65,437,5,70,5,70,0,0,13,13,0,0,2465,9477,2373,8948,679,1002,1694,7946,0,0,65,437,0,0,65,437,5,70,5,70,0,0,22,22,0,0
"광주",남구,1772,6695,1705,6408,329,417,1376,5991,0,0,45,221,5,12,40,209,4,48,3,33,1,15,18,18,0,0,1761,6638,1694,6351,338,426,1356,5925,0,0,45,221,5,15,40,206,4,48,3,33,1,15,18,18,0,0
"대전",소계,6139,23989,5810,21870,1722,2423,4088,19447,0,0,244,1635,2,2,242,1633,26,399,22,307,4,92,50,66,9,19,6134,24003,5805,21884,1708,2402,4097,19482,0,0,244,1635,2,2,242,1633,26,399,22,307,4,92,50,66,9,19
"대전",유성구,1204,4656,1129,4155,389,567,740,3588,0,0,59,460,0,0,59,460,1,16,1,16,0,0,15,25,0,0,1185,4591,1110,4090,384,560,726,3530,0,0,59,460,0,0,59,460,1,16,1,16,0,0,15,25,0,0
"대전",대덕구,637,2477,593,2237,138,176,455,2061,0,0,31,197,0,0,31,197,4,33,4,33,0,0,9,10,0,0,637,2477,593,2237,138,176,455,2061,0,0,31,197,0,0,31,197,4,33,4,33,0,0,9,10,0,0
"대전",서구,2114,7472,2049,6902,693,834,1356,6068,0,0,48,388,2,2,46,386,9,172,7,118,2,54,8,10,0,0,2128,7575,2063,7005,688,829,1375,6176,0,0,48,388,2,2,46,386,9,172,7,118,2,54,8,10,0,0
"대전",동구,794,3549,775,3410,181,305,594,3105,0,0,18,126,0,0,18,126,1,13,1,13,0,0,0,0,0,0,792,3541,773,3402,180,303,593,3099,0,0,18,126,0,0,18,126,1,13,1,13,0,0,0,0,0,0
"대전",중구,1390,5835,1264,5166,321,541,943,4625,0,0,88,464,0,0,88,464,11,165,9,127,2,38,18,21,9,19,1392,5819,1266,5150,318,534,948,4616,0,0,88,464,0,0,88,464,11,165,9,127,2,38,18,21,9,19
"울산",소계,4064,15388,3795,13951,1335,1915,2460,12036,0,0,225,1238,0,0,225,1238,14,161,13,135,1,26,25,31,5,7,4042,15345,3772,13887,1316,1870,2456,12017,0,0,225,1241,0,0,225,1241,15,179,14,153,1,26,25,31,5,7
"울산",남구,1626,5945,1560,5583,554,817,1006,4766,0,0,56,333,0,0,56,333,2,17,2,17,0,0,8,12,0,0,1621,5925,1555,5563,538,777,1017,4786,0,0,56,333,0,0,56,333,2,17,2,17,0,0,8,12,0,0
"울산",동구,564,1939,544,1809,244,329,300,1480,0,0,4,20,0,0,4,20,5,97,4,71,1,26,6,6,5,7,566,1971,545,1823,244,328,301,1495,0,0,4,20,0,0,4,20,6,115,5,89,1,26,6,6,5,7
"울산",중구,590,2381,566,2268,168,268,398,2000,0,0,8,56,0,0,8,56,7,47,7,47,0,0,9,10,0,0,552,2305,528,2192,149,253,379,1939,0,0,8,56,0,0,8,56,7,47,7,47,0,0,9,10,0,0
"울산",북구,437,1641,437,1641,122,148,315,1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,1641,437,1641,122,148,315,1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"울산",울주군,847,3482,688,2650,247,353,441,2297,0,0,157,829,0,0,157,829,0,0,0,0,0,0,2,3,0,0,866,3503,707,2668,263,364,444,2304,0,0,157,832,0,0,157,832,0,0,0,0,0,0,2,3,0,0
"세종",소계,599,1872,564,1729,222,318,341,1410,1,1,25,108,0,0,25,108,2,26,1,16,1,10,6,7,2,2,650,1991,615,1848,240,340,374,1507,1,1,25,108,0,0,25,108,2,26,1,16,1,10,6,7,2,2
"세종",세종시,599,1872,564,1729,222,318,341,1410,1,1,25,108,0,0,25,108,2,26,1,16,1,10,6,7,2,2,650,1991,615,1848,240,340,374,1507,1,1,25,108,0,0,25,108,2,26,1,16,1,10,6,7,2,2
"경기",소계,34813,138642,32118,122901,8156,10850,23962,112051,0,0,2135,13125,24,29,2111,13096,215,1997,183,1648,32,349,311,557,34,62,35105,139190,32401,123287,8319,11045,24082,112242,0,0,2155,13200,29,34,2126,13166,192,2065,159,1709,33,356,323,576,34,62
"경기",가평군,306,839,270,644,142,203,128,441,0,0,34,193,0,0,34,193,0,0,0,0,0,0,2,2,0,0,306,839,270,644,142,203,128,441,0,0,34,193,0,0,34,193,0,0,0,0,0,0,2,2,0,0
"경기",양평군,418,1339,416,1337,114,163,302,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,422,1355,420,1353,116,176,304,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
"경기",여주시,427,2058,366,1600,69,91,297,1509,0,0,60,457,0,0,60,457,0,0,0,0,0,0,1,1,0,0,430,2066,369,1608,71,93,298,1515,0,0,60,457,0,0,60,457,0,0,0,0,0,0,1,1,0,0
"경기",연천군,101,333,100,328,45,79,55,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,101,333,100,328,45,79,55,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0
"경기",광명시,565,2082,541,2016,185,222,356,1794,0,0,20,46,2,4,18,42,2,18,1,14,1,4,2,2,0,0,553,2035,529,1971,184,223,345,1748,0,0,20,46,2,4,18,42,2,16,1,12,1,4,2,2,0,0
"경기",동두천시,469,2376,427,2138,75,116,352,2022,0,0,42,238,0,0,42,238,0,0,0,0,0,0,0,0,0,0,468,2373,426,2135,76,123,350,2012,0,0,42,238,0,0,42,238,0,0,0,0,0,0,0,0,0,0
"경기",부천시,2835,11822,2637,10622,525,704,2112,9918,0,0,158,943,0,0,158,943,19,222,17,189,2,33,16,26,5,9,2837,11815,2630,10567,539,722,2091,9845,0,0,167,996,0,0,167,996,19,217,17,184,2,33,16,26,5,9
"경기",성남시 수정구,823,3209,751,2706,197,281,554,2425,0,0,56,450,0,0,56,450,3,25,3,25,0,0,13,28,0,0,856,3346,782,2828,206,295,576,2533,0,0,57,454,0,0,57,454,3,35,3,35,0,0,14,29,0,0
"경기",성남시 중원구,361,1405,354,1392,70,109,284,1283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0,362,1406,355,1393,72,112,283,1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0
"경기",성남시 분당구,1791,6213,1686,5814,575,684,1111,5130,0,0,16,54,2,2,14,52,41,282,34,199,7,83,36,38,12,25,1767,6159,1682,5756,586,697,1096,5059,0,0,16,54,2,2,14,52,19,282,12,199,7,83,38,42,12,25
"경기",수원시 권선구,692,2645,617,2129,184,234,433,1895,0,0,68,480,0,0,68,480,1,10,1,10,0,0,6,26,0,0,690,2595,615,2081,188,237,427,1844,0,0,68,480,0,0,68,480,1,8,1,8,0,0,6,26,0,0
"경기",수원시 장안구,568,2404,488,1995,127,153,361,1842,0,0,57,342,0,0,57,342,1,9,1,9,0,0,22,58,0,0,575,2450,495,2041,126,152,369,1889,0,0,57,342,0,0,57,342,1,9,1,9,0,0,22,58,0,0
"경기",수원시 팔달구,1102,3987,1034,3568,225,291,809,3277,0,0,41,305,0,0,41,305,14,100,12,82,2,18,10,10,3,4,1100,3973,1028,3550,226,296,802,3254,0,0,41,305,0,0,41,305,14,100,12,82,2,18,14,14,3,4
"경기",수원시 영통구,955,3810,912,3553,253,306,659,3247,0,0,13,73,0,0,13,73,12,165,10,129,2,36,16,17,2,2,954,3755,919,3547,264,319,655,3228,0,0,5,24,0,0,5,24,12,165,10,129,2,36,16,17,2,2
"경기",안양시 만안구,544,2204,530,2124,117,165,413,1959,0,0,8,49,0,0,8,49,3,27,3,27,0,0,3,4,0,0,544,2204,530,2124,117,165,413,1959,0,0,8,49,0,0,8,49,3,27,3,27,0,0,3,4,0,0
"경기",안양시 동안구,620,2457,589,2300,144,187,445,2113,0,0,15,74,1,1,14,73,12,75,11,63,1,12,4,8,0,0,599,2344,575,2185,145,188,430,1997,0,0,15,74,1,1,14,73,5,77,4,65,1,12,4,8,0,0
"경기",의정부시,1320,5736,1164,4757,209,260,955,4497,0,0,139,850,0,0,139,850,9,120,8,103,1,17,8,9,0,0,1424,6056,1262,5030,230,281,1032,4749,0,0,140,851,0,0,140,851,11,163,9,141,2,22,11,12,0,0
"경기",과천시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"경기",구리시,592,2577,556,2366,114,140,442,2226,0,0,30,168,0,0,30,168,4,41,2,31,2,10,2,2,0,0,566,2446,529,2234,116,148,413,2086,0,0,30,168,0,0,30,168,4,41,2,31,2,10,3,3,0,0
"경기",안산시 단원구,1421,5957,1342,5421,285,383,1057,5038,0,0,65,435,1,1,64,434,6,89,5,64,1,25,4,4,4,8,1465,6092,1383,5553,297,395,1086,5158,0,0,65,435,1,1,64,434,5,88,4,63,1,25,8,8,4,8
"경기",안산시 상록구,843,3433,776,3074,87,139,689,2935,0,0,64,335,3,3,61,332,1,22,1,22,0,0,2,2,0,0,854,3465,777,3070,87,139,690,2931,0,0,74,371,8,8,66,363,1,22,1,22,0,0,2,2,0,0
"경기",평택시,1240,4365,1201,4096,383,474,818,3622,0,0,32,198,1,1,31,197,4,65,4,65,0,0,3,6,0,0,1255,4468,1216,4199,377,472,839,3727,0,0,32,198,1,1,31,197,4,65,4,65,0,0,3,6,0,0
"경기",하남시,486,1772,475,1727,143,227,332,1500,0,0,11,45,1,2,10,43,0,0,0,0,0,0,0,0,0,0,495,1833,484,1788,138,208,346,1580,0,0,11,45,1,2,10,43,0,0,0,0,0,0,0,0,0,0
"경기",군포시,555,2277,524,2131,125,165,399,1966,0,0,20,83,0,0,20,83,2,29,2,29,0,0,9,34,0,0,562,2289,531,2141,126,167,405,1974,0,0,20,83,0,0,20,83,2,31,2,31,0,0,9,34,0,0
"경기",남양주시,1509,6154,1398,5450,379,499,1019,4951,0,0,81,580,0,0,81,580,5,82,5,82,0,0,25,42,0,0,1520,6212,1418,5516,380,502,1038,5014,0,0,81,580,0,0,81,580,6,92,6,92,0,0,15,24,0,0
"경기",의왕시,387,1882,212,994,24,35,188,959,0,0,175,888,1,1,174,887,0,0,0,0,0,0,0,0,0,0,387,1882,212,994,24,35,188,959,0,0,175,888,1,1,174,887,0,0,0,0,0,0,0,0,0,0
"경기",시흥시,1147,4527,1132,4467,241,339,891,4128,0,0,0,0,0,0,0,0,3,31,3,31,0,0,12,29,0,0,1192,4522,1169,4454,255,354,914,4100,0,0,0,0,0,0,0,0,3,36,3,36,0,0,20,32,0,0
"경기",오산시,740,2938,641,2380,171,211,470,2169,0,0,93,528,0,0,93,528,2,26,2,26,0,0,4,4,0,0,733,2919,634,2361,168,208,466,2153,0,0,93,528,0,0,93,528,2,26,2,26,0,0,4,4,0,0
"경기",고양시 덕양구,831,3826,728,3021,149,194,579,2827,0,0,92,743,1,1,91,742,4,46,3,43,1,3,7,16,0,0,831,3822,728,3021,149,194,579,2827,0,0,92,739,1,1,91,738,4,46,3,43,1,3,7,16,0,0
"경기",고양시 일산 서구,666,2862,628,2577,104,131,524,2446,0,0,33,214,0,0,33,214,3,69,2,50,1,19,2,2,0,0,667,2864,629,2579,104,131,525,2448,0,0,33,214,0,0,33,214,3,69,2,50,1,19,2,2,0,0
"경기",고양시 일산 동구,1686,6371,1593,5808,498,624,1095,5184,0,0,57,362,2,2,55,360,16,175,10,115,6,60,12,12,8,14,1711,6435,1624,5876,525,658,1099,5218,0,0,57,362,2,2,55,360,14,175,8,113,6,62,8,8,8,14
"경기",용인기흥구,1197,5009,995,4080,226,325,769,3755,0,0,167,860,3,3,164,857,27,56,24,46,3,10,8,13,0,0,1260,5192,1052,4254,246,347,806,3907,0,0,167,860,3,3,164,857,33,62,30,52,3,10,8,16,0,0
"경기",용인수지구,441,1501,441,1501,199,307,242,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,1501,441,1501,199,307,242,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"경기",용인처인구,522,2088,489,1878,92,146,397,1732,0,0,32,202,0,0,32,202,1,8,1,8,0,0,0,0,0,0,514,2080,481,1870,84,138,397,1732,0,0,32,202,0,0,32,202,1,8,1,8,0,0,0,0,0,0
"경기",이천시,564,2337,467,1816,133,185,334,1631,0,0,90,509,0,0,90,509,1,6,1,6,0,0,6,6,0,0,580,2363,483,1842,141,195,342,1647,0,0,90,509,0,0,90,509,1,6,1,6,0,0,6,6,0,0
"경기",파주시,1229,5016,1171,4704,318,481,853,4223,0,0,41,270,0,0,41,270,1,8,1,8,0,0,16,34,0,0,1241,5046,1180,4716,331,497,849,4219,0,0,41,270,0,0,41,270,1,8,1,8,0,0,19,52,0,0
"경기",김포시,1203,4238,1098,3553,363,401,735,3152,0,0,99,654,5,5,94,649,4,29,4,29,0,0,2,2,0,0,1193,4244,1080,3519,357,390,723,3129,0,0,107,694,5,5,102,689,4,29,4,29,0,0,2,2,0,0
"경기",안성시,524,2257,470,1945,92,120,378,1825,0,0,44,269,0,0,44,269,2,35,2,35,0,0,8,8,0,0,510,2234,456,1922,89,117,367,1805,0,0,44,269,0,0,44,269,2,35,2,35,0,0,8,8,0,0
"경기",화성시,1553,5591,1435,4876,423,522,1012,4354,0,0,88,569,0,0,88,569,9,94,7,75,2,19,21,52,0,0,1534,5549,1416,4834,412,507,1004,4327,0,0,88,569,0,0,88,569,9,94,7,75,2,19,21,52,0,0
"경기",광주시,574,2114,572,2100,165,240,407,1860,0,0,0,0,0,0,0,0,1,13,1,13,0,0,1,1,0,0,581,1994,579,1980,186,250,393,1730,0,0,0,0,0,0,0,0,1,13,1,13,0,0,1,1,0,0
"경기",양주시,640,2912,568,2500,107,185,461,2315,0,0,62,384,1,3,61,381,0,0,0,0,0,0,10,28,0,0,649,2922,577,2510,116,195,461,2315,0,0,62,384,1,3,61,381,0,0,0,0,0,0,10,28,0,0
"경기",포천시,366,1719,324,1413,79,129,245,1284,0,0,32,275,0,0,32,275,2,20,2,20,0,0,8,11,0,0,376,1712,335,1412,79,130,256,1282,0,0,31,269,0,0,31,269,2,20,2,20,0,0,8,11,0,0
"강원",소계,4442,17138,4035,14692,1008,1292,3027,13400,0,0,281,1832,0,0,281,1832,52,441,46,388,6,53,71,169,3,4,4471,17216,4064,14771,1018,1314,3046,13457,0,0,281,1829,0,0,281,1829,52,443,46,390,6,53,71,169,3,4
"강원",고성군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"강원",양구군,36,168,35,163,6,6,29,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,36,168,35,163,6,6,29,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0
"강원",양양군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"강원",영월군,86,334,83,320,3,3,80,317,0,0,0,0,0,0,0,0,1,12,1,12,0,0,2,2,0,0,86,334,83,320,3,3,80,317,0,0,0,0,0,0,0,0,1,12,1,12,0,0,2,2,0,0
"강원",인제군,32,138,32,138,7,11,25,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,138,32,138,7,11,25,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"강원",정선군,58,207,56,198,9,9,47,189,0,0,0,0,0,0,0,0,1,7,1,7,0,0,1,2,0,0,58,199,56,190,9,9,47,181,0,0,0,0,0,0,0,0,1,7,1,7,0,0,1,2,0,0
"강원",철원군,84,355,83,352,9,11,74,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,84,355,83,352,9,11,74,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"강원",평창군,64,196,64,196,15,36,49,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,196,64,196,15,36,49,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"강원",홍천군,163,714,155,687,51,71,104,616,0,0,3,10,0,0,3,10,1,7,1,7,0,0,4,10,0,0,163,704,155,677,51,71,104,606,0,0,3,10,0,0,3,10,1,7,1,7,0,0,4,10,0,0
"강원",화천군,14,47,13,42,6,8,7,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,14,47,13,42,6,8,7,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0
"강원",횡성군,72,199,72,199,27,46,45,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,199,72,199,27,46,45,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"강원",강릉시,714,2660,619,1987,175,187,444,1800,0,0,69,525,0,0,69,525,7,107,6,94,1,13,19,41,0,0,714,2660,619,1987,175,187,444,1800,0,0,69,525,0,0,69,525,7,107,6,94,1,13,19,41,0,0
"강원",동해시,328,1439,289,1226,78,106,211,1120,0,0,34,179,0,0,34,179,2,28,2,28,0,0,3,6,0,0,328,1439,289,1226,78,106,211,1120,0,0,34,179,0,0,34,179,2,28,2,28,0,0,3,6,0,0
"강원",속초시,224,872,222,847,54,72,168,775,0,0,0,0,0,0,0,0,2,25,2,25,0,0,0,0,0,0,224,872,222,847,54,72,168,775,0,0,0,0,0,0,0,0,2,25,2,25,0,0,0,0,0,0
"강원",원주시,1369,4730,1264,4148,296,383,968,3765,0,0,67,385,0,0,67,385,14,123,12,98,2,25,21,70,3,4,1399,4826,1294,4245,308,407,986,3838,0,0,67,382,0,0,67,382,14,125,12,100,2,25,21,70,3,4
"강원",춘천시,944,4158,803,3300,217,269,586,3031,0,0,108,733,0,0,108,733,22,107,19,92,3,15,11,18,0,0,944,4164,803,3306,215,267,588,3039,0,0,108,733,0,0,108,733,22,107,19,92,3,15,11,18,0,0
"강원",태백시,133,509,129,487,15,15,114,472,0,0,0,0,0,0,0,0,1,19,1,19,0,0,3,3,0,0,133,509,129,487,15,15,114,472,0,0,0,0,0,0,0,0,1,19,1,19,0,0,3,3,0,0
"강원",삼척시,121,412,116,402,40,59,76,343,0,0,0,0,0,0,0,0,1,6,1,6,0,0,4,4,0,0,120,406,115,396,40,59,75,337,0,0,0,0,0,0,0,0,1,6,1,6,0,0,4,4,0,0
"충북",소계,5434,21640,4805,18098,1246,1598,3559,16500,0,0,562,3130,25,25,537,3105,20,294,18,264,2,30,46,114,1,4,5358,21503,4717,17902,1262,1619,3455,16283,0,0,571,3165,25,25,546,3140,21,311,19,281,2,30,48,121,1,4
"충북",괴산군,89,408,78,349,1,1,77,348,0,0,11,59,0,0,11,59,0,0,0,0,0,0,0,0,0,0,90,409,72,311,1,1,71,310,0,0,18,98,0,0,18,98,0,0,0,0,0,0,0,0,0,0
"충북",단양군,92,225,92,225,15,25,77,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,194,51,194,15,27,36,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"충북",보은군,179,742,153,599,54,102,99,497,0,0,26,143,0,0,26,143,0,0,0,0,0,0,0,0,0,0,179,742,153,599,54,102,99,497,0,0,26,143,0,0,26,143,0,0,0,0,0,0,0,0,0,0
"충북",영동군,154,719,154,719,29,51,125,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,719,154,719,29,51,125,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"충북",옥천군,172,815,143,700,20,33,123,667,0,0,28,108,0,0,28,108,1,7,1,7,0,0,0,0,0,0,171,794,143,698,20,33,123,665,0,0,27,89,0,0,27,89,1,7,1,7,0,0,0,0,0,0
"충북",음성군,458,2118,235,1017,17,22,218,995,0,0,223,1101,23,23,200,1078,0,0,0,0,0,0,0,0,0,0,371,1879,148,778,14,19,134,759,0,0,223,1101,23,23,200,1078,0,0,0,0,0,0,0,0,0,0
"충북",진천군,165,873,144,692,29,33,115,659,0,0,20,163,0,0,20,163,1,18,1,18,0,0,0,0,0,0,181,911,160,730,33,37,127,693,0,0,20,163,0,0,20,163,1,18,1,18,0,0,0,0,0,0
"충북",증평군,60,244,60,244,1,2,59,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,244,60,244,1,2,59,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"충북",청주시 상당구,497,2274,419,1667,95,112,324,1555,0,0,68,542,0,0,68,542,2,52,2,52,0,0,8,13,0,0,497,2271,415,1638,96,113,319,1525,0,0,71,563,0,0,71,563,2,52,2,52,0,0,9,18,0,0
"충북",청주시 흥덕구,791,2762,776,2676,271,314,505,2362,0,0,8,49,0,0,8,49,6,36,5,31,1,5,1,1,0,0,787,2748,772,2662,270,313,502,2349,0,0,8,49,0,0,8,49,6,36,5,31,1,5,1,1,0,0
"충북",청주시 청원구,543,1718,534,1685,191,207,343,1478,0,0,0,0,0,0,0,0,2,24,2,24,0,0,7,9,0,0,576,1841,567,1808,194,210,373,1598,0,0,0,0,0,0,0,0,2,24,2,24,0,0,7,9,0,0
"충북",청주시 서원구,938,3741,813,3068,209,256,604,2812,0,0,96,493,1,1,95,492,4,103,3,78,1,25,24,73,1,4,938,3757,811,3071,210,260,601,2811,0,0,96,487,1,1,95,486,5,120,4,95,1,25,25,75,1,4
"충북",충주시,708,2648,673,2453,154,215,519,2238,0,0,27,145,1,1,26,144,2,32,2,32,0,0,6,18,0,0,710,2630,675,2435,165,226,510,2209,0,0,27,145,1,1,26,144,2,32,2,32,0,0,6,18,0,0
"충북",제천시,588,2353,531,2004,160,225,371,1779,0,0,55,327,0,0,55,327,2,22,2,22,0,0,0,0,0,0,593,2364,536,2015,160,225,376,1790,0,0,55,327,0,0,55,327,2,22,2,22,0,0,0,0,0,0
"충남",소계,6694,28058,6012,24009,1384,1851,4628,22158,0,0,591,3554,1,1,590,3553,22,346,20,291,2,55,69,149,0,0,6797,28740,6125,24885,1388,1854,4737,23031,0,0,581,3364,2,2,579,3362,22,346,20,291,2,55,69,145,0,0
"충남",금산군,119,627,119,627,7,7,112,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,606,110,606,7,7,103,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"충남",당진시,348,1321,338,1268,76,88,262,1180,0,0,7,38,0,0,7,38,1,13,1,13,0,0,2,2,0,0,353,1339,343,1286,76,88,267,1198,0,0,7,38,0,0,7,38,1,13,1,13,0,0,2,2,0,0
"충남",부여군,231,1139,193,809,70,155,123,654,0,0,38,330,0,0,38,330,0,0,0,0,0,0,0,0,0,0,237,1142,193,810,70,155,123,655,0,0,44,332,0,0,44,332,0,0,0,0,0,0,0,0,0,0
"충남",서천군,268,1148,242,1010,14,18,228,992,0,0,26,138,0,0,26,138,0,0,0,0,0,0,0,0,0,0,267,1136,241,998,14,18,227,980,0,0,26,138,0,0,26,138,0,0,0,0,0,0,0,0,0,0
"충남",예산군,109,430,100,366,18,18,82,348,0,0,7,49,0,0,7,49,2,15,2,15,0,0,0,0,0,0,109,430,100,366,18,18,82,348,0,0,7,49,0,0,7,49,2,15,2,15,0,0,0,0,0,0
"충남",청양군,45,219,45,219,8,18,37,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,219,45,219,8,18,37,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"충남",홍성군,355,1632,263,1192,32,37,231,1155,0,0,89,412,0,0,89,412,1,25,1,25,0,0,2,3,0,0,363,1632,271,1216,33,38,238,1178,0,0,89,388,1,1,88,387,1,25,1,25,0,0,2,3,0,0
"충남",태안군,108,436,108,436,30,44,78,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,436,108,436,30,44,78,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"충남",천안시 서북구,1396,4970,1270,4273,387,467,883,3806,0,0,125,675,0,0,125,675,1,22,1,22,0,0,0,0,0,0,1394,4947,1267,4250,384,461,883,3789,0,0,126,675,0,0,126,675,1,22,1,22,0,0,0,0,0,0
"충남",천안시 동남구,1019,4545,940,4050,155,182,785,3868,0,0,40,240,1,1,39,239,8,183,6,128,2,55,31,72,0,0,1009,4479,930,3988,155,182,775,3806,0,0,40,240,1,1,39,239,8,183,6,128,2,55,31,68,0,0
