"시군구별(1)","시군구별(2)",성별(1),2017,2017,2017,2017,2017,2017,2017,2017
"시군구별(1)","시군구별(2)",성별(1),당뇨병,당뇨병,당뇨병,당뇨병,고혈압,고혈압,고혈압,고혈압
"시군구별(1)","시군구별(2)",성별(1),소계,정상,공복혈당장애,당뇨병,소계,정상,고혈압전단계,고혈압
"부산","동구",남자,387,49,133,205,357,29,159,169
"부산","동구",여자,129,15,46,68,197,34,91,72
"부산","영도구",합계,596,104,201,291,803,66,339,398
"부산","영도구",남자,432,70,148,214,532,42,230,260
"부산","영도구",여자,164,34,53,77,271,24,109,138
"부산","부산진구",합계,1722,186,625,911,1966,149,763,1054
"부산","부산진구",남자,1266,132,447,687,1346,84,514,748
"부산","부산진구",여자,456,54,178,224,620,65,249,306
"부산","동래구",합계,1063,105,339,619,1320,138,489,693
"부산","동래구",남자,820,81,260,479,926,78,357,491
"부산","동래구",여자,243,24,79,140,394,60,132,202
"부산","남구",합계,1422,218,501,703,1425,125,580,720
"부산","남구",남자,1060,151,369,540,966,72,387,507
"부산","남구",여자,362,67,132,163,459,53,193,213
"부산","북구",합계,1464,177,555,732,1899,121,799,979
"부산","북구",남자,1102,119,405,578,1316,75,546,695
"부산","북구",여자,362,58,150,154,583,46,253,284
"부산","해운대구",합계,1710,211,630,869,1845,163,723,959
"부산","해운대구",남자,1251,151,455,645,1292,95,506,691
"부산","해운대구",여자,459,60,175,224,553,68,217,268
"부산","사하구",합계,1903,253,695,955,2325,211,882,1232
"부산","사하구",남자,1435,182,520,733,1705,120,661,924
"부산","사하구",여자,468,71,175,222,620,91,221,308
"부산","금정구",합계,1092,157,375,560,1428,141,541,746
"부산","금정구",남자,824,120,290,414,999,79,388,532
"부산","금정구",여자,268,37,85,146,429,62,153,214
"부산","강서구",합계,510,96,161,253,679,78,264,337
"부산","강서구",남자,421,77,132,212,544,49,224,271
"부산","강서구",여자,89,19,29,41,135,29,40,66
"부산","연제구",합계,724,93,242,389,898,91,352,455
"부산","연제구",남자,520,65,176,279,640,51,252,337
"부산","연제구",여자,204,28,66,110,258,40,100,118
"부산","수영구",합계,747,78,254,415,812,95,291,426
"부산","수영구",남자,535,61,176,298,558,57,190,311
"부산","수영구",여자,212,17,78,117,254,38,101,115
"부산","사상구",합계,1285,151,456,678,1617,163,616,838
