"시군구별(1)","시군구별(2)",성별(1),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"시군구별(1)","시군구별(2)",성별(1),일반질환의심,일반질환의심,일반질환의심,일반질환의심,일반질환의심,일반질환의심,일반질환의심,일반질환의심,일반질환의심,고혈압당뇨병 질환의심,고혈압당뇨병 질환의심,고혈압당뇨병 질환의심
"시군구별(1)","시군구별(2)",성별(1),실인원,폐결핵,기타흉부질환,이상지질혈증,간장질환,신장질환,빈혈증,골다공증,기타질환,실인원,고혈압,당뇨병
"서울","구로구",여자,18998,31,2807,4266,5237,2496,1006,1116,6412,4801,3562,1470
"서울","금천구",합계,26874,56,3220,5712,11767,2906,947,701,9232,8367,6083,2817
"서울","금천구",남자,16363,42,1694,3627,8708,1658,418,-,5589,5605,4024,1979
"서울","금천구",여자,10511,14,1526,2085,3059,1248,529,701,3643,2762,2059,838
"서울","영등포구",합계,43002,114,4872,9398,16791,5604,1343,871,17671,11764,8590,3884
"서울","영등포구",남자,25741,62,2574,5937,12396,2982,523,-,10487,7923,5776,2699
"서울","영등포구",여자,17261,52,2298,3461,4395,2622,820,871,7184,3841,2814,1185
"서울","동작구",합계,39815,55,4566,8910,15771,5341,1527,865,14487,11304,8312,3610
"서울","동작구",남자,23983,36,2343,5681,11543,2820,596,-,9112,7491,5485,2470
"서울","동작구",여자,15832,19,2223,3229,4228,2521,931,865,5375,3813,2827,1140
"서울","관악구",합계,51909,107,7915,11815,22013,6530,1713,1224,15557,16750,12874,4767
"서울","관악구",남자,31132,70,3861,7574,15989,3488,712,-,9730,10791,8192,3250
"서울","관악구",여자,20777,37,4054,4241,6024,3042,1001,1224,5827,5959,4682,1517
"서울","서초구",합계,37217,75,3955,8698,14123,4762,1342,676,13812,9672,7169,2992
"서울","서초구",남자,23318,42,2153,5561,10645,2652,416,-,9443,6702,4908,2179
"서울","서초구",여자,13899,33,1802,3137,3478,2110,926,676,4369,2970,2261,813
"서울","강남구",합계,45853,79,5207,10153,17117,6020,1470,801,18129,12148,8984,3777
"서울","강남구",남자,28051,44,2552,6429,12713,3190,433,-,12077,8237,5999,2708
"서울","강남구",여자,17802,35,2655,3724,4404,2830,1037,801,6052,3911,2985,1069
"서울","송파구",합계,67426,93,6591,15248,26858,8292,2244,1091,26939,17992,13054,5962
"서울","송파구",남자,41196,56,3321,9532,20096,4666,716,-,17060,12111,8713,4190
"서울","송파구",여자,26230,37,3270,5716,6762,3626,1528,1091,9879,5881,4341,1772
"서울","강동구",합계,45379,104,4634,10280,19043,5967,1542,780,16822,12303,9032,3975
"서울","강동구",남자,27302,68,2269,6513,13884,3342,595,-,10230,8330,6062,2812
"서울","강동구",여자,18077,36,2365,3767,5159,2625,947,780,6592,3973,2970,1163
"부산","소계",합계,377602,501,49118,98175,167503,45399,16777,8243,101679,97297,61110,41740
"부산","소계",남자,230352,357,25507,59538,122131,26536,7219,-,64880,64708,39680,29271
"부산","소계",여자,147250,144,23611,38637,45372,18863,9558,8243,36799,32589,21430,12469
"부산","중구",합계,4709,4,900,1125,1950,589,242,121,1185,1458,955,604
"부산","중구",남자,2690,3,427,636,1382,324,102,-,713,900,563,404
"부산","중구",여자,2019,1,473,489,568,265,140,121,472,558,392,200
"부산","서구",합계,12897,13,2195,3017,5147,1723,598,319,4256,3800,2380,1706
"부산","서구",남자,7553,10,1106,1775,3784,945,269,-,2431,2501,1509,1216
"부산","서구",여자,5344,3,1089,1242,1363,778,329,319,1825,1299,871,490
"부산","동구",합계,10924,19,2112,2453,4286,1400,590,271,3374,2851,1807,1210
"부산","동구",남자,6177,13,1026,1415,3091,788,255,-,1818,1828,1131,829
"부산","동구",여자,4747,6,1086,1038,1195,612,335,271,1556,1023,676,381
"부산","영도구",합계,13375,19,1998,3205,5579,1559,638,331,4221,3792,2354,1694
"부산","영도구",남자,8167,16,1164,1969,4009,942,353,-,2638,2458,1462,1188
"부산","영도구",여자,5208,3,834,1236,1570,617,285,331,1583,1334,892,506
"부산","부산진구",합계,39670,59,4555,10039,17642,4492,1753,1003,12022,10065,6263,4379
"부산","부산진구",남자,23674,43,2365,6048,12650,2613,765,-,7311,6494,3977,2956
"부산","부산진구",여자,15996,16,2190,3991,4992,1879,988,1003,4711,3571,2286,1423
"부산","동래구",합계,28125,44,3229,7609,12678,3537,1216,627,6622,6727,4239,2872
"부산","동래구",남자,17189,27,1700,4530,9220,2131,511,-,4407,4618,2839,2084
"부산","동래구",여자,10936,17,1529,3079,3458,1406,705,627,2215,2109,1400,788
"부산","남구",합계,31255,49,4530,8954,13361,4100,1845,638,7437,7864,4761,3566
"부산","남구",남자,18367,37,2322,5058,9528,2308,717,-,4719,5132,3087,2401
"부산","남구",여자,12888,12,2208,3896,3833,1792,1128,638,2718,2732,1674,1165
"부산","북구",합계,35119,27,5880,8734,15392,3915,1236,623,10102,8638,5602,3513
"부산","북구",남자,21556,16,3139,5244,11212,2274,514,-,6536,5686,3538,2498
"부산","북구",여자,13563,11,2741,3490,4180,1641,722,623,3566,2952,2064,1015
"부산","해운대구",합계,39943,66,4188,11073,18415,4845,1805,882,9215,10080,6326,4295
"부산","해운대구",남자,24561,38,2179,6794,13235,2895,724,-,6190,6762,4172,3002
"부산","해운대구",여자,15382,28,2009,4279,5180,1950,1081,882,3025,3318,2154,1293
"부산","사하구",합계,38918,49,4402,9637,17683,4252,1760,771,11848,11261,6957,4989
"부산","사하구",남자,24538,36,2329,6042,13249,2540,732,-,7640,7562,4609,3492
"부산","사하구",여자,14380,13,2073,3595,4434,1712,1028,771,4208,3699,2348,1497
"부산","금정구",합계,25033,29,3465,6835,11123,3284,1106,582,5208,6316,3961,2689
"부산","금정구",남자,14895,21,1715,3992,7960,1915,487,-,3431,4192,2549,1898
"부산","금정구",여자,10138,8,1750,2843,3163,1369,619,582,1777,2124,1412,791
"부산","강서구",합계,13794,17,1378,3619,6743,1172,480,181,4025,3254,2089,1331
"부산","강서구",남자,9928,13,788,2657,5535,779,219,-,2953,2416,1513,1043
"부산","강서구",여자,3866,4,590,962,1208,393,261,181,1072,838,576,288
"부산","연제구",합계,21416,20,2655,5641,9537,2724,959,486,5408,5401,3399,2259
"부산","연제구",남자,12766,17,1326,3388,6835,1586,449,-,3378,3590,2182,1597
"부산","연제구",여자,8650,3,1329,2253,2702,1138,510,486,2030,1811,1217,662
"부산","수영구",합계,18553,21,2358,5029,7841,2932,830,388,4538,4770,3054,1974
"부산","수영구",남자,10801,20,1188,2941,5457,1596,386,-,2838,3069,1911,1351
"부산","수영구",여자,7752,1,1170,2088,2384,1336,444,388,1700,1701,1143,623
"부산","사상구",합계,27819,41,3354,7248,12437,3196,1053,697,8032,7142,4454,3109
"부산","사상구",남자,17109,30,1790,4449,9085,1867,488,-,5041,4778,2903,2184
"부산","사상구",여자,10710,11,1564,2799,3352,1329,565,697,2991,2364,1551,925
"부산","기장군",합계,16052,24,1919,3957,7689,1679,666,323,4186,3878,2509,1550
"부산","기장군",남자,10381,17,943,2600,5899,1033,248,-,2836,2722,1735,1128
"부산","기장군",여자,5671,7,976,1357,1790,646,418,323,1350,1156,774,422
"대구","소계",합계,255303,338,33229,59784,106771,29724,12339,5681,75606,67759,47774,23504
"대구","소계",남자,153967,230,17982,36835,79433,16784,4798,-,43201,44702,31096,16261
"대구","소계",여자,101336,108,15247,22949,27338,12940,7541,5681,32405,23057,16678,7243
"대구","중구",합계,7827,15,937,1688,3118,934,368,191,2910,1941,1378,675
"대구","중구",남자,4462,10,492,1023,2229,518,181,-,1513,1268,908,443
"대구","중구",여자,3365,5,445,665,889,416,187,191,1397,673,470,232
"대구","동구",합계,37408,35,4977,7987,15474,4921,1729,912,11833,9618,6725,3370
"대구","동구",남자,21889,28,2556,4833,11340,2576,781,-,6482,6290,4300,2350
"대구","동구",여자,15519,7,2421,3154,4134,2345,948,912,5351,3328,2425,1020
"대구","서구",합계,21113,59,3431,4655,8738,2269,1077,627,5855,5723,3992,2047
"대구","서구",남자,12139,37,1765,2761,6156,1318,520,-,3156,3653,2504,1385
"대구","서구",여자,8974,22,1666,1894,2582,951,557,627,2699,2070,1488,662
"대구","남구",합계,15873,18,1717,3782,6212,2082,786,364,5861,4265,2807,1700
"대구","남구",남자,8811,12,918,2141,4357,1042,391,-,2911,2639,1712,1106
"대구","남구",여자,7062,6,799,1641,1855,1040,395,364,2950,1626,1095,594
"대구","북구",합계,43755,61,5658,10903,19642,4518,2109,898,10817,12027,8400,4253
"대구","북구",남자,26794,39,3115,6758,14654,2689,728,-,6198,8117,5690,2909
"대구","북구",여자,16961,22,2543,4145,4988,1829,1381,898,4619,3910,2710,1344
"대구","수성구",합계,41340,53,5186,9919,16151,5311,1959,898,13041,10518,7460,3571
"대구","수성구",남자,24479,36,2776,6011,11887,2910,655,-,7727,6923,4760,2535
"대구","수성구",여자,16861,17,2410,3908,4264,2401,1304,898,5314,3595,2700,1036
"대구","달서구",합계,60449,66,7867,14279,24573,6764,2942,1286,18879,16227,11729,5334
"대구","달서구",남자,37207,47,4408,8968,18663,4021,1041,-,11115,10669,7570,3736
"대구","달서구",여자,23242,19,3459,5311,5910,2743,1901,1286,7764,5558,4159,1598
