"상반기","부산","영도구",남자,792,240,35,6,511,6
"상반기","부산","영도구",여자,690,237,34,4,415,2
"상반기","부산","부산진구",합계,3234,1088,263,44,1839,17
"상반기","부산","부산진구",남자,1758,543,152,33,1030,11
"상반기","부산","부산진구",여자,1476,545,111,11,809,6
"상반기","부산","동래구",합계,2336,599,198,15,1524,11
"상반기","부산","동래구",남자,1314,299,126,12,877,9
"상반기","부산","동래구",여자,1022,300,72,3,647,2
"상반기","부산","남구",합계,2666,1112,180,34,1340,14
"상반기","부산","남구",남자,1429,544,95,23,767,8
"상반기","부산","남구",여자,1237,568,85,11,573,6
"상반기","부산","북구",합계,2793,795,292,22,1684,17
"상반기","부산","북구",남자,1494,394,172,18,910,13
"상반기","부산","북구",여자,1299,401,120,4,774,4
"상반기","부산","해운대구",합계,3857,1096,293,26,2442,16
"상반기","부산","해운대구",남자,2027,523,170,20,1314,13
"상반기","부산","해운대구",여자,1830,573,123,6,1128,3
"상반기","부산","사하구",합계,3725,1248,283,29,2165,15
"상반기","부산","사하구",남자,1991,620,151,21,1199,12
"상반기","부산","사하구",여자,1734,628,132,8,966,3
"상반기","부산","금정구",합계,2476,755,169,20,1532,20
"상반기","부산","금정구",남자,1310,343,87,13,867,18
"상반기","부산","금정구",여자,1166,412,82,7,665,2
"상반기","부산","강서구",합계,1046,381,90,7,568,5
"상반기","부산","강서구",남자,633,220,60,5,348,4
"상반기","부산","강서구",여자,413,161,30,2,220,1
"상반기","부산","연제구",합계,1887,552,180,11,1144,5
"상반기","부산","연제구",남자,1034,281,98,6,649,4
"상반기","부산","연제구",여자,853,271,82,5,495,1
"상반기","부산","수영구",합계,1727,691,184,13,839,10
"상반기","부산","수영구",남자,881,313,104,7,457,7
"상반기","부산","수영구",여자,846,378,80,6,382,3
"상반기","부산","사상구",합계,2072,633,134,23,1282,8
"상반기","부산","사상구",남자,1178,325,84,20,749,5
"상반기","부산","사상구",여자,894,308,50,3,533,3
"상반기","부산","기장군",합계,1483,462,232,12,777,6
"상반기","부산","기장군",남자,795,247,129,10,409,5
"상반기","부산","기장군",여자,688,215,103,2,368,1
"상반기","대구","소계",합계,21996,8067,1476,172,12281,48
"상반기","대구","소계",남자,11693,3984,867,106,6736,27
"상반기","대구","소계",여자,10303,4083,609,66,5545,21
"상반기","대구","중구",합계,719,244,34,5,436,4
"상반기","대구","중구",남자,373,112,25,2,234,2
"상반기","대구","중구",여자,346,132,9,3,202,2
"상반기","대구","동구",합계,3472,1257,181,16,2018,12
"상반기","대구","동구",남자,1826,618,106,11,1091,5
"상반기","대구","동구",여자,1646,639,75,5,927,7
"상반기","대구","서구",합계,1606,562,105,11,928,2
"상반기","대구","서구",남자,843,285,67,8,483,-
"상반기","대구","서구",여자,763,277,38,3,445,2
"상반기","대구","남구",합계,1292,576,72,18,626,3
"상반기","대구","남구",남자,627,274,42,13,298,2
"상반기","대구","남구",여자,665,302,30,5,328,1
