"행정구역별(1)",행정구역별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
"행정구역별(1)",행정구역별(2),주민등록인구수(등록외국인포함) (명),합계,합계,합계,종합병원 (개),종합병원 (개),종합병원 (개),병원 (개),병원 (개),의원 (개),의원 (개),특수병원 (개),특수병원 (개),요양병원 (개),요양병원 (개),치과병(의)원 (개),치과병(의)원 (개),한방병원 (개),한방병원 (개),한의원 (개),한의원 (개),조산소 (개),조산소 (개),부속병·의원 (개),부속병·의원 (개),보건의료원 (개),보건소 (개),보건지소 (개),보건진료소 (개)
"행정구역별(1)",행정구역별(2),소계,병원수 (개),병상수 (개),병상확보율 (%),병원수,병상수,만명당종합병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,소계,소계,소계,소계
"부산광역시",서구,111945,144,5051,4.51,4,3474,0.36,2,165,61,173,1,127,5,963,33,-,1,133,37,16,-,-,-,-,-,1,-,-
"부산광역시",동구,90856,171,2988,3.29,3,878,0.33,5,547,74,61,-,-,5,1429,37,-,1,73,46,-,-,-,-,-,-,1,-,-
"부산광역시",영도구,125347,145,1695,1.35,2,524,0.16,1,46,74,82,-,-,5,1043,29,-,-,-,34,-,-,-,-,-,-,1,-,-
"부산광역시",부산진구,374504,773,6943,1.85,4,1944,0.11,18,1436,407,558,-,-,17,2877,168,8,1,120,157,-,-,-,1,-,-,1,-,-
"부산광역시",동래구,271967,457,6182,2.27,3,872,0.11,15,1175,179,338,3,563,15,3234,132,-,-,-,110,-,-,-,-,-,-,1,-,-
"부산광역시",남구,279309,347,3452,1.24,1,412,0.04,5,575,152,278,3,637,8,1550,93,-,-,-,85,-,-,-,-,-,-,1,-,-
"부산광역시",북구,305045,354,4496,1.47,2,645,0.07,8,808,161,324,1,298,16,2421,90,-,-,-,75,-,-,-,1,-,-,1,1,-
"부산광역시",해운대구,417161,633,6323,1.52,2,1205,0.05,12,1214,308,692,2,439,17,2593,163,3,1,151,128,26,-,-,-,-,-,1,2,-
"부산광역시",사하구,338112,413,7482,2.21,-,-,0.00,20,2271,178,496,1,299,23,4365,103,-,1,30,87,21,-,-,-,-,-,1,-,-
"부산광역시",금정구,248917,343,5810,2.33,1,374,0.04,10,1098,138,245,2,675,19,3309,91,-,2,109,80,-,-,-,-,-,-,1,-,-
"부산광역시",강서구,123079,82,384,0.31,-,-,0.00,2,274,34,31,-,-,1,79,27,-,-,-,14,-,-,-,4,-,-,1,4,3
"부산광역시",연제구,207729,353,5134,2.47,1,555,0.05,10,1016,151,274,2,596,14,2588,92,-,2,73,79,29,1,3,1,-,1,1,-,-
"부산광역시",수영구,181725,297,4342,2.39,2,699,0.11,9,1079,114,179,-,-,11,2385,79,-,-,-,82,-,-,-,-,-,-,1,-,-
"부산광역시",사상구,234624,239,6560,2.80,2,901,0.09,8,1262,107,291,5,1688,12,2418,60,-,-,-,42,-,1,-,2,-,-,1,-,-
"부산광역시",기장군,163920,162,2011,1.23,1,298,0.06,6,478,77,269,-,-,6,966,39,-,-,-,33,-,-,-,-,-,-,1,3,2
"대구광역시",소계,2501673,3664,36327,1.45,12,6870,0.05,112,14839,1715,2942,1,350,61,11133,884,27,2,149,867,17,0,0,10,0,0,8,10,8
"대구광역시",중구,79759,430,4043,5.07,3,2071,0.38,10,1084,232,339,0,0,3,452,109,27,1,70,71,0,0,0,1,0,0,1,0,0
"대구광역시",동구,351206,458,3900,1.11,1,729,0.03,10,1493,224,517,0,0,7,1144,101,0,0,0,113,17,0,0,2,0,0,1,0,0
"대구광역시",서구,194379,264,3791,1.95,1,544,0.05,8,1109,122,260,0,0,9,1878,55,0,0,0,69,0,0,0,0,0,0,1,0,0
