"행정구역(시군구)별(1)",행정구역(시군구)별(2),행정구역(시군구)별(3),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"행정구역(시군구)별(1)",행정구역(시군구)별(2),행정구역(시군구)별(3),총인구 (명),총인구 (명),총인구 (명),합계 (명),합계 (명),합계 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명)
"행정구역(시군구)별(1)",행정구역(시군구)별(2),행정구역(시군구)별(3),소계,소계,소계,소계,소계,소계,소계,소계,소계,외국인근로자,외국인근로자,외국인근로자,결혼이민자,결혼이민자,결혼이민자,유학생,유학생,유학생,외국국적동포,외국국적동포,외국국적동포,기타외국인,기타외국인,기타외국인,소계,소계,소계,소계,소계,소계
"행정구역(시군구)별(1)",행정구역(시군구)별(2),행정구역(시군구)별(3),계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여
"서울특별시",영등포구,소계,394083,196903,197180,55524,28953,26571,48180,25835,22345,15204,9836,5368,3125,1213,1912,395,104,291,16171,7420,8751,13285,7262,6023,5630,2220,3410,1714,898,816
"서울특별시",동작구,소계,400368,194049,206319,20697,9339,11358,17972,8292,9680,3259,1941,1318,1100,338,762,4325,1539,2786,4357,1873,2484,4931,2601,2330,1631,488,1143,1094,559,535
"서울특별시",관악구,소계,507828,254082,253746,30247,13718,16529,25352,11877,13475,5850,3531,2319,2000,570,1430,2129,743,1386,7655,3200,4455,7718,3833,3885,3261,1004,2257,1634,837,797
"서울특별시",서초구,소계,404960,194195,210765,9755,5077,4678,7935,4273,3662,970,606,364,940,385,555,157,59,98,2035,870,1165,3833,2353,1480,514,131,383,1306,673,633
"서울특별시",강남구,소계,509199,244403,264796,11735,6231,5504,9725,5354,4371,1726,1036,690,1061,391,670,280,71,209,2667,1171,1496,3991,2685,1306,596,142,454,1414,735,679
"서울특별시",송파구,소계,648600,313725,334875,14126,6698,7428,10917,5425,5492,2444,1435,1009,1485,431,1054,141,60,81,3069,1325,1744,3778,2174,1604,1430,358,1072,1779,915,864
"서울특별시",강동구,소계,415287,204807,210480,9131,4125,5006,6669,3198,3471,1568,937,631,1003,204,799,145,83,62,1916,891,1025,2037,1083,954,1163,243,920,1299,684,615
"부산광역시",소계,소계,3372692,1655566,1717126,77968,40549,37419,60502,34021,26481,13855,12230,1625,7257,1188,6069,12475,6075,6400,3815,1804,2011,23100,12724,10376,5998,701,5297,11468,5827,5641
"부산광역시",중구,소계,41958,20861,21097,2620,1613,1007,2411,1532,879,765,704,61,142,20,122,321,116,205,149,64,85,1034,628,406,97,18,79,112,63,49
"부산광역시",서구,소계,105847,51645,54202,2919,1742,1177,2388,1551,837,874,820,54,229,29,200,309,132,177,138,64,74,838,506,332,215,29,186,316,162,154
