"시군구별",2019,2019,2019,2019,2019,2019,2019,2019
"시군구별",합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세
"중구",0.812,0.9,7.8,33.6,74.0,37.7,5.4,0.0
"서구",0.839,0.4,6.7,34.9,77.0,40.5,6.2,0.2
"유성구",0.987,0.3,4.6,40.7,97.5,47.7,5.9,0.1
"대덕구",0.849,1.8,9.0,37.2,77.1,35.3,6.3,0.0
"울산광역시",1.084,0.9,7.9,48.6,107.0,43.6,6.2,0.2
"중구",0.894,0.9,7.1,34.3,90.4,36.7,7.1,0.4
"남구",0.934,0.8,4.9,38.7,96.1,38.9,4.8,0.1
"동구",1.076,0.8,12.4,57.2,96.6,42.2,4.4,0.3
"북구",1.374,0.5,9.5,71.5,134.2,50.1,7.1,0.1
"울주군",1.226,1.7,9.5,52.4,119.4,50.9,7.8,0.0
"세종특별자치시",1.472,0.7,11.6,73.1,139.8,60.6,9.5,0.4
"세종시",1.472,0.7,11.6,73.1,139.8,60.6,9.5,0.4
"경기도",0.943,0.7,6.7,36.5,89.3,46.2,7.2,0.2
"수원시",0.890,0.7,5.2,31.9,87.4,44.1,6.6,0.1
"장안구",0.773,0.4,4.8,27.1,76.0,37.2,5.9,0.1
"권선구",0.941,1.0,8.1,37.6,86.5,46.8,6.9,0.1
"팔달구",0.664,0.9,4.4,20.0,64.4,37.0,5.2,0.0
"영통구",1.001,0.5,3.0,35.3,103.4,48.1,7.4,0.2
"성남시",0.852,0.4,4.3,24.5,83.1,48.4,8.2,0.1
"수정구",0.882,0.6,6.6,28.5,78.4,51.5,9.7,0.0
"중원구",0.838,1.0,6.5,30.9,75.4,44.1,8.5,0.1
"분당구",0.841,0.2,2.2,19.8,88.2,48.8,7.5,0.2
"의정부시",0.847,0.8,6.9,32.9,76.9,43.7,6.4,0.1
"안양시",0.980,0.2,3.6,28.4,100.1,54.4,7.1,0.3
"만안구",0.972,0.3,4.3,30.9,94.5,54.2,8.1,0.5
"동안구",0.986,0.1,3.1,26.4,104.3,54.6,6.4,0.2
"부천시",0.807,0.5,5.7,27.1,75.7,44.9,6.4,0.1
"원미구",-,-,-,-,-,-,-,-
"소사구",-,-,-,-,-,-,-,-
"오정구",-,-,-,-,-,-,-,-
"광명시",0.840,0.7,3.5,26.0,82.0,46.8,7.3,0.0
"평택시",1.102,1.2,12.8,56.8,94.7,45.8,6.7,0.5
"동두천시",0.854,1.7,12.5,45.7,68.8,32.9,6.9,0.5
"안산시",0.887,1.2,9.1,35.3,84.0,39.6,5.4,0.0
"상록구",0.858,1.5,8.5,33.1,79.3,40.8,6.0,0.1
"단원구",0.919,0.8,9.8,38.0,89.2,38.3,4.8,0.0
"고양시",0.802,0.3,4.2,25.5,77.4,43.3,7.4,0.2
"덕양구",0.889,0.4,6.2,29.9,85.7,45.2,8.7,0.2
"일산구",-,-,-,-,-,-,-,-
"일산동구",0.681,0.4,3.1,21.6,62.3,39.6,6.6,0.3
"일산서구",0.794,0.2,2.6,23.1,79.6,43.8,6.2,0.1
"과천시",0.780,0.0,1.0,26.7,84.5,38.0,3.9,0.0
"구리시",0.872,0.2,5.0,27.2,83.8,48.3,7.9,0.2
"남양주시",0.908,0.8,6.1,34.5,81.7,47.8,7.1,0.2
"오산시",1.040,1.5,14.9,54.6,86.7,41.1,8.3,0.3
"시흥시",1.081,1.4,7.7,45.8,100.2,51.0,7.9,0.2
"군포시",1.046,0.5,5.9,37.8,101.2,54.5,7.0,0.1
"의왕시",0.924,0.7,2.9,24.2,98.8,50.7,5.9,0.3
"하남시",0.975,0.2,5.2,31.2,93.6,53.9,10.3,0.0
"용인시",0.936,0.4,4.0,31.5,94.1,46.8,7.4,0.2
"처인구",0.980,1.1,9.4,44.8,82.5,47.4,8.0,0.6
"기흥구",0.939,0.4,3.0,33.4,96.8,44.4,7.2,0.1
"수지구",0.900,0.0,1.4,20.4,98.4,49.2,7.3,0.2
"파주시",1.050,1.1,9.8,54.1,93.5,43.1,6.2,0.2
"이천시",0.991,1.0,11.4,54.1,87.1,38.5,4.5,0.1
"안성시",1.002,1.5,9.7,53.2,85.1,41.0,5.9,0.4
"김포시",1.016,0.7,6.5,42.2,98.4,46.5,7.9,0.2
"화성시",1.199,0.5,10.2,60.3,112.5,47.8,7.5,0.3
"광주시",1.043,1.1,9.7,46.5,90.9,50.3,9.2,0.0
"양주시",1.030,1.0,10.5,53.1,88.6,42.3,6.9,0.2
"포천시",0.889,0.5,11.7,49.1,76.4,32.4,5.5,0.4
"여주시",1.083,0.7,13.7,50.8,89.2,52.9,5.0,0.5
"양주군",-,-,-,-,-,-,-,-
"여주군",-,-,-,-,-,-,-,-
"화성군",-,-,-,-,-,-,-,-
"광주군",-,-,-,-,-,-,-,-
"연천군",1.413,3.4,21.0,88.0,109.5,45.6,12.8,0.0
"포천군",-,-,-,-,-,-,-,-
"가평군",0.971,1.6,13.1,57.7,78.0,34.3,7.1,0.5
"양평군",1.024,0.4,10.8,42.5,88.6,43.8,11.9,0.7
"강원도",1.082,1.3,11.0,54.7,96.6,43.1,6.7,0.3
"춘천시",1.017,1.1,8.4,43.4,97.2,44.2,7.0,0.3
"원주시",1.030,1.2,9.7,48.1,94.3,42.1,8.1,0.2
"강릉시",0.959,2.0,10.0,46.4,87.3,36.1,5.5,0.7
"동해시",1.046,1.2,15.9,51.3,91.9,38.5,5.2,0.8
"태백시",1.006,0.0,3.9,46.6,103.4,41.1,3.4,0.6
"속초시",1.046,0.9,10.7,64.4,83.8,42.1,4.3,0.3
"삼척시",1.344,1.2,10.1,85.6,116.3,44.1,5.8,0.4
"홍천군",1.125,0.7,11.3,68.6,97.5,40.2,5.0,0.0
"횡성군",1.053,1.9,15.4,51.6,80.4,48.7,12.0,0.0
"영월군",0.920,4.5,8.7,40.4,73.8,45.1,7.6,0.0
"평창군",0.944,0.0,6.0,38.5,90.8,45.1,7.2,0.0
"정선군",1.112,0.0,8.1,46.8,100.8,52.3,12.3,0.9
"철원군",1.652,3.7,28.7,106.5,124.8,59.3,3.9,0.0
"화천군",1.565,0.0,20.5,110.0,132.2,41.7,8.9,0.0
"양구군",1.473,1.5,29.0,90.3,120.7,48.0,7.1,0.0
"인제군",1.642,1.7,21.9,111.9,131.4,53.5,5.8,0.0
"고성군",1.248,0.0,11.1,79.3,87.7,62.1,7.0,0.0
"양양군",1.182,0.0,18.7,50.3,97.0,56.5,8.4,0.0
"충청북도",1.050,1.5,11.6,52.6,93.8,41.5,6.5,0.2
"청주시",-,-,-,-,-,-,-,-
"상당구",-,-,-,-,-,-,-,-
"흥덕구",-,-,-,-,-,-,-,-
"충주시",1.054,1.9,10.1,51.7,99.0,39.3,6.2,0.1
"제천시",1.086,2.6,12.9,55.8,93.1,41.5,5.4,0.8
"청주시",0.999,1.3,9.7,49.7,89.6,41.6,6.1,0.1
"상당구",0.914,1.7,8.7,46.7,80.2,36.2,5.7,0.1
"서원구",0.846,0.7,8.5,35.7,76.9,38.9,5.7,0.0
"흥덕구",0.993,1.3,9.8,47.4,89.0,44.4,6.1,0.1
"청원구",1.208,1.7,12.2,70.2,105.7,44.4,6.8,0.3
"청원군",-,-,-,-,-,-,-,-
"보은군",0.975,3.2,6.3,50.8,88.7,35.6,9.4,0.0
"옥천군",0.957,0.9,11.3,49.0,80.8,39.9,5.4,0.6
"영동군",1.325,0.0,7.2,62.1,134.9,47.9,8.1,0.0
"진천군",1.426,2.7,23.1,74.8,127.4,47.3,8.1,0.3
"괴산군",0.945,0.0,10.2,35.6,87.6,47.5,5.5,0.0
"음성군",1.152,0.9,24.4,57.6,100.5,34.5,9.1,0.6
"단양군",0.920,0.0,8.5,46.7,56.8,54.5,12.7,0.0
"증평군",1.303,2.3,29.7,81.6,98.0,38.2,8.9,0.0
"충청남도",1.112,1.4,13.7,58.6,97.4,42.0,6.9,0.2
"천안시",1.017,1.4,10.2,51.9,91.0,40.8,6.7,0.3
"동남구",0.955,1.3,9.2,45.4,84.6,40.1,7.0,0.4
"서북구",1.046,1.5,10.7,55.4,93.9,41.1,6.5,0.2
"공주시",1.187,3.3,11.3,56.6,105.6,48.8,8.1,0.0
"보령시",1.099,1.7,15.1,60.2,100.8,35.8,4.8,0.0
"아산시",1.154,0.5,15.4,64.2,100.5,41.1,6.7,0.2
"서산시",1.314,0.9,20.4,79.7,108.2,43.5,5.2,0.6
"논산시",1.175,2.9,21.0,61.0,92.4,46.8,7.0,0.0
"계룡시",1.076,0.6,8.2,56.8,104.8,34.3,4.4,0.0
"당진시",1.394,1.6,19.6,82.5,117.5,46.7,9.9,0.0
"금산군",1.149,0.0,15.6,56.7,105.4,41.9,6.3,0.0
"연기군",-,-,-,-,-,-,-,-
"부여군",0.853,1.4,9.4,38.0,69.5,41.2,8.1,0.0
"서천군",1.047,1.9,18.2,36.1,104.4,37.3,6.9,0.6
"청양군",1.025,1.4,12.4,34.1,92.6,52.1,10.3,1.2
"홍성군",1.189,1.2,15.6,61.0,106.3,44.2,7.3,0.3
"예산군",1.047,1.2,14.3,57.8,85.1,39.0,6.7,0.0
"태안군",0.932,1.7,16.2,40.6,71.4,46.6,7.8,0.0
"당진군",-,-,-,-,-,-,-,-
"전라북도",0.971,1.1,10.5,45.0,87.3,40.8,6.4,0.2
"전주시",0.883,0.5,7.5,37.0,84.2,39.0,5.8,0.1
"완산구",0.778,0.5,6.9,32.6,72.5,34.8,5.5,0.1
"덕진구",0.992,0.5,8.2,42.1,96.1,43.0,6.2,0.1
"군산시",0.971,1.4,9.9,51.8,85.9,34.9,6.7,0.0
"익산시",0.908,1.0,10.1,42.3,79.1,40.8,5.0,0.1
"정읍시",1.063,2.5,11.9,57.8,90.0,38.4,7.9,0.3
"남원시",1.324,0.9,12.3,71.5,108.5,58.6,7.1,0.3
"김제시",0.923,2.3,22.5,42.4,73.4,35.9,5.5,0.0
"완주군",1.040,1.0,19.3,46.2,89.0,43.1,5.2,0.6
"진안군",1.685,6.6,21.9,93.8,127.1,72.0,11.9,0.0
"무주군",0.888,0.0,17.5,39.2,70.7,34.9,10.3,0.0
"장수군",1.204,4.4,6.4,56.9,109.0,50.5,12.1,0.0
"임실군",1.416,4.0,17.4,81.7,119.1,53.5,5.4,0.0
"순창군",1.639,0.0,14.0,69.0,154.9,79.8,7.8,0.0
"고창군",1.226,2.5,13.4,61.2,99.5,51.2,13.6,1.2
"부안군",1.211,1.8,19.1,51.1,106.2,50.3,9.3,0.0
"전라남도",1.234,1.2,12.0,58.9,111.9,51.3,7.8,0.2
"목포시",0.948,1.9,12.8,46.5,81.0,38.1,6.2,0.0
