"성북구","전세(월세없음)",12411,3161,2666,2445,2027,1340,772
"성북구","보증금 있는 월세",7136,2041,1679,1436,1026,576,378
"성북구","보증금 없는 월세",1383,368,354,249,156,160,96
"성북구","사글세",163,44,6,46,18,31,18
"성북구","무상(관사, 사택 등)",2025,518,394,426,338,190,159
"강북구","계",51805,13054,11911,11584,8263,4331,2662
"강북구","자기집",30459,7171,7163,7057,5112,2416,1540
"강북구","전세(월세없음)",10005,2769,1973,2028,1660,978,597
"강북구","보증금 있는 월세",9132,2506,2271,2030,1182,722,421
"강북구","보증금 없는 월세",747,236,190,153,112,37,19
"강북구","사글세",152,49,13,24,52,6,8
"강북구","무상(관사, 사택 등)",1310,323,301,292,145,172,77
"도봉구","계",48844,12787,11246,9682,7578,4602,2949
"도봉구","자기집",34290,8793,7826,7235,5420,3036,1980
"도봉구","전세(월세없음)",7213,1829,1604,1230,1206,914,430
"도봉구","보증금 있는 월세",5393,1739,1356,831,611,496,360
"도봉구","보증금 없는 월세",632,160,172,99,109,40,52
"도봉구","사글세",191,33,13,49,49,24,23
"도봉구","무상(관사, 사택 등)",1125,233,275,238,183,92,104
"노원구","계",72792,19249,16269,13932,11559,7084,4699
"노원구","자기집",44322,11767,9992,8767,6869,4141,2786
"노원구","전세(월세없음)",11060,2982,2390,1984,1779,1281,644
"노원구","보증금 있는 월세",14335,3584,3193,2703,2450,1372,1033
"노원구","보증금 없는 월세",1136,433,273,127,129,122,52
"노원구","사글세",281,57,73,44,36,25,46
"노원구","무상(관사, 사택 등)",1658,426,348,307,296,143,138
"은평구","계",68746,18054,16081,14086,10847,6201,3477
"은평구","자기집",43333,10866,10240,9222,7221,3733,2051
"은평구","전세(월세없음)",14271,3806,3199,2901,2096,1470,799
"은평구","보증금 있는 월세",8182,2472,2021,1450,1071,718,450
"은평구","보증금 없는 월세",1087,338,251,210,166,80,42
"은평구","사글세",131,51,16,20,27,6,11
"은평구","무상(관사, 사택 등)",1742,521,354,283,266,194,124
"서대문구","계",43466,10077,8895,9457,7803,4548,2686
"서대문구","자기집",26684,5709,5423,6081,5026,2830,1615
"서대문구","전세(월세없음)",9106,2289,1779,1905,1576,970,587
"서대문구","보증금 있는 월세",5164,1446,1052,1085,780,428,373
"서대문구","보증금 없는 월세",840,305,218,114,85,102,16
"서대문구","사글세",273,76,41,57,43,49,7
"서대문구","무상(관사, 사택 등)",1399,252,382,215,293,169,88
"마포구","계",45178,10996,9237,9664,7777,4685,2819
"마포구","자기집",26468,5833,5243,5739,4991,2995,1667
