행정구역별,,20세이상 인구-계,사회분야단체,경제분야단체,문화분야단체,정치분야단체,종교분야단체,지역단체,친목단체,교육단체,기타,없음,,,,,,,,,,
부산광역시,동래구,210965,8345,2187,19072,469,14115,3216,41188,4474,11,142085,0.067534759,0.017699043,0.154346665,0.003795542,0.114230452,0.026026577,0.333327938,0.036207371,8.90213E-05,1.149871324
부산광역시,남구,227573,7374,2523,18590,534,13006,2599,41426,4402,29,158665,0.05967661,0.020418238,0.150445916,0.004321577,0.105255491,0.021033294,0.335254034,0.035624686,0.000234692,1.284050629
부산광역시,북구,239076,6898,2227,18730,528,11752,3380,42126,4267,32,171659,0.055824418,0.018022757,0.151578913,0.00427302,0.095107068,0.027353803,0.340919023,0.034532153,0.000258971,1.389209006
부산광역시,해운대구,319734,12249,4129,30191,949,21710,4826,53305,7838,57,222830,0.09912921,0.033415341,0.244330965,0.007680106,0.17569558,0.039056051,0.431388893,0.063431688,0.000461292,1.803327776
부산광역시,사하구,265361,7150,2456,21656,706,14980,3448,47742,4307,105,186653,0.057863814,0.019876018,0.175258566,0.005713546,0.121230759,0.027904116,0.386368418,0.034855867,0.000849748,1.510553065
부산광역시,금정구,203002,7711,2284,18170,491,13226,2836,40694,4180,75,136354,0.062403898,0.018484049,0.147046922,0.003973585,0.107035916,0.022951297,0.329330075,0.033828076,0.000606963,1.103491252
부산광역시,강서구,67849,2082,961,5277,171,3909,1490,13032,1618,30,46772,0.016849295,0.00777722,0.042705922,0.001383876,0.031634916,0.012058333,0.105465905,0.013094217,0.000242785,0.378518363
부산광역시,연제구,164817,6237,1718,17455,517,11628,2896,34744,3664,18,108323,0.05047505,0.013903501,0.141260541,0.004183999,0.094103556,0.023436868,0.28117767,0.02965217,0.000145671,0.876640824
부산광역시,수영구,144083,5374,1506,13523,400,10551,2093,27286,3002,,97135,0.043490928,0.012187819,0.10943949,0.003237136,0.085387566,0.016938316,0.220821262,0.024294709,0,0.786098118
부산광역시,사상구,194477,4877,1630,13109,334,7011,2730,35341,2581,12,141244,0.039468786,0.013191331,0.106089054,0.002703009,0.056738909,0.022093456,0.286009096,0.020887623,9.71141E-05,1.143065244
부산광역시,기장군,110909,3626,1688,8936,246,5743,2414,14417,2010,13,82320,0.029344642,0.013660716,0.072317628,0.001990839,0.046477186,0.019536118,0.11667449,0.016266611,0.000105207,0.666202677
대구광역시,중구,65197,2996,984,5601,252,5414,1054,11689,1154,11,44522,0.024246152,0.007963356,0.045328003,0.002039396,0.043814642,0.008529854,0.094597219,0.009339139,8.90213E-05,0.36030947
대구광역시,동구,272442,9792,2906,25306,734,17307,3677,51382,5200,65,187548,0.0792451,0.023517796,0.204797436,0.005940145,0.1400628,0.029757377,0.41582636,0.042082774,0.000526035,1.517796158
대구광역시,서구,168899,4901,906,10218,417,6373,1347,27560,1782,30,126702,0.039663014,0.007332114,0.08269265,0.003374715,0.051575676,0.010901057,0.2230387,0.014421443,0.000242785,1.02537915
대구광역시,남구,134128,4060,750,8755,271,7441,948,15457,1569,33,104297,0.032856935,0.006069631,0.070852824,0.00219316,0.06021883,0.007672013,0.125091044,0.012697668,0.000267064,0.844059045
