"행정구역별(1)",행정구역별(2),2017,2017,2017,2017,2017,2017
"행정구역별(1)",행정구역별(2),지방세(결산징수실적) (천원),주민등록인구수 (명),1인당부담액 (천원),주민등록세대수 (세대),세대당부담액 (천원),재정자립도(예산액기준) (%)
"대전광역시",대전시본청,534874232,0,0.00,0,0.00,42.7
"대전광역시",동구,108398536,230516,470.24,100677,1076.70,11.1
"대전광역시",중구,145324466,248933,583.79,104509,1390.54,14.0
"대전광역시",서구,354963743,487448,728.21,196016,1810.89,17.7
"대전광역시",유성구,408910055,348428,1173.59,137514,2973.59,28.0
"대전광역시",대덕구,161149027,186902,862.21,75923,2122.53,15.4
"울산광역시",소계,1983863456,1165132,1702.69,458547,4326.41,-
"울산광역시",울산시본청,1446333477,-,-,-,-,61.8
"울산광역시",중구,37089548,238652,155.41,95386,388.84,24.9
"울산광역시",남구,103753702,335439,309.31,134372,772.14,41.6
"울산광역시",동구,40817292,169605,240.66,66888,610.23,27.0
"울산광역시",북구,65653002,200718,327.09,72416,906.61,36.1
"울산광역시",울주군,290216435,220718,1314.87,89485,3243.19,51.7
"세종특별자치시",소계,665142289,280100,2374.66,109490,6074.91,70.5
"경기도",소계,20710613481,12873895,1608.73,5131379,4036.07,70.1
"경기도",경기도본청,1388365877,-,-,-,-,-
"경기도",수원시,1528677199,1202628,1271.11,483558,3161.31,58.8
"경기도",성남시,1789472222,967510,1849.56,396403,4514.28,63.6
"경기도",의정부시,398493566,441584,902.42,179505,2219.96,34.8
"경기도",안양시,689171348,587764,1172.53,223172,3088.07,52.6
"경기도",부천시,807328543,850329,949.43,335384,2407.18,42.4
"경기도",광명시,492358674,332790,1479.49,127168,3871.72,47.2
"경기도",평택시,974150102,481530,2023.03,204252,4769.35,46.1
"경기도",동두천시,77642548,97071,799.85,42420,1830.33,31.7
"경기도",안산시,824785681,677710,1217.02,278240,2964.30,72.2
"경기도",고양시,1209333260,1041983,1160.61,408816,2958.14,53.8
"경기도",과천시,533310625,57527,9270.61,20903,25513.59,58.1
"경기도",구리시,228486458,200042,1142.19,77306,2955.61,38.7
"경기도",남양주시,672411355,665321,1010.66,255594,2630.78,39.8
"경기도",오산시,254986096,213437,1194.67,85445,2984.21,48.9
"경기도",시흥시,715622358,419664,1705.23,167802,4264.68,55.2
"경기도",군포시,280237048,281205,996.56,106645,2627.76,47.0
"경기도",의왕시,196783974,155767,1263.32,59201,3324.00,51.2
"경기도",하남시,505318338,232487,2173.53,93741,5390.58,52.7
"경기도",용인시,1632760538,1004081,1626.12,371685,4392.86,63.4
