"부산","동구",여자,8014,2302,5251,6,13,442,15
"부산","영도구",합계,19967,6133,12045,17,34,1738,70
"부산","영도구",남자,9026,2438,5643,8,22,915,38
"부산","영도구",여자,10941,3695,6402,9,12,823,32
"부산","부산진구",합계,56815,19528,30581,83,76,6547,186
"부산","부산진구",남자,25505,7812,14143,49,54,3447,121
"부산","부산진구",여자,31310,11716,16438,34,22,3100,65
"부산","동래구",합계,44410,17046,22902,46,57,4359,100
"부산","동래구",남자,20261,6599,11355,32,36,2239,65
"부산","동래구",여자,24149,10447,11547,14,21,2120,35
"부산","남구",합계,43750,12433,26669,68,69,4511,113
"부산","남구",남자,20016,5121,12438,46,50,2361,77
"부산","남구",여자,23734,7312,14231,22,19,2150,36
"부산","북구",합계,47143,13240,29734,31,62,4076,127
"부산","북구",남자,21868,5228,14524,23,39,2054,92
"부산","북구",여자,25275,8012,15210,8,23,2022,35
"부산","해운대구",합계,63134,20862,32740,63,83,9386,163
"부산","해운대구",남자,28383,8291,15409,40,50,4593,98
"부산","해운대구",여자,34751,12571,17331,23,33,4793,65
"부산","사하구",합계,51552,11760,29616,56,51,10069,124
"부산","사하구",남자,24031,5265,13973,42,41,4710,76
"부산","사하구",여자,27521,6495,15643,14,10,5359,48
"부산","금정구",합계,39897,16757,19436,43,54,3607,123
"부산","금정구",남자,18119,6666,9403,31,38,1981,78
"부산","금정구",여자,21778,10091,10033,12,16,1626,45
"부산","강서구",합계,17366,4823,9926,17,17,2583,48
"부산","강서구",남자,8843,2360,5025,11,15,1432,27
"부산","강서구",여자,8523,2463,4901,6,2,1151,21
"부산","연제구",합계,33077,11029,18986,33,35,2994,57
"부산","연제구",남자,14753,4319,8903,27,20,1484,35
"부산","연제구",여자,18324,6710,10083,6,15,1510,22
"부산","수영구",합계,26663,7703,13743,33,34,5150,81
"부산","수영구",남자,11893,3059,6334,27,21,2452,55
"부산","수영구",여자,14770,4644,7409,6,13,2698,26
"부산","사상구",합계,36118,10052,22366,40,50,3610,106
"부산","사상구",남자,16747,3925,10906,26,37,1853,70
"부산","사상구",여자,19371,6127,11460,14,13,1757,36
"부산","기장군",합계,23065,7800,12230,23,20,2992,63
"부산","기장군",남자,10716,3278,5832,12,12,1582,43
"부산","기장군",여자,12349,4522,6398,11,8,1410,20
"대구","소계",합계,374567,158219,148516,255,444,67133,785
"대구","소계",남자,169957,64814,71024,166,290,33663,478
"대구","소계",여자,204610,93405,77492,89,154,33470,307
"대구","중구",합계,11235,4995,4283,9,15,1933,28
"대구","중구",남자,5062,2075,2003,6,11,967,18
"대구","중구",여자,6173,2920,2280,3,4,966,10
"대구","동구",합계,54779,23737,19564,32,62,11384,172
"대구","동구",남자,24565,9931,9153,21,35,5425,110
"대구","동구",여자,30214,13806,10411,11,27,5959,62
"대구","서구",합계,30951,16762,9747,28,31,4383,62
"대구","서구",남자,13483,6409,4768,16,21,2269,35
"대구","서구",여자,17468,10353,4979,12,10,2114,27
"대구","남구",합계,22823,7865,10708,12,42,4196,48
"대구","남구",남자,9876,3202,4698,7,26,1943,31
"대구","남구",여자,12947,4663,6010,5,16,2253,17
"대구","북구",합계,66366,31688,22191,46,78,12363,123
"대구","북구",남자,30710,13126,11311,32,52,6189,77
"대구","북구",여자,35656,18562,10880,14,26,6174,46
"대구","수성구",합계,64222,24627,26340,43,70,13142,147
"대구","수성구",남자,29414,10479,12210,28,45,6652,85
"대구","수성구",여자,34808,14148,14130,15,25,6490,62
"대구","달서구",합계,88188,34195,40261,61,111,13560,152
"대구","달서구",남자,39785,13611,19097,39,74,6964,87
