"행정구역별(읍면동)",2019,2019
"행정구역별(읍면동)",내국인-계 (명),일반가구 (가구)
"화순군",58369,24708
"장흥군",34665,16350
"강진군",32141,14918
"해남군",63166,28491
"영암군",51322,22747
"무안군",79466,32078
"함평군",29573,13434
"영광군",48700,21345
"장성군",40650,17059
"완도군",45517,20810
"진도군",27300,13090
"신안군",34274,16481
"경상북도",2586314,1102934
"읍부",581486,241575
"면부",627307,294696
"동부",1377521,566663
"포항시",493476,202492
"남구",228741,95137
"북구",264735,107355
"경주시",246801,108194
"김천시",136572,57408
"안동시",158260,68285
"구미시",413284,164752
"영주시",103667,44303
"영천시",95795,43310
"상주시",95188,42579
"문경시",67511,30068
"경산시",274546,112324
"군위군",21457,10560
"의성군",48566,23767
"청송군",23634,11512
"영양군",15839,7539
"영덕군",34264,16918
"청도군",39491,18616
"고령군",29754,13468
"성주군",39005,17835
"칠곡군",113115,46237
"예천군",52264,23382
"봉화군",29830,13992
"울진군",45565,21332
"울릉군",8430,4061
"경상남도",3241301,1321213
"읍부",495865,195142
"면부",663389,296735
"동부",2082047,829336
"진주시",347014,140718
"통영시",124592,53200
"사천시",106363,45589
"김해시",522270,201314
"밀양시",99277,44923
"거제시",240640,93728
"양산시",338292,134260
"창원시",1015638,403524
"의창구",250901,99371
"성산구",214760,81246
"마산합포구",174434,73294
"마산회원구",189575,74963
"진해구",185968,74650
"의령군",24990,12144
"함안군",61765,26560
"창녕군",58462,26590
"고성군",49059,21824
"남해군",40990,19316
"하동군",41828,19387
"산청군",32659,15356
"함양군",36726,17165
"거창군",59132,25491
"합천군",41604,20124
"제주특별자치도",637031,253716
"읍부",140712,57707
"면부",33342,14715
"동부",462977,181294
"제주시",468634,184488
"서귀포시",168397,69228
