"화천군",123,5.0,60,2.4
"양구군",113,5.0,62,2.8
"인제군",169,5.4,64,2.0
"고성군",98,3.7,60,2.2
"양양군",105,3.8,53,1.9
"충청북도",6682,4.2,3492,2.2
"청주시",,,,
"상당구",,,,
"흥덕구",,,,
"충주시",811,3.9,485,2.3
"제천시",417,3.1,301,2.3
"청주시",3938,4.7,1716,2.0
"상당구",727,4.0,374,2.0
"서원구",765,3.9,371,1.9
"흥덕구",1396,5.3,545,2.1
"청원구",1050,5.4,426,2.2
"청원군",,,,
"보은군",75,2.3,82,2.5
"옥천군",135,2.7,111,2.2
"영동군",97,2.0,98,2.1
"진천군",430,5.2,227,2.8
"괴산군",123,3.2,65,1.7
"음성군",395,4.2,263,2.8
"단양군",66,2.3,57,2.0
"증평군",195,5.3,87,2.4
"충청남도",8493,4.0,5003,2.4
"천안시",3316,5.1,1547,2.4
"동남구",1099,4.3,647,2.5
"서북구",2217,5.6,900,2.3
"공주시",296,2.8,221,2.1
"보령시",325,3.3,236,2.4
"아산시",1339,4.3,876,2.8
"서산시",742,4.3,451,2.6
"논산시",361,3.1,258,2.2
"계룡시",119,2.8,84,2.0
"당진시",756,4.6,413,2.5
"금산군",110,2.1,113,2.2
"연기군",,,,
"부여군",145,2.2,133,2.0
"서천군",119,2.3,103,2.0
"청양군",72,2.3,59,1.9
"홍성군",348,3.5,206,2.1
"예산군",240,3.1,163,2.1
"태안군",205,3.3,140,2.3
"당진군",,,,
"전라북도",6053,3.4,3763,2.1
"전주시",2447,3.7,1216,1.9
"완산구",1190,3.5,617,1.8
"덕진구",1257,4.0,599,1.9
"군산시",1015,3.8,640,2.4
"익산시",820,2.9,616,2.2
"정읍시",306,2.8,223,2.1
"남원시",211,2.6,171,2.1
"김제시",289,3.5,185,2.2
"완주군",310,3.4,210,2.3
"진안군",62,2.4,62,2.4
"무주군",69,2.9,48,2.0
"장수군",54,2.4,38,1.7
"임실군",87,3.1,55,2.0
"순창군",66,2.4,62,2.2
"고창군",150,2.7,119,2.2
"부안군",167,3.2,118,2.3
"전라남도",6365,3.4,3907,2.1
"목포시",743,3.3,545,2.4
"여수시",1051,3.8,612,2.2
"순천시",1017,3.6,506,1.8
"나주시",488,4.3,208,1.8
"광양시",595,3.9,349,2.3
"담양군",146,3.2,85,1.8
"곡성군",53,1.9,40,1.4
"구례군",51,2.0,47,1.8
"고흥군",149,2.3,137,2.1
"보성군",97,2.4,76,1.9
"화순군",201,3.2,104,1.7
"장흥군",128,3.4,79,2.1
"강진군",91,2.6,58,1.7
"해남군",237,3.4,168,2.4
"영암군",205,3.8,150,2.8
"무안군",310,3.7,188,2.3
"함평군",82,2.6,59,1.8
"영광군",200,3.8,107,2.0
"장성군",154,3.4,94,2.1
"완도군",150,3.0,119,2.4
"진도군",91,3.0,72,2.3
"신안군",126,3.2,104,2.7
"경상북도",9046,3.4,5553,2.1
"포항시",1848,3.7,1092,2.2
"남구",877,3.8,559,2.4
"북구",971,3.6,533,2.0
"경주시",859,3.4,554,2.2
"김천시",473,3.4,281,2.0
"안동시",470,3.0,234,1.5
"구미시",1794,4.3,976,2.3
"영주시",280,2.7,196,1.9
"영천시",330,3.3,217,2.1
"상주시",266,2.7,195,2.0
"문경시",173,2.4,125,1.8
"경산시",987,3.8,535,2.0
"군위군",50,2.1,38,1.6
"의성군",131,2.5,86,1.7
"청송군",63,2.5,52,2.1
"영양군",45,2.7,38,2.3
"영덕군",84,2.3,93,2.5
"청도군",87,2.1,91,2.2
"고령군",63,2.0,68,2.1
"성주군",132,3.0,93,2.1
"칠곡군",406,3.5,304,2.6
"예천군",224,4.1,106,1.9
"봉화군",63,2.0,57,1.8
"울진군",183,3.8,103,2.1
"울릉군",35,3.8,19,2.1
"경상남도",11900,3.6,7368,2.2
"창원시",,,,
"마산시",,,,
"합포구",,,,
"회원구",,,,
"진주시",1260,3.6,681,2.0
"진해시",,,,
"통영시",394,3.1,383,3.0
"사천시",421,3.8,272,2.5
"김해시",2185,4.1,1229,2.3
"밀양시",299,2.9,183,1.8
"거제시",835,3.4,701,2.9
"양산시",1456,4.2,858,2.5
"통합창원시",3897,3.8,2075,2.0
"의창구",1110,4.3,508,2.0
"성산구",884,4.1,321,1.5
"마산합포구",557,3.2,383,2.2
