"행정구역(시군구)별","연령별","항목","단위","2021. 02 월",
"전국","48세","남자인구수","명","455260",
"전국","48세","여자인구수","명","436866",
"전국","49세","총인구수","명","928788",
"전국","49세","남자인구수","명","474300",
"전국","49세","여자인구수","명","454488",
"전국","50세","총인구수","명","929410",
"전국","50세","남자인구수","명","471919",
"전국","50세","여자인구수","명","457491",
"전국","51세","총인구수","명","909265",
"전국","51세","남자인구수","명","458885",
"전국","51세","여자인구수","명","450380",
"전국","52세","총인구수","명","929105",
"전국","52세","남자인구수","명","466736",
"전국","52세","여자인구수","명","462369",
"전국","53세","총인구수","명","850214",
"전국","53세","남자인구수","명","423020",
"전국","53세","여자인구수","명","427194",
"전국","54세","총인구수","명","833281",
"전국","54세","남자인구수","명","427983",
"전국","54세","여자인구수","명","405298",
"전국","55세","총인구수","명","837459",
"전국","55세","남자인구수","명","421614",
"전국","55세","여자인구수","명","415845",
"전국","56세","총인구수","명","837262",
"전국","56세","남자인구수","명","422837",
"전국","56세","여자인구수","명","414425",
"전국","57세","총인구수","명","767400",
"전국","57세","남자인구수","명","389630",
"전국","57세","여자인구수","명","377770",
"전국","58세","총인구수","명","855432",
"전국","58세","남자인구수","명","433840",
"전국","58세","여자인구수","명","421592",
"전국","59세","총인구수","명","896090",
"전국","59세","남자인구수","명","447579",
"전국","59세","여자인구수","명","448511",
"전국","60세","총인구수","명","926700",
"전국","60세","남자인구수","명","458096",
"전국","60세","여자인구수","명","468604",
"전국","61세","총인구수","명","856177",
"전국","61세","남자인구수","명","421530",
"전국","61세","여자인구수","명","434647",
"전국","62세","총인구수","명","772566",
"전국","62세","남자인구수","명","383353",
"전국","62세","여자인구수","명","389213",
"전국","63세","총인구수","명","752596",
"전국","63세","남자인구수","명","373717",
"전국","63세","여자인구수","명","378879",
"전국","64세","총인구수","명","695035",
"전국","64세","남자인구수","명","342091",
"전국","64세","여자인구수","명","352944",
"전국","65세","총인구수","명","691506",
"전국","65세","남자인구수","명","334758",
"전국","65세","여자인구수","명","356748",
"전국","66세","총인구수","명","635016",
"전국","66세","남자인구수","명","309213",
"전국","66세","여자인구수","명","325803",
"전국","67세","총인구수","명","517048",
"전국","67세","남자인구수","명","248317",
"전국","67세","여자인구수","명","268731",
"전국","68세","총인구수","명","556946",
"전국","68세","남자인구수","명","266476",
"전국","68세","여자인구수","명","290470",
"전국","69세","총인구수","명","437007",
"전국","69세","남자인구수","명","208714",
"전국","69세","여자인구수","명","228293",
"전국","70세","총인구수","명","429805",
"전국","70세","남자인구수","명","203510",
"전국","70세","여자인구수","명","226295",
"전국","71세","총인구수","명","438357",
"전국","71세","남자인구수","명","206132",
"전국","71세","여자인구수","명","232225",
"전국","72세","총인구수","명","430376",
"전국","72세","남자인구수","명","201859",
"전국","72세","여자인구수","명","228517",
"전국","73세","총인구수","명","424136",
"전국","73세","남자인구수","명","195803",
"전국","73세","여자인구수","명","228333",
"전국","74세","총인구수","명","382403",
"전국","74세","남자인구수","명","175956",
"전국","74세","여자인구수","명","206447",
"전국","75세","총인구수","명","290142",
"전국","75세","남자인구수","명","130937",
"전국","75세","여자인구수","명","159205",
"전국","76세","총인구수","명","317839",
"전국","76세","남자인구수","명","138725",
"전국","76세","여자인구수","명","179114",
"전국","77세","총인구수","명","299824",
"전국","77세","남자인구수","명","126155",
"전국","77세","여자인구수","명","173669",
"전국","78세","총인구수","명","376964",
"전국","78세","남자인구수","명","161427",
"전국","78세","여자인구수","명","215537",
"전국","79세","총인구수","명","320415",
"전국","79세","남자인구수","명","132048",
"전국","79세","여자인구수","명","188367",
"전국","80세","총인구수","명","264478",
"전국","80세","남자인구수","명","105545",
"전국","80세","여자인구수","명","158933",
"전국","81세","총인구수","명","262357",
"전국","81세","남자인구수","명","101955",
"전국","81세","여자인구수","명","160402",
"전국","82세","총인구수","명","234594",
"전국","82세","남자인구수","명","88396",
"전국","82세","여자인구수","명","146198",
"전국","83세","총인구수","명","207117",
"전국","83세","남자인구수","명","75636",
"전국","83세","여자인구수","명","131481",
"전국","84세","총인구수","명","187649",
"전국","84세","남자인구수","명","65301",
"전국","84세","여자인구수","명","122348",
"전국","85세","총인구수","명","165682",
"전국","85세","남자인구수","명","55120",
"전국","85세","여자인구수","명","110562",
"전국","86세","총인구수","명","143466",
"전국","86세","남자인구수","명","45197",
"전국","86세","여자인구수","명","98269",
"전국","87세","총인구수","명","114600",
"전국","87세","남자인구수","명","34462",
"전국","87세","여자인구수","명","80138",
"전국","88세","총인구수","명","97439",
"전국","88세","남자인구수","명","27578",
"전국","88세","여자인구수","명","69861",
"전국","89세","총인구수","명","77194",
"전국","89세","남자인구수","명","20302",
"전국","89세","여자인구수","명","56892",
"전국","90세","총인구수","명","61131",
"전국","90세","남자인구수","명","14817",
"전국","90세","여자인구수","명","46314",
"전국","91세","총인구수","명","52187",
"전국","91세","남자인구수","명","12463",
"전국","91세","여자인구수","명","39724",
"전국","92세","총인구수","명","41004",
"전국","92세","남자인구수","명","9241",
"전국","92세","여자인구수","명","31763",
"전국","93세","총인구수","명","31551",
"전국","93세","남자인구수","명","6783",
"전국","93세","여자인구수","명","24768",
"전국","94세","총인구수","명","21948",
"전국","94세","남자인구수","명","4506",
"전국","94세","여자인구수","명","17442",
"전국","95세","총인구수","명","15752",
"전국","95세","남자인구수","명","3041",
"전국","95세","여자인구수","명","12711",
"전국","96세","총인구수","명","11182",
"전국","96세","남자인구수","명","2406",
"전국","96세","여자인구수","명","8776",
"전국","97세","총인구수","명","9692",
"전국","97세","남자인구수","명","2110",
"전국","97세","여자인구수","명","7582",
"전국","98세","총인구수","명","7927",
"전국","98세","남자인구수","명","1774",
"전국","98세","여자인구수","명","6153",
"전국","99세","총인구수","명","5088",
"전국","99세","남자인구수","명","1093",
"전국","99세","여자인구수","명","3995",
"전국","100세 이상","총인구수","명","22295",
"전국","100세 이상","남자인구수","명","5469",
"전국","100세 이상","여자인구수","명","16826",
"서울특별시","계","총인구수","명","9648606",
"서울특별시","계","남자인구수","명","4690282",
"서울특별시","계","여자인구수","명","4958324",
"서울특별시","0세","총인구수","명","44014",
"서울특별시","0세","남자인구수","명","22618",
"서울특별시","0세","여자인구수","명","21396",
"서울특별시","1세","총인구수","명","49196",
"서울특별시","1세","남자인구수","명","25516",
"서울특별시","1세","여자인구수","명","23680",
"서울특별시","2세","총인구수","명","52524",
"서울특별시","2세","남자인구수","명","27316",
"서울특별시","2세","여자인구수","명","25208",
"서울특별시","3세","총인구수","명","56033",
"서울특별시","3세","남자인구수","명","28590",
"서울특별시","3세","여자인구수","명","27443",
"서울특별시","4세","총인구수","명","62879",
"서울특별시","4세","남자인구수","명","32152",
"서울특별시","4세","여자인구수","명","30727",
"서울특별시","5세","총인구수","명","68046",
"서울특별시","5세","남자인구수","명","34810",
"서울특별시","5세","여자인구수","명","33236",
"서울특별시","6세","총인구수","명","67528",
"서울특별시","6세","남자인구수","명","34540",
"서울특별시","6세","여자인구수","명","32988",
"서울특별시","7세","총인구수","명","67345",
"서울특별시","7세","남자인구수","명","34626",
"서울특별시","7세","여자인구수","명","32719",
"서울특별시","8세","총인구수","명","74756",
"서울특별시","8세","남자인구수","명","38205",
"서울특별시","8세","여자인구수","명","36551",
"서울특별시","9세","총인구수","명","72380",
"서울특별시","9세","남자인구수","명","37192",
"서울특별시","9세","여자인구수","명","35188",
"서울특별시","10세","총인구수","명","74454",
"서울특별시","10세","남자인구수","명","38161",
"서울특별시","10세","여자인구수","명","36293",
"서울특별시","11세","총인구수","명","69422",
"서울특별시","11세","남자인구수","명","35505",
"서울특별시","11세","여자인구수","명","33917",
"서울특별시","12세","총인구수","명","73825",
"서울특별시","12세","남자인구수","명","37910",
"서울특별시","12세","여자인구수","명","35915",
"서울특별시","13세","총인구수","명","79811",
"서울특별시","13세","남자인구수","명","41226",
"서울특별시","13세","여자인구수","명","38585",
"서울특별시","14세","총인구수","명","74059",
"서울특별시","14세","남자인구수","명","38163",
"서울특별시","14세","여자인구수","명","35896",
"서울특별시","15세","총인구수","명","71108",
"서울특별시","15세","남자인구수","명","36811",
"서울특별시","15세","여자인구수","명","34297",
"서울특별시","16세","총인구수","명","77639",
"서울특별시","16세","남자인구수","명","39933",
"서울특별시","16세","여자인구수","명","37706",
"서울특별시","17세","총인구수","명","81640",
"서울특별시","17세","남자인구수","명","41999",
"서울특별시","17세","여자인구수","명","39641",
"서울특별시","18세","총인구수","명","81705",
"서울특별시","18세","남자인구수","명","41797",
"서울특별시","18세","여자인구수","명","39908",
"서울특별시","19세","총인구수","명","92633",
"서울특별시","19세","남자인구수","명","46736",
"서울특별시","19세","여자인구수","명","45897",
"서울특별시","20세","총인구수","명","111473",
"서울특별시","20세","남자인구수","명","54801",
"서울특별시","20세","여자인구수","명","56672",
"서울특별시","21세","총인구수","명","113831",
"서울특별시","21세","남자인구수","명","54767",
"서울특별시","21세","여자인구수","명","59064",
"서울특별시","22세","총인구수","명","121688",
"서울특별시","22세","남자인구수","명","58336",
"서울특별시","22세","여자인구수","명","63352",
"서울특별시","23세","총인구수","명","135171",
"서울특별시","23세","남자인구수","명","63456",
"서울특별시","23세","여자인구수","명","71715",
"서울특별시","24세","총인구수","명","142915",
"서울특별시","24세","남자인구수","명","66947",
"서울특별시","24세","여자인구수","명","75968",
"서울특별시","25세","총인구수","명","155365",
"서울특별시","25세","남자인구수","명","73666",
"서울특별시","25세","여자인구수","명","81699",
"서울특별시","26세","총인구수","명","163149",
"서울특별시","26세","남자인구수","명","79597",
"서울특별시","26세","여자인구수","명","83552",
"서울특별시","27세","총인구수","명","166162",
"서울특별시","27세","남자인구수","명","81942",
"서울특별시","27세","여자인구수","명","84220",
"서울특별시","28세","총인구수","명","171574",
"서울특별시","28세","남자인구수","명","84909",
"서울특별시","28세","여자인구수","명","86665",
"서울특별시","29세","총인구수","명","168622",
"서울특별시","29세","남자인구수","명","83506",
"서울특별시","29세","여자인구수","명","85116",
"서울특별시","30세","총인구수","명","152284",
"서울특별시","30세","남자인구수","명","75792",
"서울특별시","30세","여자인구수","명","76492",
"서울특별시","31세","총인구수","명","148854",
"서울특별시","31세","남자인구수","명","74756",
"서울특별시","31세","여자인구수","명","74098",
"서울특별시","32세","총인구수","명","146411",
"서울특별시","32세","남자인구수","명","73162",
"서울특별시","32세","여자인구수","명","73249",
"서울특별시","33세","총인구수","명","139931",
"서울특별시","33세","남자인구수","명","69704",
"서울특별시","33세","여자인구수","명","70227",
"서울특별시","34세","총인구수","명","138147",
"서울특별시","34세","남자인구수","명","68600",
"서울특별시","34세","여자인구수","명","69547",
"서울특별시","35세","총인구수","명","138584",
"서울특별시","35세","남자인구수","명","69434",
"서울특별시","35세","여자인구수","명","69150",
"서울특별시","36세","총인구수","명","135673",
"서울특별시","36세","남자인구수","명","67885",
"서울특별시","36세","여자인구수","명","67788",
"서울특별시","37세","총인구수","명","149521",
"서울특별시","37세","남자인구수","명","75377",
"서울특별시","37세","여자인구수","명","74144",
"서울특별시","38세","총인구수","명","156894",
"서울특별시","38세","남자인구수","명","78166",
"서울특별시","38세","여자인구수","명","78728",
"서울특별시","39세","총인구수","명","160362",
"서울특별시","39세","남자인구수","명","80370",
"서울특별시","39세","여자인구수","명","79992",
"서울특별시","40세","총인구수","명","156276",
"서울특별시","40세","남자인구수","명","78061",
"서울특별시","40세","여자인구수","명","78215",
"서울특별시","41세","총인구수","명","155728",
"서울특별시","41세","남자인구수","명","77164",
