"행정구역별(시군구)",2015,2015,2015,2015,2015,2015,2015
"행정구역별(시군구)",5세 이상 인구-계,제약없음-계,제약있음-계,배우기기억하기집중하기,옷입기목욕하기밥먹기집안돌아다니기,장보기병원가기집밖돌아다니기,(16세이상)취업활동
"경기도",11372038,10967980,404058,170325,133852,270339,162496
"동부",9452268,9146606,305662,125861,99565,203106,120493
"읍부",1145309,1099062,46247,19610,15027,30649,18912
"면부",774461,722312,52149,24854,19260,36584,23091
"수원시",1084201,1052941,31260,13020,10270,20835,13022
"장안구",277077,266463,10614,4710,3774,7650,4638
"권선구",317379,309466,7913,3414,2701,5126,3390
"팔달구",182963,175549,7414,2625,2235,4690,2982
"영통구",306782,301463,5319,2271,1560,3369,2012
"성남시",878753,849061,29692,11753,9278,19225,11574
"수정구",203726,195131,8595,3043,2528,5469,3132
"중원구",228080,219071,9009,3352,2642,5863,3515
"분당구",446947,434859,12088,5358,4108,7893,4927
"의정부시",394449,378085,16364,6999,6060,11127,6637
"안양시",545480,528214,17266,6331,5250,11678,7240
"만안구",226969,218182,8787,3217,2684,5874,3959
"동안구",318511,310032,8479,3114,2566,5804,3281
"부천시",777830,751512,26318,10523,8625,17813,9983
"원미구",405600,392841,12759,5645,4716,8791,4921
"소사구",203583,196220,7363,2653,2083,4903,2982
"오정구",168647,162451,6196,2225,1826,4119,2080
"광명시",312547,303050,9497,3439,2576,5992,3383
"평택시",412520,398001,14519,5480,4207,9291,4944
"동두천시",88832,83141,5691,2208,1880,3703,2678
"안산시",650843,629902,20941,9596,7191,13653,7122
"상록구",351972,340681,11291,5224,4043,7510,3910
"단원구",298871,289221,9650,4372,3148,6143,3212
"고양시",920184,887444,32740,14642,11614,23118,12977
"덕양구",394748,380081,14667,6365,5262,10760,5307
"일산동구",258613,248157,10456,4999,3987,7290,4792
"일산서구",266823,259206,7617,3278,2365,5068,2878
"과천시",61367,59224,2143,1004,615,1360,771
"구리시",168577,163282,5295,1971,1448,3413,2371
"남양주시",583228,561424,21804,8888,6941,14370,9001
"오산시",189899,183021,6878,2948,2278,4454,3055
"시흥시",368582,357899,10683,4578,3556,6896,3753
"군포시",260826,251564,9262,3520,3053,6197,3383
"의왕시",144532,139197,5335,2398,1705,3563,2084
"하남시",143928,138093,5835,2659,2086,4142,2206
"용인시",894238,869043,25195,12126,9602,17016,10314
"처인구",211678,202633,9045,4492,3295,5870,4322
"기흥구",374187,365098,9089,4183,3457,6176,3200
"수지구",308373,301312,7061,3451,2850,4970,2792
"파주시",377547,361704,15843,5962,4894,10295,7329
"이천시",189852,181231,8621,3494,2585,5735,3192
"안성시",175507,165903,9604,4610,4029,6922,4296
"김포시",311398,300692,10706,4154,3414,6945,4991
"화성시",533401,518205,15196,7434,4996,9915,6064
"광주시",280294,270961,9333,3953,3117,6552,3785
"양주시",186399,177034,9365,3949,2811,5887,4124
"포천시",143626,134782,8844,3701,3006,6178,3775
"여주시",101353,95416,5937,2656,1965,4109,2928
"연천군",40519,37345,3174,1250,933,2164,1196
"가평군",55286,50539,4747,2247,1682,3351,2033
"양평군",96040,90070,5970,2832,2185,4440,2285
"강원도",1426569,1338368,88201,34076,27201,59419,35903
"동부",862968,816717,46251,17248,14061,30699,18655
"읍부",246740,231468,15272,5871,4544,10278,6626
"면부",316861,290183,26678,10957,8596,18442,10622
"춘천시",264018,250118,13900,5491,4157,9621,5113
"원주시",309730,294640,15090,5858,5171,10448,5951
"강릉시",204482,190740,13742,5430,4198,9710,5748
"동해시",84272,78736,5536,1997,1958,3767,2562
"태백시",44071,40214,3857,1326,899,2192,1795
"속초시",74518,69900,4618,1641,1311,3057,1563
"삼척시",66029,60543,5486,1975,1470,3180,2290
"홍천군",62963,59197,3766,1721,1395,2586,1363
"횡성군",40722,37617,3105,1308,1046,2245,1199
"영월군",35386,32227,3159,1195,946,2235,1209
"평창군",38580,36387,2193,926,715,1548,698
"정선군",35016,32087,2929,1050,693,2156,784
"철원군",42403,39758,2645,1094,848,1500,1414
"화천군",23306,22163,1143,446,408,769,421
"양구군",20678,19430,1248,451,305,663,691
"인제군",28533,27079,1454,467,393,972,521
"고성군",27221,25156,2065,727,684,1355,955
"양양군",24641,22376,2265,973,604,1415,1626
"충청북도",1473678,1394909,78769,32637,23454,52251,29098
"동부",884637,850487,34150,13343,10386,22904,11828
"읍부",282908,265857,17051,7830,4873,10661,7497
"면부",306133,278565,27568,11464,8195,18686,9773
"충주시",197780,186636,11144,4212,2988,7067,4063
"제천시",129178,119611,9567,3680,2436,6356,3906
"청주시",769792,741530,28262,11648,9088,18974,10027
"상당구",161388,154015,7373,3091,2348,4894,2518
"서원구",207233,199233,8000,3070,2492,5394,2614
"흥덕구",234813,227268,7545,3202,2302,4807,2995
"청원구",166358,161014,5344,2285,1946,3879,1900
"보은군",31250,28391,2859,1146,888,2076,743
"옥천군",48270,43980,4290,1901,1227,2857,1681
