"서울","동작구",여자,38595,12426,14086,6837,3105,9840,2586,3695,1379,10468
"서울","관악구",합계,108364,45472,45668,19604,12225,32000,6704,6070,1590,23301
"서울","관악구",남자,59383,27927,27160,11137,8028,19492,3480,1063,-,12590
"서울","관악구",여자,48981,17545,18508,8467,4197,12508,3224,5007,1590,10711
"서울","서초구",합계,77482,28886,32156,14739,8400,22692,5005,4523,1325,15184
"서울","서초구",남자,43836,20200,20040,8359,5777,14783,2650,732,-,7420
"서울","서초구",여자,33646,8686,12116,6380,2623,7909,2355,3791,1325,7764
"서울","강남구",합계,96509,33428,40717,18116,10507,29471,5588,5948,1595,20892
"서울","강남구",남자,52991,23451,24460,10063,7037,18541,2954,961,-,9853
"서울","강남구",여자,43518,9977,16257,8053,3470,10930,2634,4987,1595,11039
"서울","송파구",합계,137051,50784,58717,23523,14977,39487,7819,8256,2102,34829
"서울","송파구",남자,75877,34409,35436,13461,10169,25160,4396,1271,-,16787
"서울","송파구",여자,61174,16375,23281,10062,4808,14327,3423,6985,2102,18042
"서울","강동구",합계,92663,38235,38429,15806,9953,28069,5423,6188,1475,17954
"서울","강동구",남자,50318,24112,22799,8603,6425,16975,2854,1149,-,9256
"서울","강동구",여자,42345,14123,15630,7203,3528,11094,2569,5039,1475,8698
"부산","소계",합계,768687,307294,286789,133222,86765,272667,41797,55386,12585,151588
"부산","소계",남자,430075,192777,178428,73101,57728,166633,21603,12106,-,82810
"부산","소계",여자,338612,114517,108361,60121,29037,106034,20194,43280,12585,68778
"부산","중구",합계,9066,3567,3194,1483,949,2975,524,685,129,2067
"부산","중구",남자,4763,2095,1847,779,600,1660,251,171,-,1050
"부산","중구",여자,4303,1472,1347,704,349,1315,273,514,129,1017
"부산","서구",합계,24144,8808,9437,4026,2673,8240,1537,2067,373,5592
"부산","서구",남자,12888,5334,5539,2189,1759,4852,745,526,-,2760
"부산","서구",여자,11256,3474,3898,1837,914,3388,792,1541,373,2832
"부산","동구",합계,19681,7898,7247,2823,1813,6383,1129,1451,301,5430
"부산","동구",남자,10523,4591,4180,1541,1135,3747,546,320,-,2934
"부산","동구",여자,9158,3307,3067,1282,678,2636,583,1131,301,2496
"부산","영도구",합계,27088,11411,8998,5164,3851,9761,1762,2203,452,5197
"부산","영도구",남자,14774,6578,5522,2821,2528,5673,904,522,-,2823
"부산","영도구",여자,12314,4833,3476,2343,1323,4088,858,1681,452,2374
"부산","부산진구",합계,79405,29755,28483,13606,9269,28696,4117,6113,1299,15809
"부산","부산진구",남자,43046,18135,17338,7395,5943,17008,2057,1220,-,8415
"부산","부산진구",여자,36359,11620,11145,6211,3326,11688,2060,4893,1299,7394
"부산","동래구",합계,60058,24263,20625,10647,6938,20642,3882,4427,1134,12660
"부산","동래구",남자,33235,15301,12941,5630,4464,12778,1974,933,-,6637
"부산","동래구",여자,26823,8962,7684,5017,2474,7864,1908,3494,1134,6023
"부산","남구",합계,59477,25121,20468,9580,5717,22185,3216,3909,965,11413
"부산","남구",남자,32818,15336,12719,5327,3829,12982,1704,858,-,6435
"부산","남구",여자,26659,9785,7749,4253,1888,9203,1512,3051,965,4978
"부산","북구",합계,70306,27618,28453,13001,7878,24500,3651,4856,1165,14850
"부산","북구",남자,39368,17305,17191,7056,5297,15299,1789,1044,-,8318
"부산","북구",여자,30938,10313,11262,5945,2581,9201,1862,3812,1165,6532
"부산","해운대구",합계,86468,34127,33248,15404,9568,29222,4871,5954,1478,16342
"부산","해운대구",남자,48097,22384,20258,8132,6466,17983,2617,1154,-,8489
"부산","해운대구",여자,38371,11743,12990,7272,3102,11239,2254,4800,1478,7853
"부산","사하구",합계,78878,32549,31722,12954,8882,30146,3475,5292,1057,14848
"부산","사하구",남자,45465,20358,20008,7449,6055,18667,1943,1276,-,8448
"부산","사하구",여자,33413,12191,11714,5505,2827,11479,1532,4016,1057,6400
"부산","금정구",합계,54329,20789,19909,9715,6107,19072,3690,4036,1068,10900
"부산","금정구",남자,29567,12859,12207,5066,3997,11369,1789,929,-,5612
"부산","금정구",여자,24762,7930,7702,4649,2110,7703,1901,3107,1068,5288
"부산","강서구",합계,29212,12955,12669,5144,3639,10534,1180,1717,281,4882
"부산","강서구",남자,19616,9468,9262,3426,2749,7613,712,422,-,3354
"부산","강서구",여자,9596,3487,3407,1718,890,2921,468,1295,281,1528
"부산","연제구",합계,44560,16530,15752,8264,5216,15131,2834,3633,831,8781
"부산","연제구",남자,24338,10477,9647,4352,3354,9216,1416,758,-,4710
"부산","연제구",여자,20222,6053,6105,3912,1862,5915,1418,2875,831,4071
"부산","수영구",합계,38298,15191,14372,7006,4237,13744,1993,3086,707,6837
"부산","수영구",남자,20344,9373,8445,3652,2685,7826,981,681,-,3603
"부산","수영구",여자,17954,5818,5927,3354,1552,5918,1012,2405,707,3234
"부산","사상구",합계,54216,21423,19309,8749,5981,21154,2122,3782,862,10636
"부산","사상구",남자,30890,13137,12343,4959,3963,13020,1135,898,-,6126
"부산","사상구",여자,23326,8286,6966,3790,2018,8134,987,2884,862,4510
"부산","기장군",합계,33501,15289,12903,5656,4047,10282,1814,2175,483,5344
"부산","기장군",남자,20343,10046,8981,3327,2904,6940,1040,394,-,3096
"부산","기장군",여자,13158,5243,3922,2329,1143,3342,774,1781,483,2248
"대구","소계",합계,524253,208973,228685,87839,63077,157196,20599,40009,8067,82361
"대구","소계",남자,296767,136212,141598,47875,42479,97249,11574,8473,-,42681
"대구","소계",여자,227486,72761,87087,39964,20598,59947,9025,31536,8067,39680
