"시도별(1)","시도별(2)",성별(1),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"시도별(1)","시도별(2)",성별(1),계,계,계,65~69세,65~69세,65~69세,70~74세,70~74세,70~74세,75~79세,75~79세,75~79세,80~84세,80~84세,80~84세,85세 이상,85세 이상,85세 이상
"시도별(1)","시도별(2)",성별(1),계,특이소견없음,인지기능저하의심,계,특이소견없음,인지기능저하의심,계,특이소견없음,인지기능저하의심,계,특이소견없음,인지기능저하의심,계,특이소견없음,인지기능저하의심,계,특이소견없음,인지기능저하의심
"서울","서대문구",남자,6101,5370,731,1808,1690,118,2224,1967,257,1087,920,167,838,689,149,144,104,40
"서울","서대문구",여자,7567,6223,1344,2074,1816,258,2968,2509,459,1375,1074,301,971,711,260,179,113,66
"서울","마포구",합계,13187,11488,1699,3699,3350,349,5123,4540,583,2379,2037,342,1653,1330,323,333,231,102
"서울","마포구",남자,5701,5150,551,1576,1474,102,2109,1927,182,1107,998,109,750,629,121,159,122,37
"서울","마포구",여자,7486,6338,1148,2123,1876,247,3014,2613,401,1272,1039,233,903,701,202,174,109,65
"서울","양천구",합계,15993,14064,1929,5435,4974,461,6281,5625,656,2433,2083,350,1500,1163,337,344,219,125
"서울","양천구",남자,7603,6929,674,2575,2406,169,3005,2780,225,1210,1079,131,673,563,110,140,101,39
"서울","양천구",여자,8390,7135,1255,2860,2568,292,3276,2845,431,1223,1004,219,827,600,227,204,118,86
"서울","강서구",합계,22246,19369,2877,7535,6775,760,8966,7966,1000,3155,2660,495,2127,1667,460,463,301,162
"서울","강서구",남자,10333,9319,1014,3497,3237,260,4236,3869,367,1471,1286,185,949,790,159,180,137,43
"서울","강서구",여자,11913,10050,1863,4038,3538,500,4730,4097,633,1684,1374,310,1178,877,301,283,164,119
"서울","구로구",합계,18631,16242,2389,6267,5666,601,7398,6521,877,2864,2438,426,1777,1403,374,325,214,111
"서울","구로구",남자,8820,7950,870,2866,2662,204,3573,3234,339,1377,1209,168,866,740,126,138,105,33
"서울","구로구",여자,9811,8292,1519,3401,3004,397,3825,3287,538,1487,1229,258,911,663,248,187,109,78
"서울","금천구",합계,10253,9123,1130,3474,3217,257,3958,3555,403,1666,1434,232,966,794,172,189,123,66
"서울","금천구",남자,4834,4418,416,1614,1534,80,1863,1710,153,820,719,101,444,385,59,93,70,23
"서울","금천구",여자,5419,4705,714,1860,1683,177,2095,1845,250,846,715,131,522,409,113,96,53,43
"서울","영등포구",합계,14993,13023,1970,4775,4320,455,5753,5087,666,2404,1996,408,1735,1405,330,326,215,111
"서울","영등포구",남자,6992,6305,687,2153,2009,144,2720,2495,225,1108,960,148,851,721,130,160,120,40
"서울","영등포구",여자,8001,6718,1283,2622,2311,311,3033,2592,441,1296,1036,260,884,684,200,166,95,71
"서울","동작구",합계,16233,14051,2182,5090,4583,507,6381,5609,772,2632,2213,419,1762,1400,362,368,246,122
"서울","동작구",남자,7311,6533,778,2201,2036,165,2820,2571,249,1276,1098,178,834,697,137,180,131,49
"서울","동작구",여자,8922,7518,1404,2889,2547,342,3561,3038,523,1356,1115,241,928,703,225,188,115,73
"서울","관악구",합계,20870,17976,2894,6538,5903,635,8377,7279,1098,3524,2932,592,2078,1623,455,353,239,114
"서울","관악구",남자,9560,8560,1000,2839,2650,189,3807,3445,362,1713,1476,237,1053,878,175,148,111,37
"서울","관악구",여자,11310,9416,1894,3699,3253,446,4570,3834,736,1811,1456,355,1025,745,280,205,128,77
"서울","서초구",합계,13741,11767,1974,4316,3865,451,5642,4892,750,2135,1764,371,1359,1058,301,289,188,101
"서울","서초구",남자,6496,5777,719,1895,1767,128,2668,2402,266,1097,927,170,708,581,127,128,100,28
"서울","서초구",여자,7245,5990,1255,2421,2098,323,2974,2490,484,1038,837,201,651,477,174,161,88,73
"서울","강남구",합계,15979,13872,2107,5202,4692,510,6515,5728,787,2424,2042,382,1465,1184,281,373,226,147
"서울","강남구",남자,7471,6734,737,2270,2123,147,3056,2766,290,1236,1094,142,761,642,119,148,109,39
"서울","강남구",여자,8508,7138,1370,2932,2569,363,3459,2962,497,1188,948,240,704,542,162,225,117,108
"서울","송파구",합계,22873,19538,3335,8039,7184,855,9006,7725,1281,3270,2706,564,2065,1615,450,493,308,185
"서울","송파구",남자,10996,9773,1223,3787,3504,283,4373,3894,479,1640,1413,227,1013,830,183,183,132,51
"서울","송파구",여자,11877,9765,2112,4252,3680,572,4633,3831,802,1630,1293,337,1052,785,267,310,176,134
"서울","강동구",합계,16550,14369,2181,5753,5217,536,6550,5726,824,2431,2043,388,1480,1159,321,336,224,112
"서울","강동구",남자,7985,7208,777,2729,2555,174,3196,2893,303,1224,1075,149,707,588,119,129,97,32
"서울","강동구",여자,8565,7161,1404,3024,2662,362,3354,2833,521,1207,968,239,773,571,202,207,127,80
"부산","소계",합계,159955,143579,16376,53683,49774,3909,60383,54698,5685,26483,23250,3233,16323,13733,2590,3083,2124,959
"부산","소계",남자,74196,68373,5823,24479,23198,1281,28116,25959,2157,12606,11423,1183,7721,6780,941,1274,1013,261
"부산","소계",여자,85759,75206,10553,29204,26576,2628,32267,28739,3528,13877,11827,2050,8602,6953,1649,1809,1111,698
"부산","중구",합계,2456,2182,274,754,699,55,864,780,84,464,408,56,317,254,63,57,41,16
"부산","중구",남자,1095,1009,86,335,318,17,379,348,31,220,201,19,137,123,14,24,19,5
"부산","중구",여자,1361,1173,188,419,381,38,485,432,53,244,207,37,180,131,49,33,22,11
"부산","서구",합계,6370,5628,742,1837,1688,149,2392,2136,256,1192,1034,158,786,654,132,163,116,47
"부산","서구",남자,2851,2598,253,841,795,46,1068,971,97,518,468,50,357,309,48,67,55,12
"부산","서구",여자,3519,3030,489,996,893,103,1324,1165,159,674,566,108,429,345,84,96,61,35
