"행정구역별","연령별","항목","단위","2015 년",
"동부","60~64","남자-이혼","","87626",
"동부","60~64","여자-계","","1104191",
"동부","60~64","여자-미혼","","24694",
"동부","60~64","여자-배우자있음","","769539",
"동부","60~64","여자-사별","","212028",
"동부","60~64","여자-이혼","","97930",
"동부","65~69","내국인(60세 이상)-계","","1601625",
"동부","65~69","혼인상태-계","","1601625",
"동부","65~69","미혼","","25144",
"동부","65~69","배우자 있음","","1161955",
"동부","65~69","사별","","307417",
"동부","65~69","이혼","","107109",
"동부","65~69","남자-계","","765743",
"동부","65~69","남자-미혼","","11370",
"동부","65~69","남자-배우자 있음","","657565",
"동부","65~69","남자-사별","","43442",
"동부","65~69","남자-이혼","","53366",
"동부","65~69","여자-계","","835882",
"동부","65~69","여자-미혼","","13774",
"동부","65~69","여자-배우자있음","","504390",
"동부","65~69","여자-사별","","263975",
"동부","65~69","여자-이혼","","53743",
"동부","70~74","내국인(60세 이상)-계","","1263883",
"동부","70~74","혼인상태-계","","1263883",
"동부","70~74","미혼","","14415",
"동부","70~74","배우자 있음","","817444",
"동부","70~74","사별","","374780",
"동부","70~74","이혼","","57244",
"동부","70~74","남자-계","","574896",
"동부","70~74","남자-미혼","","5660",
"동부","70~74","남자-배우자 있음","","488316",
"동부","70~74","남자-사별","","52734",
"동부","70~74","남자-이혼","","28186",
"동부","70~74","여자-계","","688987",
"동부","70~74","여자-미혼","","8755",
"동부","70~74","여자-배우자있음","","329128",
"동부","70~74","여자-사별","","322046",
"동부","70~74","여자-이혼","","29058",
"동부","75~79","내국인(60세 이상)-계","","907511",
"동부","75~79","혼인상태-계","","907511",
"동부","75~79","미혼","","8242",
"동부","75~79","배우자 있음","","488041",
"동부","75~79","사별","","385513",
"동부","75~79","이혼","","25715",
"동부","75~79","남자-계","","373950",
"동부","75~79","남자-미혼","","2420",
"동부","75~79","남자-배우자 있음","","309066",
"동부","75~79","남자-사별","","50492",
"동부","75~79","남자-이혼","","11972",
"동부","75~79","여자-계","","533561",
"동부","75~79","여자-미혼","","5822",
"동부","75~79","여자-배우자있음","","178975",
"동부","75~79","여자-사별","","335021",
"동부","75~79","여자-이혼","","13743",
"동부","80~84","내국인(60세 이상)-계","","519368",
"동부","80~84","혼인상태-계","","519368",
"동부","80~84","미혼","","4651",
"동부","80~84","배우자 있음","","200734",
"동부","80~84","사별","","305014",
"동부","80~84","이혼","","8969",
"동부","80~84","남자-계","","178028",
"동부","80~84","남자-미혼","","960",
"동부","80~84","남자-배우자 있음","","137386",
"동부","80~84","남자-사별","","36082",
"동부","80~84","남자-이혼","","3600",
"동부","80~84","여자-계","","341340",
"동부","80~84","여자-미혼","","3691",
"동부","80~84","여자-배우자있음","","63348",
"동부","80~84","여자-사별","","268932",
"동부","80~84","여자-이혼","","5369",
"동부","85세 이상","내국인(60세 이상)-계","","336990",
"동부","85세 이상","혼인상태-계","","336990",
"동부","85세 이상","미혼","","4638",
"동부","85세 이상","배우자 있음","","70533",
"동부","85세 이상","사별","","258029",
"동부","85세 이상","이혼","","3790",
"동부","85세 이상","남자-계","","84856",
"동부","85세 이상","남자-미혼","","580",
"동부","85세 이상","남자-배우자 있음","","52546",
"동부","85세 이상","남자-사별","","30367",
"동부","85세 이상","남자-이혼","","1363",
"동부","85세 이상","여자-계","","252134",
"동부","85세 이상","여자-미혼","","4058",
"동부","85세 이상","여자-배우자있음","","17987",
"동부","85세 이상","여자-사별","","227662",
"동부","85세 이상","여자-이혼","","2427",
"읍부","합계","내국인(60세 이상)-계","","900045",
"읍부","합계","혼인상태-계","","900045",
"읍부","합계","미혼","","11977",
"읍부","합계","배우자 있음","","559449",
"읍부","합계","사별","","294393",
"읍부","합계","이혼","","34226",
"읍부","합계","남자-계","","384821",
"읍부","합계","남자-미혼","","5869",
"읍부","합계","남자-배우자 있음","","324048",
"읍부","합계","남자-사별","","36930",
"읍부","합계","남자-이혼","","17974",
"읍부","합계","여자-계","","515224",
"읍부","합계","여자-미혼","","6108",
"읍부","합계","여자-배우자있음","","235401",
"읍부","합계","여자-사별","","257463",
"읍부","합계","여자-이혼","","16252",
"읍부","60~64","내국인(60세 이상)-계","","241581",
"읍부","60~64","혼인상태-계","","241581",
"읍부","60~64","미혼","","5471",
"읍부","60~64","배우자 있음","","188174",
"읍부","60~64","사별","","31467",
"읍부","60~64","이혼","","16469",
"읍부","60~64","남자-계","","117986",
"읍부","60~64","남자-미혼","","3324",
"읍부","60~64","남자-배우자 있음","","101376",
"읍부","60~64","남자-사별","","4747",
"읍부","60~64","남자-이혼","","8539",
"읍부","60~64","여자-계","","123595",
"읍부","60~64","여자-미혼","","2147",
"읍부","60~64","여자-배우자있음","","86798",
"읍부","60~64","여자-사별","","26720",
"읍부","60~64","여자-이혼","","7930",
"읍부","65~69","내국인(60세 이상)-계","","193636",
"읍부","65~69","혼인상태-계","","193636",
"읍부","65~69","미혼","","2869",
"읍부","65~69","배우자 있음","","141050",
"읍부","65~69","사별","","40433",
"읍부","65~69","이혼","","9284",
"읍부","65~69","남자-계","","91368",
"읍부","65~69","남자-미혼","","1417",
"읍부","65~69","남자-배우자 있음","","79907",
"읍부","65~69","남자-사별","","5052",
"읍부","65~69","남자-이혼","","4992",
"읍부","65~69","여자-계","","102268",
"읍부","65~69","여자-미혼","","1452",
"읍부","65~69","여자-배우자있음","","61143",
"읍부","65~69","여자-사별","","35381",
"읍부","65~69","여자-이혼","","4292",
"읍부","70~74","내국인(60세 이상)-계","","173005",
"읍부","70~74","혼인상태-계","","173005",
"읍부","70~74","미혼","","1653",
"읍부","70~74","배우자 있음","","109663",
"읍부","70~74","사별","","56895",
"읍부","70~74","이혼","","4794",
"읍부","70~74","남자-계","","75145",
"읍부","70~74","남자-미혼","","628",
"읍부","70~74","남자-배우자 있음","","64396",
"읍부","70~74","남자-사별","","7435",
"읍부","70~74","남자-이혼","","2686",
"읍부","70~74","여자-계","","97860",
"읍부","70~74","여자-미혼","","1025",
"읍부","70~74","여자-배우자있음","","45267",
"읍부","70~74","여자-사별","","49460",
"읍부","70~74","여자-이혼","","2108",
"읍부","75~79","내국인(60세 이상)-계","","144339",
"읍부","75~79","혼인상태-계","","144339",
"읍부","75~79","미혼","","825",
"읍부","75~79","배우자 있음","","75317",
