"영등포구","계",342386,323100,19286,1341,2673,830,1247,1492,13973,801,1472
"영등포구","남자",168105,159825,8280,625,1365,477,421,875,5285,537,737
"영등포구","여자",174281,163275,11006,716,1308,353,826,617,8688,264,735
"동작구","계",374754,353055,21699,1864,2833,914,1582,1691,15425,818,1811
"동작구","남자",181899,173023,8876,967,1468,526,467,893,5331,531,798
"동작구","여자",192855,180032,12823,897,1365,388,1115,798,10094,287,1013
"관악구","계",476591,446798,29793,2386,3631,1245,2113,2857,20989,1230,2819
"관악구","남자",238008,225246,12762,1247,1885,647,667,1447,7788,800,1372
"관악구","여자",238583,221552,17031,1139,1746,598,1446,1410,13201,430,1447
"서초구","계",392350,376747,15603,1267,2091,686,1483,1319,10744,809,1340
"서초구","남자",185169,178934,6235,620,1046,295,386,605,3768,497,557
"서초구","여자",207181,197813,9368,647,1045,391,1097,714,6976,312,783
"강남구","계",508865,486874,21991,1918,3071,1165,1901,2015,14701,1176,2275
"강남구","남자",239525,230864,8661,984,1333,506,422,976,4992,664,968
"강남구","여자",269340,256010,13330,934,1738,659,1479,1039,9709,512,1307
"송파구","계",592982,565875,27107,2339,3501,1176,2424,2477,18187,1641,2161
"송파구","남자",284396,273063,11333,1182,1672,673,622,1372,6422,1125,1081
"송파구","여자",308586,292812,15774,1157,1829,503,1802,1105,11765,516,1080
"강동구","계",415836,391666,24170,1962,3023,1367,1903,2506,16682,1604,2190
"강동구","남자",203571,193312,10259,1000,1602,704,567,1298,5918,1012,1127
"강동구","여자",212265,198354,13911,962,1421,663,1336,1208,10764,592,1063
"부산광역시","계",3243054,2986853,256201,18192,27486,12251,17004,21558,186801,12037,23637
"부산광역시","남자",1571911,1467113,104798,8809,13171,6342,4786,11649,66559,7310,11575
"부산광역시","여자",1671143,1519740,151403,9383,14315,5909,12218,9909,120242,4727,12062
"동부","계",3107675,2861236,246439,17588,26435,11609,15651,20328,179994,11578,22582
"동부","남자",1506127,1405016,101111,8523,12706,6067,4498,11151,64257,7026,11166
"동부","여자",1601548,1456220,145328,9065,13729,5542,11153,9177,115737,4552,11416
"읍부","계",120299,112259,8040,527,881,532,1225,1050,5560,401,908
"읍부","남자",58377,55297,3080,248,399,209,272,427,1917,239,342
"읍부","여자",61922,56962,4960,279,482,323,953,623,3643,162,566
"면부","계",15080,13358,1722,77,170,110,128,180,1247,58,147
"면부","남자",7407,6800,607,38,66,66,16,71,385,45,67
"면부","여자",7673,6558,1115,39,104,44,112,109,862,13,80
"중구","계",42587,37910,4677,288,365,146,308,294,3645,164,352
"중구","남자",20482,18730,1752,143,171,79,94,173,1180,117,153
"중구","여자",22105,19180,2925,145,194,67,214,121,2465,47,199
"서구","계",106410,96075,10335,925,953,487,687,848,7375,491,1215
"서구","남자",51245,47026,4219,366,421,220,202,463,2491,332,668
"서구","여자",55165,49049,6116,559,532,267,485,385,4884,159,547
"동구","계",84417,73967,10450,742,1115,519,584,599,8112,405,1039
"동구","남자",40827,36766,4061,324,452,274,184,404,2728,266,523
"동구","여자",43590,37201,6389,418,663,245,400,195,5384,139,516
"영도구","계",123540,107826,15714,892,1582,574,714,957,12225,531,1257
"영도구","남자",61167,54621,6546,470,765,305,126,555,4653,310,646
"영도구","여자",62373,53205,9168,422,817,269,588,402,7572,221,611
"부산진구","계",355826,327649,28177,1735,2794,1228,1482,2380,20693,1287,2397
"부산진구","남자",170518,159084,11434,845,1354,600,496,1390,7232,725,1125
"부산진구","여자",185308,168565,16743,890,1440,628,986,990,13461,562,1272
"동래구","계",248675,231455,17220,1347,2032,959,1427,1770,12193,768,1513
"동래구","남자",119900,112973,6927,630,978,484,480,954,4192,483,773
"동래구","여자",128775,118482,10293,717,1054,475,947,816,8001,285,740
"남구","계",268127,250136,17991,1289,1873,954,1132,1526,13320,931,1471
"남구","남자",130212,122885,7327,704,933,570,229,797,4716,569,702
"남구","여자",137915,127251,10664,585,940,384,903,729,8604,362,769
"북구","계",282542,259662,22880,1523,2313,1172,1372,1950,16518,1131,2695
"북구","남자",137972,128159,9813,714,1055,695,475,1108,6327,645,1317
"북구","여자",144570,131503,13067,809,1258,477,897,842,10191,486,1378
"해운대구","계",384757,359138,25619,2375,3064,1242,1705,2083,18201,1236,2334
"해운대구","남자",183965,173507,10458,1117,1486,698,445,1178,6390,787,1169
"해운대구","여자",200792,185631,15161,1258,1578,544,1260,905,11811,449,1165
"사하구","계",313071,288911,24160,1642,2632,983,1528,2079,17191,1308,2676
"사하구","남자",153775,143870,9905,791,1246,452,460,1147,6234,728,1182
"사하구","여자",159296,145041,14255,851,1386,531,1068,932,10957,580,1494
"금정구","계",236537,218643,17894,1246,1930,881,1401,1410,12964,863,1582
"금정구","남자",114179,107108,7071,581,950,441,329,721,4487,448,760
"금정구","여자",122358,111535,10823,665,980,440,1072,689,8477,415,822
"강서구","계",79671,74767,4904,247,500,334,309,438,3629,359,377
"강서구","남자",40314,38326,1988,124,213,170,65,222,1246,253,197
"강서구","여자",39357,36441,2916,123,287,164,244,216,2383,106,180
"연제구","계",192433,177262,15171,1126,2100,627,878,969,11513,665,1014
"연제구","남자",92704,86422,6282,491,1107,329,217,514,4092,440,555
