"행정구역별(1)",행정구역별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
"행정구역별(1)",행정구역별(2),합계,합계,합계,상근의사,상근의사,비상근의사,비상근의사,치과의사,치과의사,한의사,한의사,약사,약사,조산사,조산사,간호사,간호사,간호조무사,간호조무사,의료기사,의료기사,의무기록사,의무기록사
"행정구역별(1)",행정구역별(2),의료인력수 (명),만명당의사수 (명),인구수(등록외국인포함) (명),의료인력수 (명),만명당의사수 (명),의료인력수 (명),만명당의사수 (명),의료인력수 (명),만명당의사수 (명),의료인력수 (명),만명당의사수 (명),의료인력수 (명),만명당의사수 (명),의료인력수 (명),만명당의사수 (명),의료인력수 (명),만명당의사수 (명),의료인력수 (명),만명당의사수 (명),의료인력수 (명),만명당의사수 (명),의료인력수 (명),만명당의사수 (명)
"부산광역시",중구,1229,267.00,46066,205,44.50,-,0.00,51,11.07,34,7.38,13,2.82,-,0.00,363,78.80,349,75.76,194,42.11,20,4.34
"부산광역시",서구,6634,593.00,111945,1362,121.67,7,0.63,69,6.16,50,4.47,94,8.40,3,0.27,3419,305.42,674,60.21,895,79.95,61,5.45
"부산광역시",동구,2342,258.00,90856,333,36.65,-,0.00,34,3.74,57,6.27,20,2.20,2,0.22,947,104.23,552,60.76,372,40.94,25,2.75
"부산광역시",영도구,1288,103.00,125347,170,13.56,-,0.00,38,3.03,49,3.91,9,0.72,-,0.00,343,27.36,452,36.06,216,17.23,11,0.88
"부산광역시",부산진구,7433,198.00,374504,1268,33.86,-,0.00,241,6.44,259,6.92,68,1.82,-,0.00,2151,57.44,2190,58.48,1194,31.88,62,1.66
"부산광역시",동래구,4573,168.00,271967,572,21.03,-,0.00,176,6.47,149,5.48,26,0.96,-,0.00,1291,47.47,1503,55.26,808,29.71,48,1.76
"부산광역시",남구,2475,89.00,279309,348,12.46,-,0.00,121,4.33,97,3.47,23,0.82,-,0.00,657,23.52,753,26.96,457,16.36,19,0.68
"부산광역시",북구,3410,112.00,305045,411,13.47,-,0.00,137,4.49,108,3.54,31,1.02,-,0.00,917,30.06,1106,36.26,675,22.13,25,0.82
"부산광역시",해운대구,5363,129.00,417161,877,21.02,-,0.00,216,5.18,196,4.70,62,1.49,-,0.00,1662,39.84,1456,34.90,860,20.62,34,0.82
"부산광역시",사하구,4193,124.00,338112,430,12.72,-,0.00,144,4.26,131,3.87,43,1.27,5,0.15,692,20.47,1984,58.68,727,21.50,37,1.09
"부산광역시",금정구,2958,119.00,248917,316,12.69,1,0.04,104,4.18,133,5.34,30,1.21,2,0.08,591,23.74,1305,52.43,445,17.88,31,1.25
"부산광역시",강서구,447,36.00,123079,67,5.44,-,0.00,33,2.68,17,1.38,3,0.24,-,0.00,55,4.47,174,14.14,98,7.96,0,0.00
"부산광역시",연제구,2891,139.00,207729,408,19.64,-,0.00,112,5.39,119,5.73,35,1.68,3,0.14,747,35.96,958,46.12,474,22.82,35,1.68
"부산광역시",수영구,2864,158.00,181725,372,20.47,-,0.00,96,5.28,107,5.89,27,1.49,-,0.00,853,46.94,877,48.26,503,27.68,29,1.60
"부산광역시",사상구,3037,129.00,234624,368,15.68,-,0.00,80,3.41,67,2.86,43,1.83,-,0.00,934,39.81,938,39.98,579,24.68,28,1.19
"부산광역시",기장군,1351,82.00,163920,184,11.22,-,0.00,39,2.38,41,2.50,19,1.16,-,0.00,385,23.49,446,27.21,224,13.67,13,0.79
"대구광역시",소계,32712,131.00,2501673,5408,21.62,25,0.10,1188,4.75,1096,4.38,336,1.34,2,0.01,10053,40.19,7703,30.79,6687,26.73,214,0.86
"대구광역시",중구,6625,831.00,79759,1399,175.40,0,0.00,246,30.84,95,11.91,73,9.15,0,0.00,2500,313.44,948,118.86,1319,165.37,45,5.64
"대구광역시",동구,3409,97.00,351206,597,17.00,0,0.00,122,3.47,130,3.70,29,0.83,1,0.03,970,27.62,913,26.00,625,17.80,22,0.63
"대구광역시",서구,2243,115.00,194379,269,13.84,25,1.29,56,2.88,90,4.63,21,1.08,1,0.05,600,30.87,708,36.42,455,23.41,18,0.93
"대구광역시",남구,4477,291.00,153963,923,59.95,0,0.00,86,5.59,81,5.26,81,5.26,0,0.00,1837,119.31,662,43.00,783,50.86,24,1.56
"대구광역시",북구,4688,105.00,446201,644,14.43,0,0.00,177,3.97,141,3.16,38,0.85,0,0.00,1331,29.83,1243,27.86,1081,24.23,33,0.74
"대구광역시",수성구,3706,84.00,440743,520,11.80,0,0.00,162,3.68,272,6.17,24,0.54,0,0.00,855,19.40,989,22.44,870,19.74,14,0.32
"대구광역시",달서구,6225,106.00,586532,859,14.65,0,0.00,266,4.54,209,3.56,57,0.97,0,0.00,1719,29.31,1750,29.84,1315,22.42,50,0.85
"대구광역시",달성군,1339,54.00,248890,197,7.92,0,0.00,73,2.93,78,3.13,13,0.52,0,0.00,241,9.68,490,19.69,239,9.60,8,0.32
"인천광역시",소계,33261,110.00,3011138,4716,15.66,16,0.05,1215,4.04,895,2.97,1090,3.62,6,0.02,9571,31.79,9414,31.26,6127,20.35,211,0.70
"인천광역시",중구,2519,207.00,121838,508,41.69,0,0.00,51,4.19,48,3.94,31,2.54,0,0.00,1131,92.83,398,32.67,327,26.84,25,2.05
"인천광역시",동구,878,125.00,70387,107,15.20,0,0.00,32,4.55,17,2.42,4,0.57,0,0.00,297,42.20,254,36.09,165,23.44,2,0.28
"인천광역시",남구,4500,105.00,427604,548,12.82,0,0.00,146,3.41,124,2.90,264,6.17,0,0.00,1010,23.62,1514,35.41,864,20.21,30,0.70
"인천광역시",연수구,2630,76.00,344277,349,10.14,0,0.00,145,4.21,92,2.67,15,0.44,0,0.00,512,14.87,732,21.26,747,21.70,38,1.10
"인천광역시",남동구,7021,128.00,548759,1106,20.15,0,0.00,262,4.77,187,3.41,363,6.61,1,0.02,2146,39.11,1557,28.37,1348,24.56,51,0.93
"인천광역시",부평구,6636,120.00,552162,854,15.47,16,0.29,249,4.51,171,3.10,351,6.36,0,0.00,1880,34.05,1838,33.29,1236,22.38,41,0.74
"인천광역시",계양구,3379,103.00,326892,415,12.70,0,0.00,126,3.85,120,3.67,26,0.80,1,0.03,831,25.42,1209,36.98,629,19.24,22,0.67
"인천광역시",서구,5163,98.00,527935,751,14.23,0,0.00,188,3.56,116,2.20,3,0.06,4,0.08,1651,31.27,1707,32.33,741,14.04,2,0.04
"인천광역시",강화군,497,71.00,69543,68,9.78,0,0.00,14,2.01,18,2.59,32,4.60,0,0.00,106,15.24,197,28.33,62,8.92,0,0.00
"인천광역시",옹진군,38,17.00,21741,10,4.60,0,0.00,2,0.92,2,0.92,1,0.46,0,0.00,7,3.22,8,3.68,8,3.68,0,0.00
"광주광역시",소계,22896,154.00,1485049,3365,22.66,0,0.00,989,6.66,703,4.73,227,1.53,5,0.03,7296,49.13,5642,37.99,4523,30.46,146,0.98
"광주광역시",동구,4594,475.00,96786,981,101.36,0,0.00,173,17.87,65,6.72,70,7.23,0,0.00,1811,187.11,803,82.97,648,66.95,43,4.44
"광주광역시",서구,4480,145.00,308591,649,21.03,0,0.00,199,6.45,163,5.28,29,0.94,0,0.00,1099,35.61,1232,39.92,1080,35.00,29,0.94
"광주광역시",남구,3814,173.00,219855,464,21.10,0,0.00,126,5.73,184,8.37,36,1.64,0,0.00,1307,59.45,936,42.57,742,33.75,19,0.86
