"행정구역(시군구)별",2020,2020,2020,2020,2020,2020,2020,2020
"행정구역(시군구)별",총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명)
"안양시",79982,97945,-17963,39111,21542,37639,19329,21195
"부천시",95110,107685,-12575,37770,15492,27114,41848,42801
"광명시",46812,65102,-18290,23941,8345,18977,14526,22184
"평택시",103098,80080,23018,41876,26480,16780,34742,21424
"동두천시",13345,13385,-40,5549,4462,5277,3334,2559
"안산시",117075,114020,3055,66693,27810,26902,22572,20425
"고양시",171708,159355,12353,77554,30065,36041,64089,45760
"과천시",15066,10277,4789,4095,6150,3276,4821,2906
"구리시",29851,31794,-1943,11152,7727,11727,10972,8915
"남양주시",93021,81925,11096,29094,23359,23999,40568,28832
"오산시",34691,32145,2546,8968,15958,15898,9765,7279
"시흥시",98504,73126,25378,33640,33541,20560,31323,18926
"군포시",37273,39844,-2571,13983,14636,17404,8654,8457
"의왕시",29486,27047,2439,8306,15504,13335,5676,5406
"하남시",63586,43486,20100,16826,15653,10590,31107,16070
"용인시",167745,155052,12693,60695,54083,52137,52967,42220
"파주시",75882,64593,11289,30971,23006,18125,21905,15497
"이천시",31253,28787,2466,10879,8449,8386,11925,9522
"안성시",27891,23902,3989,8980,9292,8010,9619,6912
"김포시",111331,76160,35171,39434,18924,12630,52973,24096
"화성시",155727,119562,36165,49523,66460,43084,39744,26955
"양주시",38466,30278,8188,11524,15001,10987,11941,7767
"광주시",54712,46135,8577,13766,23982,19706,16964,12663
"포천시",17883,18315,-432,5660,5797,7202,6426,5453
"여주시",14113,12939,1174,4911,4608,4061,4594,3967
"양주군",0,0,0,0,0,0,0,0
"여주군",0,0,0,0,0,0,0,0
"화성군",0,0,0,0,0,0,0,0
"파주군",0,0,0,0,0,0,0,0
"광주군",0,0,0,0,0,0,0,0
"연천군",5231,5338,-107,1294,1987,2395,1950,1649
"포천군",0,0,0,0,0,0,0,0
"가평군",7288,6939,349,862,2597,2684,3829,3393
"양평군",16798,14358,2440,3695,5322,4594,7781,6069
"이천군",0,0,0,0,0,0,0,0
"용인군",0,0,0,0,0,0,0,0
"안성군",0,0,0,0,0,0,0,0
"김포군",0,0,0,0,0,0,0,0
"강원도",223354,217897,5457,105809,35254,35254,82291,76834
"춘천시",46268,44586,1682,27720,5803,4545,12745,12321
"원주시",59935,54774,5161,32901,6932,4728,20102,17145
"강릉시",31595,30983,612,18010,4199,3833,9386,9140
"동해시",12978,12623,355,6281,2584,2164,4113,4178
"태백시",4330,5282,-952,2020,827,1293,1483,1969
"속초시",14860,13785,1075,7136,2950,2645,4774,4004
"삼척시",7153,8870,-1717,2907,1408,2443,2838,3520
"홍천군",7368,6820,548,1302,1472,1991,4594,3527
