"행정구역별(1)","행정구역별(2)",시간대별(1),2018,2018,2018,2018,2018,2018
"행정구역별(1)","행정구역별(2)",시간대별(1),공공의료시설,공공의료시설,병·의원,병·의원,종합병원,종합병원
"행정구역별(1)","행정구역별(2)",시간대별(1),승용차,대중교통/도보,승용차,대중교통/도보,승용차,대중교통/도보
"전국","소계",일평균(06-20시),8.70,18.61,3.24,9.04,13.11,26.64
"전국","소계",오전첨두(07-09시),8.60,18.50,3.17,8.79,12.99,26.35
"전국","소계",낮시간(12-14시),8.65,18.78,3.23,9.28,13.05,27.03
"전국","소계",저녁첨두(18-20시),8.99,19.74,3.37,10.51,13.52,28.30
"서울특별시","소계",일평균(06-20시),10.51,17.09,2.02,3.45,9.18,15.58
"서울특별시","소계",오전첨두(07-09시),10.32,16.88,1.99,3.44,9.10,15.41
"서울특별시","소계",낮시간(12-14시),10.33,17.19,2.00,3.44,8.99,15.63
"서울특별시","소계",저녁첨두(18-20시),11.20,17.28,2.12,3.45,9.74,15.77
"서울특별시","종로구",일평균(06-20시),11.52,17.67,2.64,4.51,8.91,14.85
"서울특별시","종로구",오전첨두(07-09시),11.02,17.27,2.64,4.53,8.55,14.61
"서울특별시","종로구",낮시간(12-14시),11.68,17.75,2.67,4.54,8.90,14.91
"서울특별시","종로구",저녁첨두(18-20시),11.71,17.96,2.71,4.51,9.18,15.05
"서울특별시","중구",일평균(06-20시),9.43,13.95,2.08,3.39,8.10,13.88
"서울특별시","중구",오전첨두(07-09시),7.93,13.34,2.02,3.36,7.55,13.53
"서울특별시","중구",낮시간(12-14시),9.48,14.13,2.07,3.40,8.20,14.10
"서울특별시","중구",저녁첨두(18-20시),10.21,14.39,2.17,3.36,8.24,13.61
"서울특별시","용산구",일평균(06-20시),12.20,19.60,2.04,3.66,10.44,18.85
"서울특별시","용산구",오전첨두(07-09시),11.63,19.27,1.95,3.65,9.89,18.38
"서울특별시","용산구",낮시간(12-14시),12.32,19.66,2.05,3.66,10.41,18.79
"서울특별시","용산구",저녁첨두(18-20시),12.57,19.98,2.17,3.65,11.52,19.42
"서울특별시","성동구",일평균(06-20시),9.96,16.05,1.93,3.15,9.74,15.75
"서울특별시","성동구",오전첨두(07-09시),9.32,15.83,1.88,3.11,8.98,15.59
"서울특별시","성동구",낮시간(12-14시),9.88,16.19,1.92,3.15,9.68,15.76
"서울특별시","성동구",저녁첨두(18-20시),10.72,16.04,1.96,3.15,10.25,15.80
"서울특별시","광진구",일평균(06-20시),11.14,16.23,1.73,3.12,8.19,13.39
"서울특별시","광진구",오전첨두(07-09시),11.02,16.43,1.73,3.13,8.32,13.24
"서울특별시","광진구",낮시간(12-14시),10.74,16.19,1.72,3.11,7.95,13.37
"서울특별시","광진구",저녁첨두(18-20시),11.65,16.30,1.85,3.12,8.67,13.44
"서울특별시","동대문구",일평균(06-20시),11.94,18.51,1.92,3.14,7.55,12.95
"서울특별시","동대문구",오전첨두(07-09시),11.88,18.44,1.87,3.15,7.54,12.93
"서울특별시","동대문구",낮시간(12-14시),11.79,18.72,1.92,3.13,7.45,12.99
"서울특별시","동대문구",저녁첨두(18-20시),12.06,18.61,2.00,3.15,7.89,13.17
"서울특별시","중랑구",일평균(06-20시),9.85,17.58,1.92,3.35,7.47,12.68
"서울특별시","중랑구",오전첨두(07-09시),9.43,17.59,1.91,3.36,7.63,12.68
"서울특별시","중랑구",낮시간(12-14시),9.71,17.38,1.90,3.33,7.29,12.67
"서울특별시","중랑구",저녁첨두(18-20시),11.27,18.19,2.03,3.34,7.91,12.79
"서울특별시","성북구",일평균(06-20시),16.63,18.62,2.12,3.58,12.04,19.26
"서울특별시","성북구",오전첨두(07-09시),16.78,18.29,2.08,3.57,12.36,18.97
"서울특별시","성북구",낮시간(12-14시),16.45,18.64,2.11,3.58,11.88,19.37
"서울특별시","성북구",저녁첨두(18-20시),16.94,18.95,2.21,3.56,12.16,19.35
"서울특별시","강북구",일평균(06-20시),12.17,20.35,1.87,3.26,9.59,14.79
"서울특별시","강북구",오전첨두(07-09시),11.58,20.21,1.82,3.26,9.11,14.67
"서울특별시","강북구",낮시간(12-14시),12.07,20.17,1.86,3.27,9.53,15.02
"서울특별시","강북구",저녁첨두(18-20시),12.85,20.81,1.95,3.25,10.55,14.96
"서울특별시","도봉구",일평균(06-20시),7.55,13.48,2.03,3.47,11.25,18.17
"서울특별시","도봉구",오전첨두(07-09시),7.31,13.43,1.99,3.45,11.20,18.09
"서울특별시","도봉구",낮시간(12-14시),7.37,13.44,2.01,3.47,10.99,18.29
"서울특별시","도봉구",저녁첨두(18-20시),7.91,13.66,2.10,3.48,11.48,18.24
"서울특별시","노원구",일평균(06-20시),8.75,15.28,1.93,3.17,8.40,14.71
"서울특별시","노원구",오전첨두(07-09시),8.84,15.09,1.90,3.17,8.33,14.74
"서울특별시","노원구",낮시간(12-14시),8.48,15.35,1.91,3.17,8.17,14.67
"서울특별시","노원구",저녁첨두(18-20시),9.32,15.62,2.04,3.19,8.98,15.02
"서울특별시","은평구",일평균(06-20시),8.22,15.06,2.18,3.93,10.10,17.05
"서울특별시","은평구",오전첨두(07-09시),8.18,14.92,2.14,3.93,9.60,16.63
"서울특별시","은평구",낮시간(12-14시),8.12,15.18,2.15,3.93,9.95,17.36
"서울특별시","은평구",저녁첨두(18-20시),8.58,15.20,2.33,3.92,10.90,17.31
"서울특별시","서대문구",일평균(06-20시),7.95,14.26,2.36,4.14,8.06,14.81
"서울특별시","서대문구",오전첨두(07-09시),7.79,14.09,2.32,4.16,8.16,15.07
