"시군구별(1)","시군구별(2)",성별(1),2019,2019,2019,2019,2019,2019,2019,2019,2019
"시군구별(1)","시군구별(2)",성별(1),계,분변잠혈반응검사,분변잠혈반응검사,대장이중조영촬영 또는 대장내시경검사,대장이중조영촬영 또는 대장내시경검사,대장이중조영촬영 또는 대장내시경검사,대장이중조영촬영 또는 대장내시경검사,대장이중조영촬영 또는 대장내시경검사,대장이중조영촬영 또는 대장내시경검사
"시군구별(1)","시군구별(2)",성별(1),소계,잠혈반응 없음,잠혈반응 있음,이상소견 없음,대장폴립(용종),대장암의심,대장암,기타,기존 암환자
"서울","송파구",여자,38126,35641,2485,200,511,7,15,327,15
"서울","강동구",합계,53675,50021,3654,266,930,15,44,302,23
"서울","강동구",남자,24751,22863,1888,116,543,10,29,121,13
"서울","강동구",여자,28924,27158,1766,150,387,5,15,181,10
"부산","소계",합계,445906,430425,15481,1014,4209,81,221,1708,350
"부산","소계",남자,207462,199064,8398,415,2471,52,145,755,222
"부산","소계",여자,238444,231361,7083,599,1738,29,76,953,128
"부산","중구",합계,7008,6776,232,5,69,1,5,25,9
"부산","중구",남자,3116,2988,128,4,39,-,3,6,6
"부산","중구",여자,3892,3788,104,1,30,1,2,19,3
"부산","서구",합계,16784,16254,530,24,92,6,11,78,26
"부산","서구",남자,7662,7367,295,10,51,4,8,39,16
"부산","서구",여자,9122,8887,235,14,41,2,3,39,10
"부산","동구",합계,13489,12773,716,43,232,-,11,80,4
"부산","동구",남자,6051,5683,368,17,130,-,9,30,4
"부산","동구",여자,7438,7090,348,26,102,-,2,50,-
"부산","영도구",합계,21368,20802,566,16,113,3,9,99,7
"부산","영도구",남자,9872,9537,335,7,71,3,5,50,6
"부산","영도구",여자,11496,11265,231,9,42,-,4,49,1
"부산","부산진구",합계,41696,39960,1736,95,465,8,24,183,33
"부산","부산진구",남자,19292,18385,907,38,275,5,14,83,19
"부산","부산진구",여자,22404,21575,829,57,190,3,10,100,14
"부산","동래구",합계,36037,34865,1172,121,374,2,9,135,14
"부산","동래구",남자,16829,16198,631,48,229,1,5,55,7
"부산","동래구",여자,19208,18667,541,73,145,1,4,80,7
"부산","남구",합계,36464,35324,1140,60,327,7,15,108,29
"부산","남구",남자,16815,16210,605,19,178,4,11,49,18
"부산","남구",여자,19649,19114,535,41,149,3,4,59,11
"부산","북구",합계,39010,37776,1234,95,345,6,20,140,25
"부산","북구",남자,18526,17842,684,40,214,4,15,57,17
"부산","북구",여자,20484,19934,550,55,131,2,5,83,8
"부산","해운대구",합계,48827,47005,1822,118,479,8,22,217,38
"부산","해운대구",남자,22897,21929,968,51,276,3,15,108,24
"부산","해운대구",여자,25930,25076,854,67,203,5,7,109,14
"부산","사하구",합계,43979,42384,1595,101,412,12,20,204,44
"부산","사하구",남자,20700,19821,879,44,236,9,14,82,29
"부산","사하구",여자,23279,22563,716,57,176,3,6,122,15
"부산","금정구",합계,33999,32856,1143,104,329,5,16,97,25
"부산","금정구",남자,15706,15094,612,42,189,4,12,36,16
"부산","금정구",여자,18293,17762,531,62,140,1,4,61,9
"부산","강서구",합계,11872,11509,363,22,111,1,5,33,22
"부산","강서구",남자,5853,5655,198,10,68,-,3,17,13
