"행정구역별(1)",행정구역별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
"행정구역별(1)",행정구역별(2),공공체육시설,공공체육시설,공공체육시설,공공체육시설,공공체육시설,공공체육시설,공공체육시설,공공체육시설,공공체육시설,공공체육시설,공공체육시설,공공체육시설,공공체육시설,공공체육시설,공공체육시설,공공체육시설,공공체육시설,공공체육시설,공공체육시설,신고체육시설,신고체육시설,신고체육시설,신고체육시설,신고체육시설,신고체육시설,신고체육시설,신고체육시설,신고체육시설,신고체육시설,신고체육시설,신고체육시설,신고체육시설,신고체육시설,등록체육시설,등록체육시설,등록체육시설
"행정구역별(1)",행정구역별(2),육상경기장,축구장,하키장,야구장,싸이클경기장,테니스장,씨름장,간이운동장(동네체육시설),구기체육관,투기체육관,생활체육관,수영장,국궁장,양궁장,승마장,골프연습장,조정카누장,요트장,빙상장,요트장,조정장,카누장,빙상장,승마장,종합체육시설,수영장,체육도장,골프연습장,체력단련장,당구장,썰매장,무도장,무도학원,골프장,스키장,자동차경주장
"서울특별시",강동구,-,2,-,2,-,3,-,48,2,-,3,4,-,-,-,1,-,-,-,-,-,-,-,-,1,3,152,103,109,230,-,1,9,-,-,-
"부산광역시",소계,3,34,1,10,1,33,1,1126,4,2,25,25,3,1,2,8,1,1,1,0,0,0,2,5,18,41,865,572,654,1083,4,0,60,9,0,0
"부산광역시",중구,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,10,15,23,37,-,-,3,-,-,-
"부산광역시",서구,1,-,-,-,-,1,1,45,-,-,2,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,21,10,17,29,-,-,-,-,-,-
"부산광역시",동구,-,-,-,-,-,1,-,41,-,-,2,1,-,-,-,1,-,-,-,-,-,-,-,-,2,1,14,11,18,34,-,-,5,-,-,-
"부산광역시",영도구,-,2,-,-,-,1,-,45,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,25,14,15,46,-,-,2,-,-,-
"부산광역시",부산진구,-,1,-,-,-,1,-,194,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,3,3,79,57,96,168,-,-,12,-,-,-
"부산광역시",동래구,-,1,-,-,-,2,-,21,1,-,2,2,-,-,-,-,-,-,-,-,-,-,1,-,1,2,81,43,51,65,-,-,9,-,-,-
"부산광역시",남구,-,2,-,1,-,2,-,55,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,3,64,26,48,70,-,-,-,-,-,-
"부산광역시",북구,-,2,-,1,-,1,-,51,-,-,2,3,-,-,-,-,-,-,1,-,-,-,-,-,3,3,86,36,35,72,1,-,8,-,-,-
