,0,1
충청남도,청양군,0.637873754
충청남도,홍성군,0.62247066
충청남도,예산군,0.637199255
충청남도,태안군,0.662583875
충청남도,당진군,0.648631885
전라북도,전라북도,0.588993313
전라북도,동부,0.580413234
전라북도,읍부,0.608408472
전라북도,면부,0.609171612
전라북도,전주시,0.573772872
전라북도,전주시 완산구,0.572005411
전라북도,전주시 덕진구,0.576001399
전라북도,군산시,0.592102319
전라북도,익산시,0.566336159
전라북도,정읍시,0.612887162
전라북도,남원시,0.631540587
전라북도,김제시,0.589967481
전라북도,완주군,0.577709715
전라북도,진안군,0.644066855
전라북도,무주군,0.646425382
전라북도,장수군,0.650697536
전라북도,임실군,0.645567198
전라북도,순창군,0.630599239
전라북도,고창군,0.62499194
전라북도,부안군,0.629381245
전라남도,전라남도,0.612651759
전라남도,동부,0.603744341
전라남도,읍부,0.616433884
전라남도,면부,0.621729085
전라남도,목포시,0.5782404
전라남도,여수시,0.61772635
전라남도,순천시,0.606141025
전라남도,나주시,0.569778591
전라남도,광양시,0.637678506
전라남도,담양군,0.572508383
전라남도,곡성군,0.59604035
전라남도,구례군,0.637398708
전라남도,고흥군,0.652821247
전라남도,보성군,0.627740124
전라남도,화순군,0.58608594
전라남도,장흥군,0.643491746
전라남도,강진군,0.615268355
전라남도,해남군,0.644990502
전라남도,영암군,0.611183327
전라남도,무안군,0.599904718
전라남도,함평군,0.609961237
전라남도,영광군,0.630800673
전라남도,장성군,0.602465986
전라남도,완도군,0.678172564
전라남도,진도군,0.645348369
전라남도,신안군,0.65961106
경상북도,경상북도,0.595658892
경상북도,동부,0.584595675
경상북도,읍부,0.596293541
경상북도,면부,0.61758676
경상북도,포항시,0.603661888
경상북도,포항시 남구,0.604921112
경상북도,포항시 북구,0.6024371
경상북도,경주시,0.58394069
경상북도,김천시,0.604567208
경상북도,안동시,0.590441647
경상북도,구미시,0.57920414
경상북도,영주시,0.61400662
경상북도,영천시,0.594458225
경상북도,상주시,0.623229296
경상북도,문경시,0.630217126
경상북도,경산시,0.518254791
경상북도,군위군,0.660356713
경상북도,의성군,0.661588614
경상북도,청송군,0.668563234
경상북도,영양군,0.653947103
경상북도,영덕군,0.62362781
경상북도,청도군,0.615211039
경상북도,고령군,0.612630184
경상북도,성주군,0.628745462
경상북도,칠곡군,0.588928901
경상북도,예천군,0.650341656
경상북도,봉화군,0.647269729
경상북도,울진군,0.642832237
경상북도,울릉군,0.686217009
경상남도,경상남도,0.602023231
경상남도,동부,0.590637553
경상남도,읍부,0.616065409
경상남도,면부,0.625094717
경상남도,진주시,0.566287211
경상남도,통영시,0.615613215
경상남도,사천시,0.611331918
경상남도,김해시,0.613765961
경상남도,밀양시,0.597174673
경상남도,거제시,0.641536321
경상남도,양산시,0.604812681
경상남도,창원시,0.59241433
경상남도,창원시 의창구,0.574901102
경상남도,창원시 성산구,0.614543284
경상남도,창원시 마산합포구,0.556470742
경상남도,창원시 마산회원구,0.586755819
경상남도,창원시 진해구,0.633711674
경상남도,의령군,0.593991265
경상남도,함안군,0.618266322
경상남도,창녕군,0.605038543
경상남도,고성군,0.60469427
경상남도,남해군,0.613342235
경상남도,하동군,0.635478223
경상남도,산청군,0.610059796
경상남도,함양군,0.618086174
경상남도,거창군,0.608953757
경상남도,합천군,0.620828834
제주특별자치도,제주특별자치도,0.57662074
제주특별자치도,동부,0.571831968
제주특별자치도,읍부,0.588518288
제주특별자치도,면부,0.596604322
제주특별자치도,제주시,0.566642984
제주특별자치도,서귀포시,0.606639603
